ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
202.175.89.60,z89l60.static.ctm.net.,MO,"","",,false,1.0,2015-10-29 11:43:49 +0100,2014-12-29 14:06:36 +0100
202.175.187.188,n18z187l188.static.ctm.net.,MO,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-29 12:03:19 +0100,2014-12-29 16:03:23 +0100
202.175.1.198,z1l198.static.ctm.net.,MO,"","",,false,0.76,2015-10-29 12:04:32 +0100,2014-12-29 16:09:36 +0100
202.175.64.75,z64l75.static.ctm.net.,MO,"",9.2.2,,false,0.69,2015-10-29 13:32:50 +0100,2014-12-30 14:31:53 +0100
202.175.82.67,z82l67.static.ctm.net.,MO,"","",,false,1.0,2015-10-29 13:39:38 +0100,2014-12-30 15:41:13 +0100
202.175.1.196,z1l196.static.ctm.net.,MO,"","",,false,0.95,2015-10-29 13:40:24 +0100,2014-12-30 15:48:59 +0100
202.175.1.197,z1l197.static.ctm.net.,MO,"","",,false,0.92,2015-10-29 13:42:29 +0100,2014-12-30 16:10:15 +0100
182.93.43.74,n182z43l74.static.ctm.net.,MO,"","",,false,0.97,2015-10-29 13:54:26 +0100,2014-12-30 18:16:32 +0100
202.175.115.244,z115l244.static.ctm.net.,MO,"",9.3.6-P1-RedHat-9.3.6-4.P1.el5,,false,0.97,2015-10-29 13:54:41 +0100,2014-12-30 18:18:50 +0100
182.93.14.178,n182z14l178.static.ctm.net.,MO,"",9.8.2rc1-RedHat-9.8.2-0.10.rc1.el6,,false,0.98,2015-10-29 14:07:00 +0100,2014-12-31 19:16:08 +0100
202.175.120.27,z120l27.static.ctm.net.,MO,"",9.3.4-P1,,false,0.99,2015-10-29 14:10:14 +0100,2014-12-31 20:59:14 +0100
202.175.45.2,ml310.redcross.org.mo.,MO,"","",,false,0.99,2015-10-29 14:15:54 +0100,2014-12-31 23:42:41 +0100
182.93.17.250,n182z17l250.static.ctm.net.,MO,"","",,false,0.99,2015-10-29 14:45:51 +0100,2015-01-06 09:13:05 +0100
182.93.18.83,n182z18l83.static.ctm.net.,MO,"","",,false,0.98,2015-10-29 14:46:56 +0100,2015-01-06 09:45:18 +0100
202.86.157.42,n21z157l42.static.ctm.net.,MO,"",ZyWALL DNS,,false,0.95,2015-10-29 14:47:51 +0100,2015-01-06 10:13:39 +0100
202.175.86.41,z86l41.static.ctm.net.,MO,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.37,2015-10-29 15:01:09 +0100,2015-01-06 16:08:03 +0100
202.175.66.122,z66l122.static.ctm.net.,MO,"","",,false,0.41,2015-10-29 15:05:01 +0100,2015-01-06 17:44:16 +0100
202.175.63.37,z63l37.static.ctm.net.,MO,Macao,Microsoft DNS 6.1.7601 (1DB14556),,false,0.97,2015-10-29 15:15:37 +0100,2015-01-06 22:05:37 +0100
202.171.253.98,"",MO,Macao,9.3.6-P1-RedHat-9.3.6-20.P1.el5_8.6,,false,1.0,2015-10-29 15:29:56 +0100,2015-01-07 05:52:58 +0100
202.171.253.111,"",MO,Macao,9.3.6-P1-RedHat-9.3.6-20.P1.el5_8.6,,false,0.99,2015-10-29 15:31:24 +0100,2015-01-07 06:45:15 +0100
202.86.129.106,n19z129l106.static.ctm.net.,MO,"",dnsmasq-2.45,,true,1.0,2015-10-29 07:53:00 +0100,2015-01-08 15:28:38 +0100
202.86.129.98,n19z129l98.static.ctm.net.,MO,"",dnsmasq-2.45,,true,0.98,2015-10-29 07:59:02 +0100,2015-01-08 18:43:15 +0100
202.175.63.36,z63l36.static.ctm.net.,MO,Macao,Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-29 08:07:45 +0100,2015-01-08 23:12:00 +0100
202.175.105.43,z105l43.static.ctm.net.,MO,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-29 09:27:41 +0100,2015-01-10 17:48:39 +0100
202.175.113.124,z113l124.static.ctm.net.,MO,"","",,false,0.98,2015-10-29 10:11:50 +0100,2015-01-11 19:10:09 +0100
202.175.125.219,z125l219.static.ctm.net.,MO,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.95,2015-10-29 10:50:14 +0100,2015-01-12 16:16:33 +0100
202.175.125.155,z125l155.static.ctm.net.,MO,"",9.8.1-P1,,false,1.0,2015-10-29 10:52:14 +0100,2015-01-12 17:25:35 +0100
202.175.127.44,z127l44.static.ctm.net.,MO,"","",,false,1.0,2015-10-29 11:02:40 +0100,2015-01-12 23:31:15 +0100
