ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
82.151.90.1,bow.mauritel.mr.,MR,"","",,false,0.68,2015-10-22 23:46:14 +0200,2013-01-30 18:24:58 +0100
82.151.69.146,mail.bcm.mr.,MR,"","",,false,0.98,2015-10-23 00:31:01 +0200,2014-12-29 16:38:38 +0100
82.151.69.156,"",MR,"","",,false,0.94,2015-10-23 01:10:14 +0200,2014-12-29 22:25:33 +0100
82.151.73.43,ficserveur.fic.mr.,MR,"","",,false,0.49,2015-10-23 01:40:25 +0200,2014-12-30 12:32:06 +0100
82.151.71.242,"",MR,"","",,false,0.98,2015-10-23 02:12:16 +0200,2014-12-30 17:18:52 +0100
82.151.90.91,"",MR,"","",,false,1.0,2015-10-22 17:59:24 +0200,2015-01-05 22:24:25 +0100
41.188.113.148,"",MR,"",dnsmasq-2.23,,false,0.34,2015-10-22 19:46:40 +0200,2015-01-08 01:56:45 +0100
82.151.74.36,"",MR,"","",,false,0.57,2015-10-22 20:22:21 +0200,2015-01-08 21:34:22 +0100
82.151.73.239,csaserver.csa.mr.,MR,"","",,false,0.81,2015-10-22 20:22:47 +0200,2015-01-08 21:47:35 +0100
82.151.73.234,"",MR,"","",,false,0.82,2015-10-22 20:25:36 +0200,2015-01-08 23:13:54 +0100
82.151.74.162,"",MR,"","",,false,0.86,2015-10-22 20:46:00 +0200,2015-01-09 09:03:38 +0100
