ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
194.105.32.2,mail.global.net.mt.,MT,"","",,false,1.0,2015-10-22 23:49:02 +0200,2014-05-19 05:20:27 +0200
80.71.54.18,"",MT,Naxxar,"",,false,0.3,2015-10-23 00:01:22 +0200,2014-12-29 13:42:32 +0100
213.165.186.88,remote.crossmedia.com.mt.,MT,Mdina,ZyWALL DNS,,false,0.98,2015-10-23 00:02:57 +0200,2014-12-29 13:57:52 +0100
213.165.166.180,c166-180.i02-2.onvol.net.,MT,"",dnsmasq-2.45,,false,0.41,2015-10-23 00:03:24 +0200,2014-12-29 14:01:38 +0100
195.158.96.145,as2p17.access.maltanet.net.,MT,"","",,false,1.0,2015-10-23 00:05:39 +0200,2014-12-29 14:19:10 +0100
195.158.96.79,mail.marinamilling.com.,MT,"","",,false,0.97,2015-10-23 00:12:49 +0200,2014-12-29 15:00:50 +0100
195.158.104.85,mail3.attardbros.com.,MT,Sliema,"",,false,1.0,2015-10-23 00:13:34 +0200,2014-12-29 15:05:36 +0100
195.158.95.118,"",MT,Saint John,"",,false,1.0,2015-10-23 00:19:08 +0200,2014-12-29 15:36:16 +0100
194.105.32.12,"",MT,"","",,false,0.99,2015-10-23 00:23:22 +0200,2014-12-29 15:58:44 +0100
195.158.110.86,mail.fxb.com.mt.,MT,Birkirkara,"",,false,0.26,2015-10-23 00:29:33 +0200,2014-12-29 16:30:15 +0100
88.203.94.72,c94-72.i05-24.onvol.net.,MT,"","",,false,0.99,2015-10-23 00:30:14 +0200,2014-12-29 16:33:50 +0100
195.158.103.5,as10p5.access.maltanet.net.,MT,Naxxar,"",,false,0.99,2015-10-23 00:32:33 +0200,2014-12-29 16:48:02 +0100
195.158.102.228,mail.virtushipping.com.,MT,Saint John,"",,false,0.99,2015-10-23 00:37:58 +0200,2014-12-29 17:30:49 +0100
195.158.102.79,as9p79.access.maltanet.net.,MT,Saint John,"",,false,1.0,2015-10-23 00:38:41 +0200,2014-12-29 17:39:06 +0100
195.158.102.225,as9p225.access.maltanet.net.,MT,Saint John,"",,false,1.0,2015-10-23 00:39:39 +0200,2014-12-29 17:49:24 +0100
195.158.102.252,"",MT,Saint John,"",,false,1.0,2015-10-23 00:44:52 +0200,2014-12-29 18:39:31 +0100
213.165.182.62,c182-62.i02-6.onvol.net.,MT,Valletta,"",,false,1.0,2015-10-23 00:50:20 +0200,2014-12-29 19:26:00 +0100
195.158.101.230,as8p230.access.maltanet.net.,MT,"","",,false,0.97,2015-10-23 00:59:33 +0200,2014-12-29 21:04:48 +0100
195.158.101.203,as8p203.access.maltanet.net.,MT,"","",,false,0.84,2015-10-23 01:08:18 +0200,2014-12-29 22:12:31 +0100
