ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
197.227.37.15,"",MU,"",9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.2,,true,1.0,2015-10-29 11:41:05 +0100,2014-12-29 13:41:16 +0100
197.227.37.16,"",MU,"",9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.2,,true,1.0,2015-10-29 11:51:48 +0100,2014-12-29 14:57:17 +0100
41.198.35.224,41-198-35-224.mweb.com.na.,MU,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.8,2015-10-29 13:33:31 +0100,2014-12-30 14:40:10 +0100
196.12.158.234,"",MU,"","",,false,0.97,2015-10-29 13:40:00 +0100,2014-12-30 15:45:06 +0100
41.190.147.6,static-41-190-147-6.metronet.infocom.co.ug.,MU,"","",,false,0.85,2015-10-29 13:41:18 +0100,2014-12-30 15:58:04 +0100
196.192.81.61,emteldns1.emtel.com.,MU,"","",,false,1.0,2015-10-29 14:18:46 +0100,2015-01-04 13:16:36 +0100
196.192.81.62,emteldns2.emtel.com.,MU,"","",,false,1.0,2015-10-29 14:18:46 +0100,2015-01-04 13:16:36 +0100
41.72.207.250,41.72.207.250.liquidtelecom.com.,MU,"","",,false,0.83,2015-10-29 14:28:29 +0100,2015-01-06 00:14:14 +0100
154.66.246.46,"",MU,"","",,false,0.79,2015-10-29 14:33:06 +0100,2015-01-06 02:53:56 +0100
41.190.137.107,static-41-190-137-107.metronet.imul.com.,MU,"",dnsmasq-2.55,,true,0.77,2015-10-29 14:52:00 +0100,2015-01-06 12:05:02 +0100
196.12.158.238,"",MU,"","",,false,0.99,2015-10-29 15:00:00 +0100,2015-01-06 15:39:20 +0100
105.235.153.24,"",MU,"","",,false,1.0,2015-10-29 15:06:49 +0100,2015-01-06 18:30:54 +0100
197.227.6.9,"",MU,"",9.6.1-P2,,false,1.0,2015-10-29 15:56:22 +0100,2015-01-07 19:41:24 +0100
154.66.246.94,"",MU,"","",,false,0.94,2015-10-29 07:31:46 +0100,2015-01-08 03:03:20 +0100
197.155.76.230,197.155.76.230.liquidtelecom.net.,MU,"","",,false,0.71,2015-10-29 07:38:17 +0100,2015-01-08 05:59:10 +0100
196.192.64.243,"",MU,"",Microsoft DNS 6.1.7600 (1DB04001),,false,0.87,2015-10-29 07:54:55 +0100,2015-01-08 16:26:14 +0100
196.192.65.110,ns3-dclcorp.dclisp.com.,MU,"","",,false,1.0,2015-10-29 08:33:34 +0100,2015-01-09 11:30:49 +0100
197.227.35.60,"",MU,"","",,false,1.0,2015-10-29 09:26:36 +0100,2015-01-10 17:18:12 +0100
197.227.1.156,mail.interface-mu.com.,MU,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 10:37:24 +0100,2015-01-12 07:36:22 +0100
