ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
27.114.135.69,"",MV,"",dnsmasq-2.52,,false,0.03,2015-10-29 11:46:15 +0100,2014-12-29 14:24:56 +0100
27.114.135.71,"",MV,"","",,false,0.16,2015-10-29 11:53:04 +0100,2014-12-29 15:05:22 +0100
27.114.166.93,"",MV,Malé,Scotch!,,false,0.01,2015-10-29 12:02:06 +0100,2014-12-29 15:57:00 +0100
124.195.199.2,"",MV,Malé,9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6_4.6,,false,0.88,2015-10-29 12:32:38 +0100,2014-12-29 20:02:51 +0100
27.114.174.70,"",MV,"",Scotch!,,false,0.3,2015-10-29 12:46:59 +0100,2014-12-29 22:12:36 +0100
123.176.24.122,"",MV,"",dnsmasq-2.52,,false,0.06,2015-10-29 12:57:45 +0100,2014-12-30 00:57:57 +0100
27.114.166.249,"",MV,Malé,dnsmasq-2.52,,false,0.1,2015-10-29 14:04:18 +0100,2014-12-30 20:13:12 +0100
123.176.23.101,mail.goldenlane.com.mv.,MV,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.92,2015-10-29 15:03:02 +0100,2015-01-06 16:52:32 +0100
203.104.30.174,"",MV,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.17,2015-10-29 15:38:12 +0100,2015-01-07 10:30:01 +0100
27.114.133.243,bb-27-114-133.243.dhivehinet.net.mv.,MV,Malé,dnsmasq-2.52,,false,0.06,2015-10-29 15:39:24 +0100,2015-01-07 11:05:59 +0100
27.114.133.60,bb-27-114-133.60.dhivehinet.net.mv.,MV,Malé,dnsmasq-2.52,,false,0.21,2015-10-29 15:50:24 +0100,2015-01-07 16:41:33 +0100
123.176.5.154,"",MV,"",dnsmasq-2.52,,true,0.06,2015-10-29 08:04:16 +0100,2015-01-08 21:29:28 +0100
123.176.5.1,"",MV,"","",,false,0.08,2015-10-29 08:05:50 +0100,2015-01-08 22:12:56 +0100
123.176.5.162,"",MV,"",dnsmasq-2.52,,false,0.02,2015-10-29 08:07:58 +0100,2015-01-08 23:22:41 +0100
202.1.205.150,"",MV,"",Scotch!,,true,0.29,2015-10-29 08:19:49 +0100,2015-01-09 05:08:56 +0100
123.176.3.18,"",MV,"","",,false,0.95,2015-10-29 08:28:10 +0100,2015-01-09 09:08:05 +0100
203.104.29.126,"",MV,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.96,2015-10-29 10:41:37 +0100,2015-01-12 10:52:01 +0100
203.104.29.188,"",MV,"","",,false,1.0,2015-10-29 10:42:50 +0100,2015-01-12 11:36:53 +0100
203.104.29.150,"",MV,"",dnsmasq-2.52,,true,0.72,2015-10-29 10:43:38 +0100,2015-01-12 12:07:22 +0100
