ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
203.176.144.12,www.clearcomm.com.my.,MY,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.71,2015-10-29 11:29:12 +0100,2014-05-19 06:43:07 +0200
203.176.144.20,www.clearcomm.com.my.,MY,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.95,2015-10-29 11:29:12 +0100,2014-05-19 06:43:08 +0200
219.92.4.161,usj-4-161.tm.net.my.,MY,Kuala Lumpur,"",,false,1.0,2015-10-29 11:30:10 +0100,2014-12-27 00:54:54 +0100
60.54.151.45,"",MY,Kuala Lumpur,"",,true,0.83,2015-10-29 11:30:35 +0100,2014-12-27 01:13:55 +0100
219.92.52.85,"",MY,Shah Alam,HyperDNS_1.1,,false,1.0,2015-10-29 11:30:33 +0100,2014-12-27 15:17:20 +0100
111.90.130.34,"",MY,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-29 11:31:15 +0100,2014-12-27 15:28:19 +0100
219.92.4.185,usj-4-185.tm.net.my.,MY,Kuala Lumpur,"",,false,0.99,2015-10-29 11:31:20 +0100,2014-12-27 15:29:54 +0100
219.92.52.20,dgb.com.my.,MY,Shah Alam,Microsoft DNS 6.0.6002 (1772487D),,false,0.98,2015-10-29 11:31:30 +0100,2014-12-29 12:05:35 +0100
60.54.165.41,"",MY,Kuala Lumpur,"",,true,0.97,2015-10-29 11:32:21 +0100,2014-12-29 12:11:54 +0100
182.54.217.3,"",MY,Kuala Selangor,"",,false,0.99,2015-10-29 11:32:16 +0100,2014-12-29 12:13:35 +0100
210.19.7.39,"",MY,Kuala Lumpur,"",,false,0.99,2015-10-29 11:32:32 +0100,2014-12-29 12:17:00 +0100
219.92.4.177,usj-4-177.tm.net.my.,MY,Kuala Lumpur,"",,true,0.23,2015-10-29 11:36:48 +0100,2014-12-29 13:04:06 +0100
175.139.203.237,"",MY,Bayan Lepas,"",,false,1.0,2015-10-29 11:38:59 +0100,2014-12-29 13:21:30 +0100
210.48.156.236,"",MY,"","",,false,0.98,2015-10-29 11:39:59 +0100,2014-12-29 13:31:29 +0100
1.9.126.54,"",MY,Pantai,"",,false,0.92,2015-10-29 11:42:22 +0100,2014-12-29 13:52:57 +0100
203.106.221.225,isdn-kmr-221-225.tm.net.my.,MY,Petaling Jaya,"",,false,0.78,2015-10-29 11:44:17 +0100,2014-12-29 14:09:42 +0100
182.54.220.96,"",MY,Kuala Selangor,ZyWALL DNS,,false,0.94,2015-10-29 11:44:24 +0100,2014-12-29 14:11:07 +0100
124.82.238.93,"",MY,"","",,true,0.86,2015-10-29 11:45:02 +0100,2014-12-29 14:14:16 +0100
175.139.151.114,"",MY,Kuala Lumpur,"",,false,0.99,2015-10-29 11:45:32 +0100,2014-12-29 14:20:49 +0100
218.111.95.10,"",MY,Kuala Lumpur,dnsmasq-2.57,,false,0.99,2015-10-29 11:46:02 +0100,2014-12-29 14:23:31 +0100
211.25.15.101,"",MY,Kuala Lumpur,"",,false,1.0,2015-10-29 11:46:21 +0100,2014-12-29 14:25:44 +0100
219.94.45.33,"",MY,"","",,true,0.98,2015-10-29 11:46:44 +0100,2014-12-29 14:26:19 +0100
122.0.23.60,static-122-0-23-60.mykris.net.,MY,Kuala Selangor,"",,true,0.95,2015-10-29 11:46:59 +0100,2014-12-29 14:29:29 +0100
202.9.98.60,my1.mtsbhost.com.,MY,Petaling Jaya,Microsoft DNS 6.1.7600 (1DB04001),,false,0.85,2015-10-29 11:47:45 +0100,2014-12-29 14:34:10 +0100
122.0.23.50,static-122-0-23-50.mykris.net.,MY,Kuala Selangor,"",,true,0.95,2015-10-29 11:49:56 +0100,2014-12-29 14:46:52 +0100
202.9.101.135,DC01.mk.macrokiosk.com.,MY,Petaling Jaya,"",,false,0.87,2015-10-29 11:49:58 +0100,2014-12-29 14:47:06 +0100
202.43.101.13,"",MY,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.93,2015-10-29 11:51:55 +0100,2014-12-29 14:57:39 +0100
