ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
196.22.53.83,mail.lam.co.mz.,MZ,"",Microsoft DNS 6.0.6001 (17714726),,false,0.93,2015-10-29 13:08:56 +0100,2014-12-30 11:00:24 +0100
41.77.130.138,"",MZ,Maputo,"",,false,0.66,2015-10-29 13:15:58 +0100,2014-12-30 12:10:32 +0100
196.22.57.154,ip-196-22-57-154.teledata.mz.,MZ,"",Microsoft DNS 6.1.7600 (1DB04228),,false,0.49,2015-10-29 13:17:27 +0100,2014-12-30 12:24:03 +0100
196.3.96.154,"",MZ,Maputo,"",,false,0.99,2015-10-29 14:01:07 +0100,2014-12-30 19:38:11 +0100
197.218.228.102,"",MZ,"","",,false,0.92,2015-10-29 14:29:12 +0100,2015-01-06 00:38:24 +0100
197.242.174.58,"",MZ,"","",,false,0.99,2015-10-29 15:12:36 +0100,2015-01-06 21:00:23 +0100
196.3.99.130,"",MZ,Maputo,"",,false,0.49,2015-10-29 15:30:27 +0100,2015-01-07 06:02:47 +0100
196.3.98.183,"",MZ,Maputo,"",,false,0.86,2015-10-29 15:31:12 +0100,2015-01-07 06:36:59 +0100
197.235.6.14,"",MZ,Maputo,"",,false,0.99,2015-10-29 15:55:26 +0100,2015-01-07 19:10:53 +0100
41.190.165.138,dyn-wimax-41-190-164-138.foristel.co.mz.,MZ,"",9.3.4-P1,,false,0.02,2015-10-29 07:47:12 +0100,2015-01-08 12:24:25 +0100
105.235.218.14,"",MZ,"","",,false,0.99,2015-10-29 07:51:02 +0100,2015-01-08 14:26:20 +0100
196.40.124.1,"",MZ,"","",,false,1.0,2015-10-29 07:53:03 +0100,2015-01-08 15:28:40 +0100
105.235.218.26,"",MZ,"","",,false,0.84,2015-10-29 07:53:08 +0100,2015-01-08 15:31:11 +0100
197.231.216.2,cilix.co.mz.,MZ,"","",,false,0.45,2015-10-29 08:18:14 +0100,2015-01-09 04:19:31 +0100
41.76.5.6,sasol-mz-maputo-mi.cust.is.co.mz.,MZ,"","",,false,0.99,2015-10-29 08:34:16 +0100,2015-01-09 11:54:46 +0100
196.3.98.182,"",MZ,Maputo,"",,false,0.9,2015-10-29 09:10:56 +0100,2015-01-10 09:43:33 +0100
196.3.98.142,"",MZ,Maputo,"",,false,0.63,2015-10-29 09:13:16 +0100,2015-01-10 10:47:47 +0100
197.219.1.162,"",MZ,"","",,false,0.89,2015-10-29 09:23:58 +0100,2015-01-10 15:54:21 +0100
197.235.5.182,"",MZ,Maputo,"",,false,0.97,2015-10-29 10:57:17 +0100,2015-01-12 20:22:02 +0100
