ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
41.205.140.155,mail.nsa.org.na.,NA,"","",,false,0.83,2015-10-23 00:14:39 +0200,2014-12-29 15:10:31 +0100
41.205.142.132,ns3.ipb.na.,NA,"",9.6-ESV-R8,,false,0.99,2015-10-23 01:12:13 +0200,2014-12-29 22:43:32 +0100
41.205.129.118,ADSL-41-205-129-118.ipb.na.,NA,"","",,false,0.78,2015-10-23 01:38:27 +0200,2014-12-30 12:13:10 +0100
196.44.131.180,PYXIS-TECHNOLOGY.ipb.na.,NA,Windhoek,9.3.4,,false,1.0,2015-10-22 19:14:29 +0200,2015-01-07 10:49:17 +0100
196.20.2.142,ns2.methealth.com.na.,NA,Windhoek,"",,false,1.0,2015-10-22 19:28:14 +0200,2015-01-07 17:40:33 +0100
196.44.131.98,"",NA,Windhoek,9.3.4,,false,1.0,2015-10-22 19:59:52 +0200,2015-01-08 09:10:05 +0100
196.216.32.2,"",NA,Windhoek,Microsoft DNS 6.0.6002 (17724655),,false,0.91,2015-10-22 20:47:53 +0200,2015-01-09 09:55:34 +0100
196.216.41.108,"",NA,Windhoek,Microsoft DNS 6.0.6002 (17724655),,false,0.96,2015-10-22 21:11:30 +0200,2015-01-10 00:02:05 +0100
197.243.223.251,"",NA,Windhoek,dnsmasq-2.22,,false,1.0,2015-10-22 21:34:02 +0200,2015-01-10 12:08:24 +0100
196.20.22.170,mail.smecompete.com.,NA,Windhoek,Microsoft DNS 6.1.7601 (1DB14556),,false,0.82,2015-10-22 22:23:23 +0200,2015-01-11 15:15:34 +0100
196.44.128.216,swakop.com.,NA,Windhoek,Microsoft DNS 6.1.7601 (1DB14556),,false,0.86,2015-10-22 22:54:55 +0200,2015-01-12 06:33:27 +0100
