ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
83.143.8.249,"",NG,"",AydahwaDNS Authoritative Server 12.0.1 (eldar@aydayev.com built 25.07.1979 at Baku),,false,0.86,2015-09-30 20:08:59 +0200,2013-01-30 18:25:38 +0100
83.143.12.246,83.143.12.246.vgcphc.net.,NG,"","AydayevDNS 2011 (v10) 64bit version for Solaris 10 AMD64/Intel EM64 Edition\nDeveloped by Eldar Aydayev\nUNIX Systems Professional Consultant\nAydayev's Investment Business Group.\nSan Francisco, CA. USA\nPhone: +1 (650) 206-2624\nE-mail: eldar@aydayev.co",,false,1.0,2015-09-30 20:10:01 +0200,2013-08-08 07:36:41 +0200
83.143.12.249,83.143.12.249.vgcphc.net.,NG,"","AydayevDNS 2011 (v10) 64bit version for Solaris 10 AMD64/Intel EM64 Edition\nDeveloped by Eldar Aydayev\nUNIX Systems Professional Consultant\nAydayev's Investment Business Group.\nSan Francisco, CA. USA\nPhone: +1 (650) 206-2624\nE-mail: eldar@aydayev.co",,false,1.0,2015-09-30 20:10:01 +0200,2013-08-08 07:36:42 +0200
154.0.151.209,"",NG,"","",,false,1.0,2015-09-30 20:14:38 +0200,2014-12-29 12:11:15 +0100
41.58.183.70,"",NG,"",dnsmasq-2.40,,false,0.63,2015-09-30 20:15:35 +0200,2014-12-29 12:22:53 +0100
41.67.143.85,"",NG,Lagos,"",,false,0.62,2015-09-30 20:16:24 +0200,2014-12-29 12:32:10 +0100
41.58.183.30,"",NG,"",dnsmasq-2.40,,true,0.88,2015-09-30 20:16:58 +0200,2014-12-29 12:40:40 +0100
41.58.183.42,"",NG,"",dnsmasq-2.40,,false,0.91,2015-09-30 20:20:12 +0200,2014-12-29 13:10:42 +0100
41.221.170.1,"",NG,"","",,false,0.96,2015-09-30 20:27:46 +0200,2014-12-29 14:17:55 +0100
196.13.112.41,"",NG,"",dnsmasq-2.48,,true,0.47,2015-09-30 11:54:01 +0200,2014-12-29 14:34:10 +0100
41.58.157.70,"",NG,"",dnsmasq-2.40,,false,1.0,2015-09-30 12:02:40 +0200,2014-12-29 15:26:05 +0100
197.211.46.138,"",NG,"","",,false,0.96,2015-09-30 12:04:50 +0200,2014-12-29 15:38:50 +0100
41.58.168.70,"",NG,"",dnsmasq-2.40,,false,1.0,2015-09-30 12:05:52 +0200,2014-12-29 15:44:31 +0100
41.78.88.181,"",NG,"","",,false,0.68,2015-09-30 12:08:26 +0200,2014-12-29 15:57:48 +0100
197.253.8.249,publicmail.promasidor-ng.com.,NG,"",9.9.7-P2,,false,0.99,2015-09-30 12:12:13 +0200,2014-12-29 16:18:02 +0100
93.189.186.63,host63-186-189-93.soho.nordext.net.,NG,"","",,false,0.97,2015-09-30 12:13:50 +0200,2014-12-29 16:26:28 +0100
196.222.2.1,"",NG,"","",,false,0.88,2015-09-30 12:18:09 +0200,2014-12-29 16:50:56 +0100
41.58.157.74,"",NG,"",dnsmasq-2.40,,true,0.98,2015-09-30 12:19:29 +0200,2014-12-29 17:00:48 +0100
41.58.144.34,"",NG,"","",,false,0.93,2015-09-30 12:50:29 +0200,2014-12-29 21:55:55 +0100
41.75.87.2,"",NG,"",Version: main/17936,,false,1.0,2015-09-30 13:11:33 +0200,2014-12-30 10:24:52 +0100
41.58.147.6,"",NG,"",dnsmasq-2.40,,false,0.99,2015-09-30 13:20:04 +0200,2014-12-30 12:02:46 +0100
41.58.147.50,"",NG,"",dnsmasq-2.40,,false,0.83,2015-09-30 13:23:56 +0200,2014-12-30 12:38:03 +0100
41.79.146.254,"",NG,"","",,false,0.93,2015-09-30 13:28:45 +0200,2014-12-30 13:22:22 +0100
41.58.147.34,"",NG,"",dnsmasq-2.40,,false,0.92,2015-09-30 13:37:46 +0200,2014-12-30 14:35:35 +0100
196.216.253.43,"",NG,"",dnsmasq-2.68,,false,0.91,2015-09-30 13:38:29 +0200,2014-12-30 14:43:38 +0100
197.211.32.242,"",NG,Ilorin,"",,false,0.91,2015-09-30 13:39:22 +0200,2014-12-30 14:55:27 +0100
197.211.32.235,"",NG,Ilorin,"",,false,0.97,2015-09-30 13:42:35 +0200,2014-12-30 15:23:49 +0100
41.222.208.12,41-222-208-12.galaxybackbone.com.,NG,Suleja,"",,false,0.43,2015-09-30 13:46:59 +0200,2014-12-30 16:09:42 +0100
41.58.155.234,"",NG,"","",,false,1.0,2015-09-30 14:20:45 +0200,2014-12-31 23:52:03 +0100
41.223.67.107,"",NG,"","",,false,0.93,2015-09-30 14:33:39 +0200,2015-01-06 00:35:37 +0100
41.215.244.145,"",NG,Lagos,"",,false,0.96,2015-09-30 14:39:32 +0200,2015-01-06 03:40:39 +0100
41.203.89.140,"",NG,Benin City,"",,false,0.98,2015-09-30 14:46:57 +0200,2015-01-06 07:15:40 +0100
41.184.178.23,41-184-178-23.rv.ipnxtelecoms.com.,NG,"",dnsmasq-2.40,,true,0.62,2015-09-30 14:46:57 +0200,2015-01-06 07:15:40 +0100
41.73.20.98,"",NG,"","",,false,0.97,2015-09-30 14:47:50 +0200,2015-01-06 07:42:41 +0100
41.67.136.89,"",NG,Lagos,"",,false,0.98,2015-09-30 14:49:43 +0200,2015-01-06 08:47:34 +0100
41.58.138.114,"",NG,"","",,false,0.99,2015-09-30 14:51:43 +0200,2015-01-06 09:44:29 +0100
62.173.57.187,57-187.rv.ipnxtelecoms.com.,NG,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.64,2015-09-30 14:52:57 +0200,2015-01-06 10:20:59 +0100
41.221.164.37,"",NG,"","",,false,1.0,2015-09-30 15:01:54 +0200,2015-01-06 14:26:58 +0100
62.173.41.4,41-4.rv.ipnxtelecoms.com.,NG,"",Version: main/17936,,false,0.96,2015-09-30 15:08:28 +0200,2015-01-06 17:18:20 +0100
62.173.41.6,mail.ogunaraya.com.,NG,"",Version: main/17936,,false,0.95,2015-09-30 15:11:02 +0200,2015-01-06 18:25:13 +0100
41.75.92.2,"",NG,"","",,false,1.0,2015-09-30 15:17:12 +0200,2015-01-06 21:05:21 +0100
41.184.176.47,41-184-176-47.rv.ipnxtelecoms.com.,NG,"",9.8.2rc1-RedHat-9.8.2-0.37.rc1.el6_7.2,,true,0.84,2015-09-30 15:28:26 +0200,2015-01-07 03:00:12 +0100
41.242.49.1,"",NG,Suleja,"",,false,1.0,2015-09-30 15:34:27 +0200,2015-01-07 06:15:45 +0100
41.203.80.5,glodns1.gloworld.com.,NG,"",9.2.4,,false,0.12,2015-09-30 15:37:53 +0200,2015-01-07 08:14:31 +0100
41.58.181.74,"",NG,"",dnsmasq-2.40,,false,1.0,2015-09-30 15:50:33 +0200,2015-01-07 14:55:36 +0100
41.58.132.142,"",NG,"",dnsmasq-2.40,,false,0.78,2015-09-30 16:02:26 +0200,2015-01-07 21:02:12 +0100
41.216.160.4,domain.not.configured.,NG,"",9.3.3,,false,1.0,2015-09-30 16:09:31 +0200,2015-01-08 00:12:58 +0100
217.14.88.123,"",NG,"",none,,false,0.84,2015-09-30 16:09:32 +0200,2015-01-08 00:14:29 +0100
41.216.160.12,domain.not.configured.,NG,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-09-30 16:09:59 +0200,2015-01-08 00:25:54 +0100
41.67.135.18,"",NG,Lagos,"",,false,0.97,2015-09-30 16:13:23 +0200,2015-01-08 01:55:43 +0100
41.75.87.66,"",NG,"",dnsmasq-2.55,,false,1.0,2015-09-30 16:23:38 +0200,2015-01-08 06:27:47 +0100
