ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
190.212.75.90,90-75-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.14,2015-09-30 20:15:42 +0200,2014-12-29 12:23:27 +0100
186.76.250.204,204-250-76-186.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.16,2015-09-30 20:16:50 +0200,2014-12-29 12:38:11 +0100
186.76.250.34,34-250-76-186.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.49,2015-09-30 20:22:18 +0200,2014-12-29 13:30:27 +0100
200.62.88.176,176-88-62-200.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.99,2015-09-30 20:24:46 +0200,2014-12-29 13:52:58 +0100
186.76.250.168,168-250-76-186.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.28,2015-09-30 20:27:02 +0200,2014-12-29 14:12:42 +0100
200.62.87.217,217-87-62-200.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,1.0,2015-09-30 20:27:58 +0200,2014-12-29 14:20:06 +0100
190.184.56.194,194-56-184-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.99,2015-09-30 20:28:05 +0200,2014-12-29 14:20:52 +0100
190.212.195.181,181-195-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.32,2015-09-30 11:53:56 +0200,2014-12-29 14:35:11 +0100
190.212.87.204,204-87-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.52,2015-09-30 11:58:17 +0200,2014-12-29 15:00:03 +0100
190.212.87.235,235-87-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.35,2015-09-30 12:00:46 +0200,2014-12-29 15:15:11 +0100
186.77.171.232,232-171-77-186.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.2,2015-09-30 12:01:07 +0200,2014-12-29 15:17:42 +0100
190.181.164.87,WiMax164-87.yota.com.ni.,NI,Managua,dnsmasq-2.40,,true,0.12,2015-09-30 12:01:16 +0200,2014-12-29 15:18:14 +0100
186.77.171.198,198-171-77-186.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.33,2015-09-30 12:01:56 +0200,2014-12-29 15:22:25 +0100
190.212.14.188,188-14-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.48,2015-09-30 12:02:15 +0200,2014-12-29 15:24:10 +0100
186.77.171.196,196-171-77-186.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.29,2015-09-30 12:02:23 +0200,2014-12-29 15:25:06 +0100
190.212.88.61,61-88-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.51,2015-09-30 12:03:06 +0200,2014-12-29 15:29:34 +0100
190.212.14.231,231-14-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.14,2015-09-30 12:04:34 +0200,2014-12-29 15:37:09 +0100
190.212.192.117,117-192-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.32,2015-09-30 12:05:01 +0200,2014-12-29 15:39:37 +0100
190.212.14.167,167-14-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.14,2015-09-30 12:05:39 +0200,2014-12-29 15:42:58 +0100
200.62.84.106,106-84-62-200.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.99,2015-09-30 12:05:53 +0200,2014-12-29 15:44:24 +0100
190.212.196.172,172-196-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.29,2015-09-30 12:06:11 +0200,2014-12-29 15:46:41 +0100
186.76.248.157,157-248-76-186.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.27,2015-09-30 12:06:26 +0200,2014-12-29 15:47:50 +0100
190.212.192.93,93-192-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.2,2015-09-30 12:06:42 +0200,2014-12-29 15:49:35 +0100
190.212.192.89,89-192-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.53,2015-09-30 12:07:17 +0200,2014-12-29 15:52:48 +0100
186.77.171.178,178-171-77-186.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.42,2015-09-30 12:08:07 +0200,2014-12-29 15:56:57 +0100
190.212.88.53,53-88-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.13,2015-09-30 12:09:28 +0200,2014-12-29 16:03:40 +0100
190.212.14.164,164-14-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.3,2015-09-30 12:10:31 +0200,2014-12-29 16:09:19 +0100
186.77.171.106,106-171-77-186.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.47,2015-09-30 12:11:01 +0200,2014-12-29 16:11:44 +0100
190.212.196.209,209-196-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.26,2015-09-30 12:11:36 +0200,2014-12-29 16:14:56 +0100
190.212.15.36,36-15-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.34,2015-09-30 12:11:40 +0200,2014-12-29 16:15:23 +0100
190.212.192.71,71-192-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.32,2015-09-30 12:12:37 +0200,2014-12-29 16:20:20 +0100
190.212.196.129,129-196-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.4,2015-09-30 12:13:09 +0200,2014-12-29 16:23:09 +0100
190.212.196.145,145-196-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.25,2015-09-30 12:13:30 +0200,2014-12-29 16:24:58 +0100
190.212.192.97,97-192-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.62,2015-09-30 12:13:48 +0200,2014-12-29 16:26:19 +0100
186.77.167.62,62-167-77-186.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.29,2015-09-30 12:15:56 +0200,2014-12-29 16:37:49 +0100
186.76.248.19,19-248-76-186.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.18,2015-09-30 12:17:53 +0200,2014-12-29 16:50:00 +0100
190.212.192.69,69-192-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.21,2015-09-30 12:18:59 +0200,2014-12-29 16:57:19 +0100
186.76.248.253,253-248-76-186.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,true,0.68,2015-09-30 12:18:59 +0200,2014-12-29 16:57:24 +0100
190.212.65.93,93-65-212-190.enitel.net.ni.,NI,Managua,dnsmasq-2.52,,false,0.3,2015-09-30 12:19:39 +0200,2014-12-29 17:02:18 +0100
