ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
131.155.140.130,zen.stack.nl.,NL,Eindhoven,9.10.2,,true,1.0,2015-10-29 11:26:00 +0100,2009-08-07 23:06:32 +0200
193.110.157.2,"",NL,"",ask paul@xtdnet.nl if you have a valid reason for asking,,false,1.0,2015-10-29 11:26:04 +0100,2009-08-09 02:09:24 +0200
193.33.220.3,"",NL,"",Served by POWERDNS 2.9.22.6 $Id: packethandler.cc 2063 2011-03-14 14:26:38Z ahu $,,true,0.99,2015-10-29 11:26:06 +0100,2009-08-10 00:53:08 +0200
2001:610:1108:5010::130,zen.stack.nl.,NL,"",9.10.2,,true,0.99,2015-10-29 11:26:23 +0100,2013-01-04 04:20:16 +0100
93.88.144.138,DNS1.UNIFIEDROOT.COM.,NL,Rooth,"",,false,0.66,2015-10-29 11:26:31 +0100,2013-01-30 18:27:50 +0100
93.88.145.138,DNS2.UNIFIEDROOT.COM.,NL,Rooth,"",,false,0.4,2015-10-29 11:26:28 +0100,2013-01-30 18:27:50 +0100
93.88.147.138,DNS4.UNIFIEDROOT.COM.,NL,Rooth,"",,false,0.66,2015-10-29 11:26:28 +0100,2013-01-30 18:27:51 +0100
93.88.148.138,DNS5.UNIFIEDROOT.COM.,NL,Rooth,"",,false,0.66,2015-10-29 11:26:31 +0100,2013-01-30 18:27:51 +0100
93.88.149.138,DNS6.UNIFIEDROOT.COM.,NL,Rooth,"",,false,0.64,2015-10-29 11:26:28 +0100,2013-01-30 18:27:51 +0100
93.88.150.138,DNS7.UNIFIEDROOT.COM.,NL,Rooth,"",,false,0.66,2015-10-29 11:26:31 +0100,2013-01-30 18:27:51 +0100
93.88.151.138,DNS8.UNIFIEDROOT.COM.,NL,Rooth,"",,false,0.66,2015-10-29 11:26:31 +0100,2013-01-30 18:27:52 +0100
193.67.79.39,cache0200.ns.eu.uu.net.,NL,"","",,true,1.0,2015-10-29 11:26:32 +0100,2013-01-30 18:41:31 +0100
