ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
217.18.206.12,ns1.eonisp.net.,NO,"",PowerDNS Recursor 3.7.3 (jenkins@autotest.powerdns.com built 20150610132449 mockbuild@),,false,1.0,2015-10-29 11:26:05 +0100,2009-08-09 02:11:18 +0200
217.18.206.22,ns2.eonisp.net.,NO,"",PowerDNS Recursor 3.7.3 (jenkins@autotest.powerdns.com built 20150610132449 mockbuild@),,false,1.0,2015-10-29 11:26:06 +0100,2009-08-09 23:01:36 +0200
2001:840:0:200::1,ns2.powertech.no.,NO,"",9.8.3-P4,,false,1.0,2015-10-29 11:26:24 +0100,2013-01-04 04:22:53 +0100
85.119.136.158,85-119-136-158.telio.no.,NO,"",9.2.4,,false,1.0,2015-10-29 11:26:28 +0100,2013-01-30 18:26:18 +0100
2001:840:200::,ns2.powertech.no.,NO,"",9.8.3-P4,,false,0.99,2015-10-29 11:26:52 +0100,2013-04-23 02:04:28 +0200
2001:840:2010:413::100,"",NO,"",PowerDNS Recursor 3.5.3 $Id$,,false,0.99,2015-10-29 11:26:53 +0100,2013-04-23 02:04:28 +0200
82.134.4.11,saturn.swiff.no.,NO,"",9.2.2-P3,,false,1.0,2015-10-29 11:27:19 +0100,2013-04-23 03:20:02 +0200
109.239.232.66,"",NO,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 11:32:44 +0100,2014-12-29 12:20:37 +0100
195.204.130.41,"",NO,Skien,"",,false,1.0,2015-10-29 11:38:14 +0100,2014-12-29 13:16:12 +0100
195.204.130.84,"",NO,Skien,"",,false,1.0,2015-10-29 11:40:40 +0100,2014-12-29 13:38:21 +0100
81.175.40.23,zi203bl.zetha.no.,NO,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-29 11:42:03 +0100,2014-12-29 13:50:53 +0100
195.204.130.3,"",NO,Skien,"",,false,1.0,2015-10-29 11:42:36 +0100,2014-12-29 13:56:15 +0100
195.0.175.64,c40AF00C3.dhcp.as2116.net.,NO,Larvik,dnsmasq-2.40,,false,1.0,2015-10-29 11:46:46 +0100,2014-12-29 14:28:28 +0100
195.204.237.61,"",NO,Molde,PowerDNS Recursor 3.6.2 (jenkins@autotest.powerdns.com built 20141209125855 root@slim.dns.as2116.net),,false,1.0,2015-10-29 11:48:00 +0100,2014-12-29 14:36:11 +0100
109.189.177.81,81.177.189.109.customer.cdi.no.,NO,Trondheim,9.9.8,,false,1.0,2015-10-29 11:48:15 +0100,2014-12-29 14:37:30 +0100
85.255.42.67,"",NO,Halden,dnsmasq-2.40,,false,1.0,2015-10-29 11:49:43 +0100,2014-12-29 14:45:57 +0100
62.63.16.111,62-63-16-111.static.customer.pronea.no.,NO,Tromsø,"",,false,1.0,2015-10-29 11:54:20 +0100,2014-12-29 15:13:17 +0100
195.204.130.85,"",NO,Skien,"",,false,1.0,2015-10-29 11:55:34 +0100,2014-12-29 15:20:56 +0100
195.1.89.111,c6F5901C3.dhcp.as2116.net.,NO,Manger,PowerDNS Recursor 3.6.2 (jenkins@autotest.powerdns.com built 20141209125855 root@slim.dns.as2116.net),,false,1.0,2015-10-29 11:56:12 +0100,2014-12-29 15:24:27 +0100
87.252.85.6,"",NO,Tønsberg,"",,false,1.0,2015-10-29 12:04:41 +0100,2014-12-29 16:10:36 +0100
212.4.60.161,"",NO,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-29 12:07:14 +0100,2014-12-29 16:23:43 +0100
82.146.69.227,227-69.146.82.customer.modumktv.no.,NO,Geithus,BIND,,false,0.92,2015-10-29 12:10:13 +0100,2014-12-29 16:39:39 +0100
77.106.164.197,197.164.eidsiva.net.,NO,"","",,false,1.0,2015-10-29 12:12:44 +0100,2014-12-29 16:56:06 +0100
148.122.181.205,"",NO,"","",,false,1.0,2015-10-29 12:13:54 +0100,2014-12-29 17:04:01 +0100
77.88.66.253,"",NO,Oslo,Microsoft DNS 6.1.7600 (1DB04001),,false,0.83,2015-10-29 12:17:07 +0100,2014-12-29 17:32:44 +0100
88.84.176.251,"",NO,Tromsø,"",,false,1.0,2015-10-29 12:25:41 +0100,2014-12-29 18:56:55 +0100
77.88.117.83,odin.scenic.no.,NO,Sorumsand,"",,false,0.99,2015-10-29 12:27:20 +0100,2014-12-29 19:10:10 +0100
79.161.254.201,79.161.254.201.static.lyse.net.,NO,"",dnsmasq-2.45,,true,1.0,2015-10-29 12:29:20 +0100,2014-12-29 19:26:46 +0100
84.247.132.145,ip84-247-132-145.breiband.no.,NO,"","",,false,0.98,2015-10-29 12:30:44 +0100,2014-12-29 19:39:29 +0100
193.214.102.101,101.102.214.193.static.cust.telenor.com.,NO,"","",,false,0.99,2015-10-29 12:30:52 +0100,2014-12-29 19:40:50 +0100
79.161.49.34,79.161.49.34.static.lyse.net.,NO,Orre,Microsoft DNS 6.0.6002 (1772487D),,false,0.91,2015-10-29 12:31:24 +0100,2014-12-29 19:48:16 +0100
77.88.68.194,"",NO,"","",,false,0.8,2015-10-29 12:33:43 +0100,2014-12-29 20:16:34 +0100
195.1.222.250,"",NO,"","",,false,0.99,2015-10-29 12:35:09 +0100,2014-12-29 20:34:24 +0100
95.34.91.225,225.91.34.95.customer.cdi.no.,NO,Holmestrand,dnsmasq-2.40,,false,1.0,2015-10-29 12:38:16 +0100,2014-12-29 21:03:39 +0100
88.84.182.1,"",NO,"",dnsmasq-2.72,,false,1.0,2015-10-29 12:40:33 +0100,2014-12-29 21:22:25 +0100
195.204.130.33,"",NO,Skien,"",,false,0.99,2015-10-29 12:47:43 +0100,2014-12-29 22:17:38 +0100
91.189.183.54,"",NO,"",9.4.2-P2,,false,0.99,2015-10-29 12:49:07 +0100,2014-12-29 22:28:14 +0100
195.18.138.5,"",NO,Oslo,"",,false,1.0,2015-10-29 12:50:03 +0100,2014-12-29 22:36:54 +0100
79.161.125.170,79.161.125.170.static.lyse.net.,NO,Mjondalen,Microsoft DNS 6.0.6001 (17714726),,false,0.63,2015-10-29 12:53:05 +0100,2014-12-29 23:11:56 +0100
213.52.4.133,mail2.hnett.no.,NO,Mosjoen,"",,false,0.99,2015-10-29 12:55:12 +0100,2014-12-29 23:57:53 +0100
80.203.173.131,131.80-203-173.nextgentel.com.,NO,"","",,false,0.98,2015-10-29 12:55:39 +0100,2014-12-30 00:09:50 +0100
193.215.74.3,dc01.powelasa.powel.com.,NO,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 12:55:48 +0100,2014-12-30 00:14:09 +0100
