ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
110.44.113.79,"",NP,"","",,false,0.97,2015-10-23 00:42:19 +0200,2014-12-29 18:16:56 +0100
115.187.17.50,"",NP,"",9.2.4,,false,0.9,2015-10-23 00:42:39 +0200,2014-12-29 18:19:38 +0100
110.44.122.143,"",NP,"",dnsmasq-2.40,,true,0.89,2015-10-23 01:35:30 +0200,2014-12-30 11:47:34 +0100
202.166.192.72,lo-0-72-192-mctk-pyu-01.wlink.com.np.,NP,Kathmandu,"",,false,0.9,2015-10-23 01:36:23 +0200,2014-12-30 11:54:54 +0100
203.78.167.101,nav.nrcs.org.,NP,Kathmandu,Microsoft DNS 6.0.6002 (1772487D),,false,0.94,2015-10-23 01:42:33 +0200,2014-12-30 12:48:23 +0100
103.28.87.5,ns2.techminds.com.np.,NP,Bharatpur,9.9.4-RedHat-9.9.4-18.el7_1.5,,true,0.54,2015-10-22 17:52:59 +0200,2015-01-05 18:08:48 +0100
116.66.197.132,"",NP,Kathmandu,9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.2,,false,0.84,2015-10-22 18:20:41 +0200,2015-01-06 09:21:00 +0100
124.41.217.161,"",NP,Lumbini,"",,false,0.86,2015-10-22 18:42:52 +0200,2015-01-06 18:58:41 +0100
202.166.207.16,16.207.166.202.ether.static.wlink.com.np.,NP,Kathmandu,"",,false,1.0,2015-10-22 19:16:27 +0200,2015-01-07 11:45:18 +0100
124.41.193.1,"",NP,Lumbini,"",,false,0.96,2015-10-22 20:07:08 +0200,2015-01-08 13:42:02 +0100
14.128.12.3,"",NP,Lalitpur,"",,false,0.8,2015-10-22 20:49:30 +0200,2015-01-09 10:35:28 +0100
202.166.211.202,202.211.166.202.ether.static.wlink.com.np.,NP,Kathmandu,"",,false,0.99,2015-10-22 21:10:24 +0200,2015-01-09 23:17:16 +0100
202.166.211.67,67.211.166.202.ether.static.wlink.com.np.,NP,Kathmandu,"",,false,0.99,2015-10-22 21:11:58 +0200,2015-01-10 00:17:39 +0100
110.44.126.32,"",NP,"","",,false,0.92,2015-10-22 21:16:17 +0200,2015-01-10 02:35:29 +0100
203.78.165.242,dialup-pool6-242.,NP,Kathmandu,"",,false,0.99,2015-10-22 21:21:56 +0200,2015-01-10 05:55:41 +0100
110.44.121.143,"",NP,"","",,false,0.8,2015-10-22 21:43:02 +0200,2015-01-10 16:25:31 +0100
202.50.55.251,"",NP,Kathmandu,"",,false,0.97,2015-10-22 22:10:49 +0200,2015-01-11 08:11:11 +0100
202.166.207.28,outlook.cricketnepal.org.,NP,Kathmandu,"",,false,0.96,2015-10-22 22:15:33 +0200,2015-01-11 10:57:09 +0100
110.44.114.137,"",NP,"","",,false,0.94,2015-10-22 22:22:46 +0200,2015-01-11 14:58:08 +0100
202.166.198.41,41.198.166.202.ether.static.wlink.com.np.,NP,Kathmandu,"",,false,0.99,2015-10-22 22:35:13 +0200,2015-01-11 21:10:14 +0100
202.166.198.120,120.198.166.202.ether.static.wlink.com.np.,NP,Kathmandu,"",,false,1.0,2015-10-22 22:36:28 +0200,2015-01-11 21:44:14 +0100
202.79.58.227,227.58.79.202.ether.static.wlink.com.np.,NP,"","",,false,0.82,2015-10-22 22:39:50 +0200,2015-01-11 23:16:22 +0100
202.79.58.252,252.58.79.202.ether.static.wlink.com.np.,NP,"","",,false,0.86,2015-10-22 22:40:20 +0200,2015-01-11 23:29:24 +0100
118.91.173.2,"",NP,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.95,2015-10-22 22:46:35 +0200,2015-01-12 02:18:35 +0100
202.166.205.95,mail.ulci.com.np.,NP,Kathmandu,"",,false,1.0,2015-10-22 22:47:27 +0200,2015-01-12 02:50:07 +0100
118.91.173.143,"",NP,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.99,2015-10-22 22:49:18 +0200,2015-01-12 03:51:28 +0100
116.90.239.17,"",NP,"","",,false,1.0,2015-10-22 23:10:50 +0200,2015-01-12 16:52:34 +0100
116.90.239.4,"",NP,"",9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.2,,false,0.86,2015-10-22 23:11:43 +0200,2015-01-12 17:25:45 +0100
202.38.7.233,"",NP,"","",,false,0.99,2015-10-22 23:13:18 +0200,2015-01-12 18:12:36 +0100
202.38.7.222,"",NP,"","",,false,0.99,2015-10-22 23:16:44 +0200,2015-01-12 20:18:07 +0100
