ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
202.180.64.2,ns2.tranzpeer.net.,NZ,"",9.7.3,,false,1.0,2015-10-22 23:46:25 +0200,2013-01-30 19:04:05 +0100
202.180.64.9,ns.tranzpeer.net.,NZ,"",9.7.3,,false,0.99,2015-10-22 23:46:25 +0200,2013-01-30 19:04:06 +0100
203.109.129.67,ns1.ihug.co.nz.,NZ,"",unbound 1.4.21,,true,1.0,2015-10-22 23:46:24 +0200,2013-01-30 19:10:52 +0100
203.109.129.68,ns2.ihug.co.nz.,NZ,"",unbound 1.4.20,,true,1.0,2015-10-22 23:46:25 +0200,2013-01-30 19:10:53 +0100
111.69.20.100,100.20.69.111.static.snap.net.nz.,NZ,Christchurch,"",,false,0.52,2015-10-22 23:52:29 +0200,2014-12-29 12:15:53 +0100
210.48.77.69,ip-210-48-77-69.iconz.net.nz.,NZ,Auckland,Microsoft DNS 6.1.7601 (1DB14556),,false,0.85,2015-10-22 23:53:58 +0200,2014-12-29 12:31:19 +0100
58.28.165.26,ip-58-28-165-26.wxnz.net.,NZ,Auckland,"",,false,0.98,2015-10-22 23:54:34 +0200,2014-12-29 12:41:39 +0100
210.48.76.221,ip-210-48-76-221.iconz.net.nz.,NZ,Auckland,"",,false,1.0,2015-10-22 23:54:40 +0200,2014-12-29 12:42:49 +0100
219.89.85.15,219-89-85-15.adsl.xtra.co.nz.,NZ,Auckland,"",,false,0.96,2015-10-22 23:55:30 +0200,2014-12-29 12:50:24 +0100
103.14.142.236,103-14-142-236.ip.cis.gen.nz.,NZ,Douglas,dnsmasq-2.48,,true,0.99,2015-10-22 23:56:59 +0200,2014-12-29 13:03:47 +0100
202.124.97.26,dns2.concepts.co.nz.,NZ,Christchurch,"",,false,1.0,2015-10-22 23:57:04 +0200,2014-12-29 13:04:45 +0100
210.48.77.68,ip-210-48-77-68.iconz.net.nz.,NZ,Auckland,Microsoft DNS 6.1.7601 (1DB14556),,false,0.91,2015-10-22 23:57:56 +0200,2014-12-29 13:10:53 +0100
103.14.142.219,103-14-142-219.ip.cis.gen.nz.,NZ,Douglas,dnsmasq-2.48,,true,1.0,2015-10-22 23:58:02 +0200,2014-12-29 13:12:46 +0100
111.69.20.199,199.20.69.111.static.snap.net.nz.,NZ,Christchurch,"",,false,0.99,2015-10-23 00:00:50 +0200,2014-12-29 13:37:44 +0100
101.98.39.8,203-184-52-8.callplus.net.nz.,NZ,"","",,false,0.72,2015-10-23 00:01:17 +0200,2014-12-29 13:41:18 +0100
222.154.238.94,222-154-238-94.adsl.xtra.co.nz.,NZ,Hamilton,Nominum Vantio 5.3.4.0,,false,0.99,2015-10-23 00:08:03 +0200,2014-12-29 14:34:49 +0100
202.50.90.10,invdnsmm2.sit.ac.nz.,NZ,Invercargill,"",,false,0.97,2015-10-23 00:12:18 +0200,2014-12-29 14:57:23 +0100
103.14.141.203,103-14-141-203.ip.cis.gen.nz.,NZ,Douglas,dnsmasq-2.48,,true,1.0,2015-10-23 00:15:53 +0200,2014-12-29 15:18:42 +0100
111.69.26.87,87.26.69.111.static.snap.net.nz.,NZ,Christchurch,"",,false,0.39,2015-10-23 00:25:12 +0200,2014-12-29 16:08:13 +0100
202.50.90.1,smtp.sit.ac.nz.,NZ,Invercargill,"",,false,0.98,2015-10-23 00:27:31 +0200,2014-12-29 16:20:13 +0100
111.69.26.88,88.26.69.111.static.snap.net.nz.,NZ,Christchurch,"",,false,0.67,2015-10-23 00:30:20 +0200,2014-12-29 16:34:23 +0100
222.154.234.22,222-154-234-22.adsl.xtra.co.nz.,NZ,Auckland,"",,false,0.92,2015-10-23 00:31:38 +0200,2014-12-29 16:42:25 +0100
111.69.33.158,158.33.69.111.static.snap.net.nz.,NZ,Auckland,"",,false,1.0,2015-10-23 00:35:56 +0200,2014-12-29 17:11:50 +0100
111.69.33.164,164.33.69.111.static.snap.net.nz.,NZ,Auckland,"",,true,1.0,2015-10-23 00:40:01 +0200,2014-12-29 17:53:47 +0100
111.69.33.145,145.33.69.111.static.snap.net.nz.,NZ,Auckland,"",,false,0.99,2015-10-23 00:41:26 +0200,2014-12-29 18:09:03 +0100
114.23.98.5,remote.mtcargilltrust.org.nz.,NZ,Christchurch,recursor1.qst,,false,1.0,2015-10-23 00:41:49 +0200,2014-12-29 18:11:36 +0100
202.36.233.45,"",NZ,"",9.8.4-rpz2+rl005.12-P1,,true,0.77,2015-10-23 00:43:25 +0200,2014-12-29 18:26:34 +0100
202.175.138.26,"",NZ,Auckland,"",,false,0.99,2015-10-23 00:43:26 +0200,2014-12-29 18:26:44 +0100
202.49.165.9,"",NZ,Tauranga,"",,false,0.99,2015-10-23 00:45:41 +0200,2014-12-29 18:45:55 +0100
202.68.86.122,mail.infosoft.co.nz.,NZ,"","",,false,0.98,2015-10-23 00:49:42 +0200,2014-12-29 19:19:48 +0100
103.251.168.2,static-ip-103-251-168-2.ourschool.net.nz.,NZ,Auckland,dnsmasq-2.73,,false,1.0,2015-10-23 00:50:18 +0200,2014-12-29 19:25:25 +0100
49.50.247.36,"",NZ,Auckland,"",,true,1.0,2015-10-23 01:01:09 +0200,2014-12-29 21:17:32 +0100
49.50.247.180,"",NZ,Auckland,"",,false,1.0,2015-10-23 01:08:57 +0200,2014-12-29 22:16:07 +0100
182.54.161.43,"",NZ,Dunedin,"",,false,0.94,2015-10-23 01:09:36 +0200,2014-12-29 22:20:39 +0100
219.88.66.217,219-88-66-217.adsl.xtra.co.nz.,NZ,"","",,false,0.99,2015-10-23 01:10:04 +0200,2014-12-29 22:23:49 +0100
182.54.160.245,br.rt.adams-it.net.,NZ,"","",,false,1.0,2015-10-23 01:11:22 +0200,2014-12-29 22:32:57 +0100
203.173.163.27,UNASSIGNED.static.cust.vf.net.nz.,NZ,Kihikihi,unbound 1.4.21,,true,1.0,2015-10-23 01:20:02 +0200,2014-12-30 01:07:08 +0100
111.69.22.90,90.22.69.111.static.snap.net.nz.,NZ,Christchurch,"",,false,1.0,2015-10-23 01:25:27 +0200,2014-12-30 09:43:53 +0100
202.124.119.159,159.119.124.202.static.snap.net.nz.,NZ,"","",,false,0.99,2015-10-23 01:28:16 +0200,2014-12-30 10:25:04 +0100
58.84.235.158,58-84-235-158.nzwireless.co.nz.,NZ,"","",,true,1.0,2015-10-23 01:29:17 +0200,2014-12-30 10:39:15 +0100
210.48.67.166,jade.aboutimage.co.nz.,NZ,Auckland,Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-23 01:36:12 +0200,2014-12-30 11:53:20 +0100
203.109.205.116,116.205.109.203.static.cust.vf.net.nz.,NZ,"",dnsmasq-2.38,,true,0.99,2015-10-23 01:39:37 +0200,2014-12-30 12:23:40 +0100
103.14.141.249,103-14-141-249.ip.cis.gen.nz.,NZ,Douglas,dnsmasq-2.48,,true,1.0,2015-10-23 01:40:18 +0200,2014-12-30 12:30:42 +0100
202.20.3.45,mail.curtismclean.co.nz.,NZ,Wellington,"",,false,0.99,2015-10-23 01:40:26 +0200,2014-12-30 12:31:57 +0100
103.14.141.242,103-14-141-242.ip.cis.gen.nz.,NZ,Douglas,dnsmasq-2.45,,true,1.0,2015-10-23 01:42:57 +0200,2014-12-30 12:54:12 +0100
103.14.141.239,103-14-141-239.ip.cis.gen.nz.,NZ,Douglas,dnsmasq-2.48,,true,1.0,2015-10-23 01:43:43 +0200,2014-12-30 13:00:44 +0100
103.14.141.235,103-14-141-235.ip.cis.gen.nz.,NZ,Douglas,dnsmasq-2.48,,true,1.0,2015-10-23 01:46:54 +0200,2014-12-30 13:28:48 +0100
60.234.48.100,"",NZ,Auckland,"",,false,0.46,2015-10-23 01:48:34 +0200,2014-12-30 13:41:23 +0100
103.14.141.227,103-14-141-227.ip.cis.gen.nz.,NZ,Douglas,dnsmasq-2.48,,true,1.0,2015-10-23 01:54:54 +0200,2014-12-30 14:31:12 +0100
203.167.234.90,"",NZ,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-23 01:55:07 +0200,2014-12-30 14:33:10 +0100
103.14.141.132,103-14-141-132.ip.cis.gen.nz.,NZ,Douglas,dnsmasq-2.48,,true,1.0,2015-10-23 01:56:51 +0200,2014-12-30 14:55:07 +0100
103.247.154.215,unallocated.maxumdata.net.,NZ,Auckland,"",,false,0.81,2015-10-23 02:00:21 +0200,2014-12-30 15:26:05 +0100
121.98.116.98,"",NZ,Auckland,"",,false,0.99,2015-10-23 02:03:15 +0200,2014-12-30 15:54:09 +0100
203.86.206.68,remote.wymasolutions.com.,NZ,"",9.8.1-P1,,false,1.0,2015-10-23 02:13:15 +0200,2014-12-30 17:31:34 +0100
203.97.206.47,203-97-206-47.dsl.telstraclear.net.,NZ,"",sorry,,false,1.0,2015-10-23 02:14:57 +0200,2014-12-30 17:51:51 +0100
103.14.142.225,103-14-142-225.ip.cis.gen.nz.,NZ,Douglas,dnsmasq-2.48,,true,1.0,2015-10-23 02:18:08 +0200,2014-12-30 18:31:41 +0100
180.222.71.239,static.uber.co.nz.,NZ,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-23 02:18:17 +0200,2014-12-30 18:33:06 +0100
202.124.98.158,"",NZ,"","",,false,0.52,2015-10-23 02:18:16 +0200,2014-12-30 18:33:15 +0100
103.14.142.216,103-14-142-216.ip.cis.gen.nz.,NZ,Douglas,dnsmasq-2.48,,true,1.0,2015-10-23 02:18:28 +0200,2014-12-30 18:35:04 +0100
