ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
190.219.5.170,"",PA,Pueblo Nuevo,"",,false,0.94,2015-10-29 11:31:03 +0100,2014-12-27 15:25:50 +0100
190.34.220.204,"",PA,"","",,false,1.0,2015-10-29 11:33:46 +0100,2014-12-29 12:31:55 +0100
190.34.220.171,"",PA,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.94,2015-10-29 11:35:23 +0100,2014-12-29 12:50:44 +0100
186.74.153.60,"",PA,"","",,false,1.0,2015-10-29 11:39:55 +0100,2014-12-29 13:31:10 +0100
200.46.174.147,147.174.46.200.psinetpa.net.,PA,Pueblo Nuevo,"",,false,1.0,2015-10-29 11:45:05 +0100,2014-12-29 14:16:31 +0100
190.140.43.154,cm-xxx-xxx-xxx-154.cpe-statics.cableonda.net.,PA,Pueblo Nuevo,"",,true,0.97,2015-10-29 11:51:43 +0100,2014-12-29 14:57:02 +0100
190.242.14.77,"",PA,Plaza,dnsmasq-2.68,,true,1.0,2015-10-29 11:54:31 +0100,2014-12-29 15:14:39 +0100
186.73.228.54,"",PA,"","",,false,0.99,2015-10-29 11:56:47 +0100,2014-12-29 15:27:30 +0100
190.14.39.204,mail.offshoreracks.com.,PA,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-29 12:02:00 +0100,2014-12-29 15:56:29 +0100
186.5.133.2,"",PA,Plaza,No Way,,false,0.99,2015-10-29 12:06:20 +0100,2014-12-29 16:18:48 +0100
186.73.228.50,"",PA,"","",,false,0.97,2015-10-29 12:09:06 +0100,2014-12-29 16:33:02 +0100
190.123.194.48,"",PA,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-29 12:09:45 +0100,2014-12-29 16:36:31 +0100
190.34.65.138,"",PA,"","",,true,0.7,2015-10-29 12:15:03 +0100,2014-12-29 17:13:12 +0100
201.218.233.130,"",PA,Pueblo Nuevo,Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-29 12:22:06 +0100,2014-12-29 18:25:45 +0100
190.34.193.36,"",PA,"","",,true,0.99,2015-10-29 12:27:14 +0100,2014-12-29 19:09:18 +0100
190.34.193.34,"",PA,"","",,true,0.98,2015-10-29 12:27:52 +0100,2014-12-29 19:15:13 +0100
201.227.172.236,"",PA,"","",,false,1.0,2015-10-29 12:29:14 +0100,2014-12-29 19:25:26 +0100
190.141.57.242,cocospanama.com.,PA,Veraguas,Microsoft DNS 6.1.7601 (1DB14556),,false,0.74,2015-10-29 12:32:20 +0100,2014-12-29 19:59:34 +0100
200.124.11.2,cm-200-124-11-2.cpe-statics.cableonda.net.,PA,Panama City,"",,true,0.95,2015-10-29 12:34:47 +0100,2014-12-29 20:29:24 +0100
186.75.158.28,www.sspanama.com.pa.,PA,"","",,false,0.98,2015-10-29 12:38:58 +0100,2014-12-29 21:09:48 +0100
190.34.171.251,"",PA,"","",,true,0.55,2015-10-29 12:40:44 +0100,2014-12-29 21:23:25 +0100
201.218.236.9,"",PA,Victoria,Microsoft DNS 6.1.7601 (1DB1446A),,false,0.98,2015-10-29 12:53:29 +0100,2014-12-29 23:15:52 +0100
186.74.153.61,"",PA,"","",,false,0.02,2015-10-29 12:55:06 +0100,2014-12-29 23:54:52 +0100
200.124.24.221,cm-200-124-24-221.cpe-statics.cableonda.net.,PA,Pueblo Nuevo,"",,false,0.95,2015-10-29 12:55:14 +0100,2014-12-29 23:57:56 +0100
200.46.107.13,mail.indexenpanama.com.,PA,Pueblo Nuevo,9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.2,,false,1.0,2015-10-29 12:55:35 +0100,2014-12-30 00:07:15 +0100
186.74.165.98,"",PA,"","",,false,1.0,2015-10-29 13:00:04 +0100,2014-12-30 01:44:46 +0100
200.75.228.90,cm-200-75-228-90.cpe-statics.cableonda.net.,PA,Pueblo Nuevo,"",,false,0.91,2015-10-29 13:10:43 +0100,2014-12-30 11:22:55 +0100
186.75.168.90,"",PA,"",dnsmasq-2.40,,true,0.7,2015-10-29 13:15:49 +0100,2014-12-30 12:09:40 +0100
200.46.252.237,"",PA,Plaza,Microsoft DNS 6.1.7600 (1DB04228),,false,0.88,2015-10-29 13:19:10 +0100,2014-12-30 12:39:04 +0100
190.242.13.210,"",PA,Plaza,"",,false,0.95,2015-10-29 13:21:26 +0100,2014-12-30 12:59:03 +0100
190.34.72.162,"",PA,"",dnsmasq-2.40,,true,0.95,2015-10-29 13:38:01 +0100,2014-12-30 15:24:57 +0100
201.227.100.139,mail.carrilloley.com.,PA,"",9.3.6-P1-RedHat-9.3.6-20.P1.el5,,false,0.95,2015-10-29 13:40:46 +0100,2014-12-30 15:52:44 +0100
200.46.34.125,"",PA,Pueblo Nuevo,Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-29 13:48:00 +0100,2014-12-30 16:53:59 +0100
201.227.172.226,"",PA,"","",,false,1.0,2015-10-29 13:56:56 +0100,2014-12-30 18:46:24 +0100
190.123.42.3,"",PA,Bella Vista,dnsmasq-2.55,,true,0.97,2015-10-29 14:00:00 +0100,2014-12-30 19:25:44 +0100
201.218.213.58,"",PA,Pueblo Nuevo,"",,true,0.92,2015-10-29 14:33:22 +0100,2015-01-06 03:01:57 +0100
201.218.249.146,mail.popeyes.com.pa.,PA,Pueblo Nuevo,"",,false,0.99,2015-10-29 14:35:20 +0100,2015-01-06 04:00:29 +0100
190.105.152.28,28.152.105.190.ptpanama.com.,PA,Chiriqui,"",,false,0.99,2015-10-29 14:38:42 +0100,2015-01-06 05:34:04 +0100
201.227.172.235,"",PA,"","",,false,1.0,2015-10-29 14:46:19 +0100,2015-01-06 09:28:58 +0100
201.225.225.50,"",PA,"","",,false,0.99,2015-10-29 14:51:36 +0100,2015-01-06 11:54:05 +0100
200.46.31.19,"",PA,Pueblo Nuevo,"",,false,1.0,2015-10-29 15:05:12 +0100,2015-01-06 17:49:40 +0100
200.46.90.232,ns.mides.gob.pa.,PA,Pueblo Nuevo,Microsoft DNS 6.0.6001 (17714726),,false,0.99,2015-10-29 15:10:11 +0100,2015-01-06 19:57:30 +0100
190.34.193.35,"",PA,"","",,true,0.94,2015-10-29 15:23:24 +0100,2015-01-07 02:32:06 +0100
200.46.115.138,IP.net115-138.psi.net.pa.,PA,Pueblo Nuevo,Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-29 15:24:51 +0100,2015-01-07 03:18:58 +0100
190.2.226.3,"",PA,Paitilla,"",,true,0.86,2015-10-29 15:33:52 +0100,2015-01-07 08:12:18 +0100
186.74.94.106,"",PA,"","",,false,1.0,2015-10-29 15:44:28 +0100,2015-01-07 13:38:52 +0100
186.73.227.250,"",PA,"","",,true,0.95,2015-10-29 15:45:54 +0100,2015-01-07 14:20:09 +0100
186.74.94.162,"",PA,"","",,false,0.98,2015-10-29 15:46:11 +0100,2015-01-07 14:32:59 +0100
190.2.235.2,"",PA,Paitilla,"",,true,0.92,2015-10-29 15:57:49 +0100,2015-01-07 20:23:32 +0100
190.2.235.91,"",PA,Paitilla,"",,true,0.93,2015-10-29 07:18:48 +0100,2015-01-07 21:25:37 +0100
190.34.208.181,"",PA,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.95,2015-10-29 07:19:07 +0100,2015-01-07 21:33:59 +0100
190.140.63.174,"",PA,Pueblo Nuevo,"",,true,0.98,2015-10-29 07:24:14 +0100,2015-01-07 23:50:28 +0100
190.34.187.126,"",PA,"","",,false,1.0,2015-10-29 07:54:12 +0100,2015-01-08 16:06:44 +0100
190.34.201.130,"",PA,"","",,true,1.0,2015-10-29 07:55:54 +0100,2015-01-08 17:03:46 +0100
190.105.168.60,"",PA,Panama City,"",,false,0.88,2015-10-29 07:56:31 +0100,2015-01-08 17:23:14 +0100
186.74.12.132,"",PA,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-29 08:00:33 +0100,2015-01-08 19:35:15 +0100
