ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
190.117.163.73,"",PE,Lima,"",,false,0.78,2015-09-30 20:17:37 +0200,2014-12-29 12:45:59 +0100
190.40.90.32,"",PE,"","",,false,0.9,2015-09-30 11:55:17 +0200,2014-12-29 14:43:13 +0100
190.40.90.33,"",PE,"","",,false,0.78,2015-09-30 11:59:48 +0200,2014-12-29 15:08:55 +0100
181.65.184.162,"",PE,"","",,false,1.0,2015-09-30 12:03:00 +0200,2014-12-29 15:28:12 +0100
190.187.43.146,mail.lasamericas.com.pe.,PE,Lima,"",,false,0.98,2015-09-30 12:15:07 +0200,2014-12-29 16:33:14 +0100
200.48.37.18,"",PE,"",dnsmasq-2.45,,true,0.29,2015-09-30 12:21:46 +0200,2014-12-29 17:21:02 +0100
200.11.52.202,ficus.ulima.edu.pe.,PE,Surco,"",,false,0.98,2015-09-30 12:25:29 +0200,2014-12-29 18:03:05 +0100
200.37.210.116,"",PE,"",Microsoft DNS 6.1.7601 (1DB144E7),,false,1.0,2015-09-30 12:25:57 +0200,2014-12-29 18:09:21 +0100
200.37.210.115,"",PE,"","",,false,1.0,2015-09-30 12:28:44 +0200,2014-12-29 18:34:41 +0100
200.48.209.226,"",PE,"",Microsoft DNS 6.1.7600 (1DB04228),,false,0.98,2015-09-30 12:33:37 +0200,2014-12-29 19:16:19 +0100
190.81.61.133,"",PE,Lima,dnsmasq-2.66,,false,1.0,2015-09-30 12:44:54 +0200,2014-12-29 21:12:28 +0100
190.102.155.232,"",PE,Lima,dnsmasq-2.63,,false,0.99,2015-09-30 12:46:49 +0200,2014-12-29 21:27:07 +0100
200.37.255.237,"",PE,"",9.3.6-P1-RedHat-9.3.6-20.P1.el5_8.6,,false,1.0,2015-09-30 12:47:19 +0200,2014-12-29 21:30:44 +0100
179.43.98.241,"",PE,Arequipa,dnsmasq-2.45,,true,1.0,2015-09-30 12:47:56 +0200,2014-12-29 21:35:50 +0100
181.224.236.41,"",PE,Lima,"",,false,0.91,2015-09-30 12:50:50 +0200,2014-12-29 21:58:49 +0100
190.81.61.137,"",PE,Lima,dnsmasq-2.66,,false,1.0,2015-09-30 12:53:16 +0200,2014-12-29 22:18:32 +0100
