ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
203.115.130.72,"",PH,"","",,false,0.98,2015-10-29 11:26:46 +0100,2013-01-30 19:11:38 +0100
203.115.130.74,"",PH,"","",,false,0.99,2015-10-29 11:26:44 +0100,2013-01-30 19:11:42 +0100
112.199.100.42,42.100.199.112.clbrz.inet.eastern-tele.com.,PH,"",dnsmasq-2.40,,false,0.97,2015-10-29 11:30:56 +0100,2014-12-27 15:22:53 +0100
112.199.34.114,114.34.199.112.dsl.static.eastern-tele.com.,PH,Tanza,dnsmasq-2.70,,false,0.99,2015-10-29 11:33:03 +0100,2014-12-29 12:22:44 +0100
121.127.15.90,ip-converge.15.127.121.in-addr.arpa.,PH,"","",,false,0.47,2015-10-29 11:33:46 +0100,2014-12-29 12:31:41 +0100
122.2.15.228,122.2.15.228.static.pldt.net.,PH,"","",,false,0.71,2015-10-29 11:35:11 +0100,2014-12-29 12:47:05 +0100
110.54.253.151,dns2.wi-tribe.ph.,PH,Liberty,9.7.3-P3-RedHat-9.7.3-8.P3.el6_2.3,,false,0.94,2015-10-29 11:42:43 +0100,2014-12-29 13:57:10 +0100
210.4.61.135,"",PH,"",9.6.2-P2-RedHat-9.6.2-4.P2.fc11,,false,0.95,2015-10-29 11:46:44 +0100,2014-12-29 14:27:43 +0100
202.91.161.150,"",PH,Dagupan,"",,false,1.0,2015-10-29 11:46:55 +0100,2014-12-29 14:28:57 +0100
58.69.77.101,host.6.static.pcppi.com.ph.,PH,"","",,false,0.49,2015-10-29 11:51:07 +0100,2014-12-29 14:53:18 +0100
180.232.101.138,138.101.232.180.ids.static.eastern-tele.com.,PH,"","",,false,0.99,2015-10-29 11:52:14 +0100,2014-12-29 14:59:15 +0100
203.177.198.62,"",PH,Mandaluyong City,Microsoft DNS 6.1.7601 (1DB1446A),,false,0.84,2015-10-29 11:53:08 +0100,2014-12-29 15:05:44 +0100
121.97.28.177,121.97.28.177.BTI.NET.PH.,PH,"",dnsmasq-2.73,,false,1.0,2015-10-29 11:53:58 +0100,2014-12-29 15:10:45 +0100
203.84.179.66,castilexcebu-gwy01.meridiantelekoms.net.,PH,"","",,false,0.49,2015-10-29 11:55:31 +0100,2014-12-29 15:20:02 +0100
120.28.34.18,"",PH,"",ZyWALL DNS,,false,0.2,2015-10-29 11:57:33 +0100,2014-12-29 15:31:48 +0100
121.97.28.178,121.97.28.178.BTI.NET.PH.,PH,"",dnsmasq-2.73,,false,1.0,2015-10-29 11:59:49 +0100,2014-12-29 15:44:44 +0100
124.106.165.61,"",PH,"","",,true,0.99,2015-10-29 12:00:32 +0100,2014-12-29 15:48:41 +0100
203.172.25.5,ns1.infocomtechnologies.net.,PH,Makati City,[SECURED],,false,0.99,2015-10-29 12:04:48 +0100,2014-12-29 16:11:00 +0100
202.57.47.75,"",PH,"",9.3.6-P1-RedHat-9.3.6-20.P1.el5_8.6,,false,1.0,2015-10-29 12:09:58 +0100,2014-12-29 16:37:46 +0100
116.50.170.110,110.170.50.116.ids.static.service.eastern-tele.com.,PH,"","",,false,1.0,2015-10-29 12:18:35 +0100,2014-12-29 17:49:54 +0100
124.105.165.189,"",PH,"","",,false,0.97,2015-10-29 12:18:51 +0100,2014-12-29 17:53:47 +0100
124.106.154.74,"",PH,"","",,true,0.93,2015-10-29 12:21:07 +0100,2014-12-29 18:16:59 +0100
103.5.3.202,"",PH,Kalibo,"",,false,0.99,2015-10-29 12:21:23 +0100,2014-12-29 18:19:43 +0100
202.14.87.132,"",PH,"",Microsoft DNS 6.1.7600 (1DB041C8),,false,0.85,2015-10-29 12:24:59 +0100,2014-12-29 18:49:17 +0100
116.50.176.113,113.176.50.116.ids.service.eastern-tele.com.,PH,"",dnsmasq-2.73,,false,1.0,2015-10-29 12:32:50 +0100,2014-12-29 20:05:40 +0100
202.78.89.115,"",PH,"",dnsmasq-2.66,,false,0.95,2015-10-29 12:36:42 +0100,2014-12-29 20:49:30 +0100
124.83.57.173,124.83.57.173.pldt.net.,PH,"","",,false,0.97,2015-10-29 12:41:01 +0100,2014-12-29 21:25:12 +0100
122.52.165.163,ns.guess.com.ph.,PH,Muntinlupa,9.3.6-P1-RedHat-9.3.6-20.P1.el5_8.6,,false,0.91,2015-10-29 12:50:06 +0100,2014-12-29 22:36:53 +0100
182.18.208.51,"",PH,"",dnsmasq-2.70,,false,0.97,2015-10-29 12:50:16 +0100,2014-12-29 22:39:09 +0100
