ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
202.125.132.154,khi77.pie.net.pk.,PK,Karachi,"",,false,0.61,2015-09-30 20:10:35 +0200,2013-08-08 08:28:03 +0200
203.81.192.10,ns3.worldcall.net.pk.,PK,"",9.8.2rc1-RedHat-9.8.2-0.23.rc1.el6_5.1,,false,0.52,2015-09-30 20:11:43 +0200,2014-05-19 06:47:35 +0200
202.166.169.2,202-166-169-2.connectel.com.pk.,PK,Lahore,AK47,,false,0.55,2015-09-30 20:13:12 +0200,2014-12-27 15:18:35 +0100
221.120.215.86,lhr63.pie.net.pk.,PK,Islamabad,"",,true,1.0,2015-09-30 20:15:37 +0200,2014-12-29 12:23:12 +0100
202.63.219.5,"",PK,Karachi,dnsmasq-2.70,,false,1.0,2015-09-30 20:18:39 +0200,2014-12-29 12:55:29 +0100
122.129.84.174,pool2-84-174.brain.net.pk.,PK,Lahore,"",,false,0.89,2015-09-30 20:25:02 +0200,2014-12-29 13:55:41 +0100
182.180.107.87,"",PK,Islamabad,dnsmasq-2.55,,false,0.61,2015-09-30 20:28:10 +0200,2014-12-29 14:21:25 +0100
117.20.28.185,tw28-static185.tw1.com.,PK,Karachi,dnsmasq-2.40,,true,0.14,2015-09-30 11:53:55 +0200,2014-12-29 14:34:04 +0100
182.180.118.153,"",PK,Islamabad,dnsmasq-2.55,,false,0.68,2015-09-30 11:54:42 +0200,2014-12-29 14:39:32 +0100
182.180.118.27,"",PK,Islamabad,dnsmasq-2.55,,false,0.35,2015-09-30 11:56:21 +0200,2014-12-29 14:48:59 +0100
122.129.84.183,pool2-84-183.brain.net.pk.,PK,Lahore,dnsmasq-2.33,,true,0.86,2015-09-30 11:56:21 +0200,2014-12-29 14:48:59 +0100
182.180.147.224,"",PK,Islamabad,dnsmasq-2.55,,false,0.86,2015-09-30 11:56:55 +0200,2014-12-29 14:52:01 +0100
221.120.249.114,static.connect.net.pk.249.120.221.in-addr.arpa.,PK,Islamabad,dnsmasq-2.48,,false,0.98,2015-09-30 11:58:16 +0200,2014-12-29 14:59:14 +0100
182.191.66.198,"",PK,Islamabad,dnsmasq-2.55,,false,0.93,2015-09-30 12:01:13 +0200,2014-12-29 15:18:14 +0100
