ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
62.233.128.17,szafir.futuro.pl.,PL,"",9.6.1-P1,,false,0.5,2015-10-29 11:26:05 +0100,2009-08-09 02:09:53 +0200
195.114.173.153,ns1.internetia.pl.,PL,Warsaw,not currently available,,false,0.98,2015-10-29 11:26:32 +0100,2013-01-30 18:46:01 +0100
195.225.36.2,dns.miconet.pl.,PL,"",9.4.3,,false,0.99,2015-10-29 11:26:32 +0100,2013-01-30 18:47:35 +0100
217.173.198.3,apollo.po.opole.pl.,PL,Opole,9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.1,,true,0.99,2015-10-29 11:26:52 +0100,2013-01-30 19:42:40 +0100
2001:1a68::d911:2244,"",PL,"",atman.pl,,false,0.99,2015-10-29 11:26:46 +0100,2013-01-31 00:18:47 +0100
83.238.255.76,83-238-255-76.static.ip.netia.com.pl.,PL,"",Go away,,true,1.0,2015-10-29 11:26:47 +0100,2013-03-09 10:55:03 +0100
212.85.112.32,dns4.home.pl.,PL,"",home.pl,,false,1.0,2015-10-29 11:26:51 +0100,2013-04-11 22:58:04 +0200
62.129.252.252,dns4.home.pl.,PL,"",home.pl,,false,1.0,2015-10-29 11:26:51 +0100,2013-04-11 22:58:04 +0200
149.156.12.250,amicus.cm-uj.krakow.pl.,PL,Krakow,9.10.2-P1,,false,0.98,2015-10-29 11:26:53 +0100,2013-04-23 02:08:36 +0200
149.156.64.210,dns64.uoks.uj.edu.pl.,PL,Krakow,9.6.1-P3,,false,1.0,2015-10-29 11:26:53 +0100,2013-04-23 02:08:37 +0200
153.19.1.254,rabarbar.ug.edu.pl.,PL,Gdańsk,9.7.3,,false,0.95,2015-10-29 11:26:53 +0100,2013-04-23 02:08:55 +0200
193.111.144.145,prsrv1.man.radom.pl.,PL,"",9.9.5-9+deb8u3-Debian,,false,1.0,2015-10-29 11:26:54 +0100,2013-04-23 02:12:03 +0200
193.111.144.161,prsrv2.man.radom.pl.,PL,"",9.9.5-9+deb8u3-Debian,,false,0.22,2015-10-29 11:26:54 +0100,2013-04-23 02:12:03 +0200
193.142.115.131,ns2.susi.pl.,PL,"",8.4.7-REL-NOESW,,false,0.98,2015-10-29 11:26:55 +0100,2013-04-23 02:12:27 +0200
193.16.255.2,ns2.zdnet.com.pl.,PL,Łódź,9.8.4-rpz2+rl005.12-P1,,false,1.0,2015-10-29 11:26:55 +0100,2013-04-23 02:12:43 +0200
193.193.74.130,solaris.clico.krakow.pl.,PL,"",9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.2,,false,1.0,2015-10-29 11:26:56 +0100,2013-04-23 02:14:19 +0200
193.239.60.19,"",PL,"",9.2.8,,false,0.99,2015-10-29 11:26:56 +0100,2013-04-23 02:16:25 +0200
195.13.38.3,dns2.retsat1.com.pl.,PL,"",9.5.1-P3,,false,0.99,2015-10-29 11:27:01 +0100,2013-04-23 02:27:31 +0200
195.137.162.149,firebird.meskonet.pl.,PL,"",9.3.1,,false,0.99,2015-10-29 11:27:07 +0100,2013-04-23 02:28:03 +0200
195.137.189.203,webpoczta.desk.pl.,PL,"",9.7.3,,false,1.0,2015-10-29 11:27:01 +0100,2013-04-23 02:28:06 +0200
195.140.236.250,ns1.trzebnica.net.,PL,Elzbieta,Not disclosed,,false,1.0,2015-10-29 11:27:02 +0100,2013-04-23 02:28:32 +0200
195.140.236.253,ns1.api.net.pl.,PL,Elzbieta,Not disclosed,,false,1.0,2015-10-29 11:27:02 +0100,2013-04-23 02:28:32 +0200
195.225.36.16,dns1.miconet.pl.,PL,"",9.4.3,,false,1.0,2015-10-29 11:27:02 +0100,2013-04-23 02:31:47 +0200
195.66.68.2,tzmo-sa.tzmo.com.pl.,PL,"",9.2.2,,false,0.73,2015-10-29 11:27:03 +0100,2013-04-23 02:36:12 +0200
195.68.193.10,dns.raben.com.pl.,PL,"",9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6.3,,false,1.0,2015-10-29 11:27:03 +0100,2013-04-23 02:36:25 +0200
212.51.193.44,kpi.imp.lodz.pl.,PL,Łódź,9.3.0,,false,0.99,2015-10-29 11:27:08 +0100,2013-04-23 02:48:38 +0200
212.67.131.4,ns2.inotel.pl.,PL,"",Served by PowerDNS - http://www.powerdns.com,,false,1.0,2015-10-29 11:27:06 +0100,2013-04-23 02:49:09 +0200
212.67.143.194,ns1.inotel.pl.,PL,"",Served by PowerDNS - http://www.powerdns.com,,false,1.0,2015-10-29 11:27:07 +0100,2013-04-23 02:49:09 +0200
212.87.29.6,old.ibb.waw.pl.,PL,Warsaw,9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6_4.6,,true,1.0,2015-10-29 11:27:07 +0100,2013-04-23 02:50:10 +0200
213.184.0.42,dns1.uwm.edu.pl.,PL,Olsztyn,Served by POWERDNS 2.9.22 $Id: packethandler.cc 1321 2008-12-06 19:44:36Z ahu $,,false,1.0,2015-10-29 11:27:08 +0100,2013-04-23 02:53:11 +0200
