ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
206.248.79.244,ns2.choicecable.net.,PR,"","",,false,0.97,2015-10-29 11:29:10 +0100,2014-05-19 06:55:20 +0200
24.41.160.82,"",PR,"","",,true,0.99,2015-10-29 11:30:04 +0100,2014-12-27 00:41:18 +0100
64.213.247.161,161-247-213-64-static.centennialpr.net.,PR,"","",,false,0.95,2015-10-29 11:33:51 +0100,2014-12-29 12:32:53 +0100
24.48.219.202,"",PR,"","",,false,0.87,2015-10-29 11:39:00 +0100,2014-12-29 13:22:57 +0100
64.89.6.177,mail.naranjitobrilla.com.,PR,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-29 11:41:03 +0100,2014-12-29 13:41:11 +0100
64.89.6.29,"",PR,"","",,false,0.87,2015-10-29 11:46:41 +0100,2014-12-29 14:27:39 +0100
24.48.255.232,"",PR,"","",,false,1.0,2015-10-29 11:50:18 +0100,2014-12-29 14:49:05 +0100
24.48.255.246,"",PR,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 11:52:20 +0100,2014-12-29 15:00:41 +0100
64.89.6.209,64-89-6-209.static.wntpr.net.,PR,"","",,false,0.99,2015-10-29 11:52:41 +0100,2014-12-29 15:02:41 +0100
66.129.163.17,"",PR,San Lorenzo,"",,false,0.88,2015-10-29 11:56:01 +0100,2014-12-29 15:23:29 +0100
192.254.103.225,"",PR,"","",,false,0.63,2015-10-29 11:58:18 +0100,2014-12-29 15:36:00 +0100
24.139.65.185,185-65-139-24-dynamic.choicecable.net.65.139.24.in-addr.arpa.,PR,Ponce,dnsmasq-2.40,,false,0.9,2015-10-29 12:04:18 +0100,2014-12-29 16:08:39 +0100
24.48.255.230,"",PR,"","",,false,1.0,2015-10-29 12:10:32 +0100,2014-12-29 16:41:23 +0100
64.247.170.58,"",PR,"","",,false,1.0,2015-10-29 12:12:30 +0100,2014-12-29 16:54:02 +0100
173.243.84.178,"",PR,"","",,false,0.98,2015-10-29 12:14:13 +0100,2014-12-29 17:06:12 +0100
162.248.45.108,mmc-162-248-45-108.unetpr.com.,PR,"","",,false,1.0,2015-10-29 12:17:32 +0100,2014-12-29 17:38:05 +0100
199.255.118.26,static-199-255-118-26.xsn.net.118.255.199.in-addr.arpa.,PR,"","",,false,1.0,2015-10-29 12:17:52 +0100,2014-12-29 17:41:31 +0100
199.255.118.54,www.cedinpr.org.,PR,"","",,false,1.0,2015-10-29 12:20:22 +0100,2014-12-29 18:10:05 +0100
64.213.234.206,mail.robinsonschool.org.,PR,"",HyperDNS_1.1,,false,0.94,2015-10-29 12:30:59 +0100,2014-12-29 19:42:56 +0100
162.248.45.130,"",PR,"","",,false,1.0,2015-10-29 12:31:36 +0100,2014-12-29 19:49:24 +0100
192.254.98.2,"",PR,"","",,false,0.99,2015-10-29 12:33:37 +0100,2014-12-29 20:15:33 +0100
74.120.25.5,"",PR,"","",,false,0.24,2015-10-29 12:38:51 +0100,2014-12-29 21:07:54 +0100
192.254.109.58,"",PR,"","",,false,0.97,2015-10-29 12:40:10 +0100,2014-12-29 21:18:53 +0100
192.254.109.9,"",PR,"","",,false,0.97,2015-10-29 12:40:23 +0100,2014-12-29 21:21:06 +0100
192.254.109.50,"",PR,"","",,false,1.0,2015-10-29 12:40:26 +0100,2014-12-29 21:21:16 +0100
74.213.67.109,109-67-213-74-dynamic.choicecable.net.67.213.74.in-addr.arpa.,PR,Moca,"",,false,0.88,2015-10-29 12:41:08 +0100,2014-12-29 21:26:19 +0100
192.254.109.110,"",PR,"","",,false,1.0,2015-10-29 12:42:09 +0100,2014-12-29 21:33:31 +0100
192.254.101.225,"",PR,"","",,false,0.76,2015-10-29 12:42:12 +0100,2014-12-29 21:33:56 +0100
192.254.97.201,"",PR,"","",,false,0.77,2015-10-29 12:48:03 +0100,2014-12-29 22:20:04 +0100
192.254.97.205,"",PR,"",dnsmasq-2.47,,true,0.97,2015-10-29 12:52:34 +0100,2014-12-29 23:05:11 +0100
