ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
213.244.72.31,gns.paltel.net.,PS,"",[secured],,false,1.0,2015-10-22 23:46:32 +0200,2013-01-30 19:37:53 +0100
217.66.226.8,dns2.palnet.com.,PS,Ramallah,REFUSED,,false,1.0,2015-10-22 23:46:34 +0200,2013-01-30 19:43:18 +0100
192.116.16.26,ns.palnet.com.,PS,Ramallah,9.9.5-RedHat-9.9.5-0.el6,,true,1.0,2015-10-22 23:46:46 +0200,2013-04-23 02:10:44 +0200
212.14.253.242,dns3.gov.ps.,PS,"",9.8.2rc1-RedHat-9.8.2-0.37.rc1.el6_7.4,,true,0.75,2015-10-22 23:47:48 +0200,2013-08-23 14:12:32 +0200
188.161.111.131,"",PS,"","",,false,0.97,2015-10-22 23:49:50 +0200,2014-12-27 00:00:12 +0100
46.32.192.237,"",PS,"","",,false,0.98,2015-10-23 00:33:20 +0200,2014-12-29 16:52:06 +0100
217.66.228.34,"",PS,Ramallah,9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.2,,true,0.77,2015-10-23 00:51:28 +0200,2014-12-29 19:35:56 +0100
212.14.239.252,"",PS,"","",,false,0.98,2015-10-23 00:54:50 +0200,2014-12-29 20:16:13 +0100
212.14.240.32,s240-32.sfi.paltel.net.,PS,"","",,false,1.0,2015-10-23 01:06:01 +0200,2014-12-29 21:53:50 +0100
46.32.194.89,"",PS,"","",,false,1.0,2015-10-23 01:58:00 +0200,2014-12-30 15:06:12 +0100
46.32.194.1,"",PS,"","",,false,1.0,2015-10-23 02:05:52 +0200,2014-12-30 16:18:20 +0100
46.32.194.17,"",PS,"","",,false,1.0,2015-10-23 02:07:03 +0200,2014-12-30 16:27:59 +0100
188.225.225.229,ritajms.com.,PS,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-23 02:09:32 +0200,2014-12-30 16:47:42 +0100
217.21.9.17,adsl17.a9.interpal.palnet.com.,PS,Ramallah,"",,true,0.82,2015-10-23 02:13:06 +0200,2014-12-30 17:27:00 +0100
188.225.225.25,ns2.alami.net.,PS,"","",,false,0.98,2015-10-23 02:25:10 +0200,2014-12-30 19:54:52 +0100
46.28.140.175,mail.callu.ps.,PS,Ramallah,Microsoft DNS 6.1.7600 (1DB04228),,false,0.9,2015-10-22 17:47:02 +0200,2014-12-31 22:11:57 +0100
212.14.228.94,"",PS,"","",,false,0.98,2015-10-22 18:08:36 +0200,2015-01-06 03:23:01 +0100
212.14.243.14,"",PS,"","",,false,0.99,2015-10-22 18:34:34 +0200,2015-01-06 15:29:39 +0100
93.184.3.166,"",PS,"","",,false,1.0,2015-10-22 18:42:42 +0200,2015-01-06 18:54:48 +0100
46.32.192.1,"",PS,"","",,false,0.99,2015-10-22 19:54:21 +0200,2015-01-08 05:19:19 +0100
46.20.209.53,"",PS,"","",,false,0.97,2015-10-22 19:56:01 +0200,2015-01-08 06:08:37 +0100
188.225.179.158,"",PS,"","",,false,0.96,2015-10-22 20:11:46 +0200,2015-01-08 15:56:57 +0100
46.28.140.98,46.28.140.98.callu.ps.,PS,Ramallah,dnsmasq-2.40,,true,1.0,2015-10-22 20:32:03 +0200,2015-01-09 02:30:59 +0100
83.244.55.170,"",PS,"","",,false,1.0,2015-10-22 20:37:18 +0200,2015-01-09 04:55:19 +0100
82.102.232.203,"",PS,Ramallah,9.10.1-RedHat-9.10.1-0.el6,,true,0.99,2015-10-22 21:09:15 +0200,2015-01-09 22:37:05 +0100
217.66.229.192,"",PS,Ramallah,"",,false,0.71,2015-10-22 21:30:28 +0200,2015-01-10 10:27:55 +0100
217.66.227.58,s57.ramallah.palnet.com.,PS,Ramallah,"",,false,0.96,2015-10-22 21:33:47 +0200,2015-01-10 11:59:18 +0100
188.161.150.126,"",PS,"","",,false,0.96,2015-10-22 21:37:02 +0200,2015-01-10 13:34:39 +0100
188.225.184.102,"",PS,"","",,false,0.99,2015-10-22 21:48:15 +0200,2015-01-10 18:53:26 +0100
31.13.163.43,"",PS,Ramallah,9.8.1-P1,,true,0.68,2015-10-22 22:10:09 +0200,2015-01-11 07:49:25 +0100
83.244.99.218,mx.angels-tours.com.,PS,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.36,2015-10-22 22:13:15 +0200,2015-01-11 09:42:53 +0100
82.213.2.182,mail.sahem-inv.com.,PS,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.85,2015-10-22 23:08:09 +0200,2015-01-12 15:23:21 +0100
188.161.152.1,"",PS,"",[secured],,false,1.0,2015-10-22 23:21:08 +0200,2015-01-12 22:48:06 +0100
