ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
195.22.10.144,"",PT,Lisbon,"",,false,0.99,2015-09-30 20:13:27 +0200,2014-12-27 15:22:22 +0100
195.23.10.74,195-23-10-74.static.net.novis.pt.,PT,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-09-30 20:13:59 +0200,2014-12-27 15:28:45 +0100
83.240.158.216,mail.hydra.pt.,PT,"","",,false,0.98,2015-09-30 20:14:03 +0200,2014-12-29 12:03:14 +0100
213.58.198.218,windsor.windsortravel.ws.,PT,"",dnsmasq-2.73,,false,1.0,2015-09-30 20:14:33 +0200,2014-12-29 12:09:57 +0100
195.23.156.168,195-23-156-168.net.novis.pt.,PT,"",PowerDNS Recursor 3.7.3 (jenkins@autotest.powerdns.com built 20150609121154 mockbuild@jenkins.monshouwer.eu),,false,1.0,2015-09-30 20:14:42 +0200,2014-12-29 12:11:43 +0100
195.23.156.96,195-23-156-96.net.novis.pt.,PT,"",PowerDNS Recursor 3.7.3 (jenkins@autotest.powerdns.com built 20150609121154 mockbuild@jenkins.monshouwer.eu),,false,0.88,2015-09-30 20:14:52 +0200,2014-12-29 12:13:54 +0100
193.126.26.67,193-126-26-67.net.novis.pt.,PT,"","",,false,0.99,2015-09-30 20:15:17 +0200,2014-12-29 12:19:50 +0100
213.58.112.240,mail.egeo.pt.,PT,"","",,false,1.0,2015-09-30 20:19:47 +0200,2014-12-29 13:07:03 +0100
213.13.127.199,bpo001mx001.boino.pt.,PT,"","",,false,1.0,2015-09-30 20:22:27 +0200,2014-12-29 13:31:46 +0100
213.13.188.21,mail.penteadora.pt.,PT,"",9.2.2,,false,0.63,2015-09-30 20:23:24 +0200,2014-12-29 13:40:28 +0100
83.240.178.98,static-wan-bl2-178-98.rev.webside.pt.,PT,"","",,false,0.99,2015-09-30 20:25:21 +0200,2014-12-29 13:58:26 +0100
62.28.177.222,static-wan-bl3-177-222.rev.webside.pt.,PT,"",NULL,,true,0.94,2015-09-30 20:26:30 +0200,2014-12-29 14:08:28 +0100
83.240.178.178,static-wan-bl2-178-178.rev.webside.pt.,PT,"",dnsmasq-2.62,,false,1.0,2015-09-30 20:26:51 +0200,2014-12-29 14:11:09 +0100
83.240.178.142,static-wan-bl2-178-142.rev.webside.pt.,PT,"",dnsmasq-2.62,,false,0.98,2015-09-30 20:27:14 +0200,2014-12-29 14:14:16 +0100
93.102.102.163,93.102.102.163.rev.optimus.pt.,PT,"","",,false,0.98,2015-09-30 20:28:55 +0200,2014-12-29 14:26:21 +0100
93.102.102.164,93.102.102.164.rev.optimus.pt.,PT,"","",,false,0.98,2015-09-30 11:54:02 +0200,2014-12-29 14:36:03 +0100
93.102.102.157,93.102.102.157.rev.optimus.pt.,PT,"","",,false,0.91,2015-09-30 11:54:07 +0200,2014-12-29 14:36:27 +0100
62.28.100.214,"",PT,"","",,false,0.98,2015-09-30 11:55:01 +0200,2014-12-29 14:41:21 +0100
62.28.70.64,plutao.guarda.pt.,PT,"","",,false,1.0,2015-09-30 11:57:43 +0200,2014-12-29 14:56:49 +0100
85.88.153.85,IGNI-GC-SRV-002.ad.ignidata.corporate.,PT,"","",,false,1.0,2015-09-30 11:59:03 +0200,2014-12-29 15:05:12 +0100
81.84.242.130,openland.pt.,PT,Porto Salvo,"",,false,1.0,2015-09-30 12:02:28 +0200,2014-12-29 15:25:27 +0100
85.88.153.99,"",PT,"",dnsmasq-2.70,,false,1.0,2015-09-30 12:05:18 +0200,2014-12-29 15:41:02 +0100
89.154.39.29,a89-154-39-29.cpe.netcabo.pt.,PT,"","",,false,1.0,2015-09-30 12:11:54 +0200,2014-12-29 16:16:37 +0100
62.28.70.65,urano.guarda.pt.,PT,"","",,false,1.0,2015-09-30 12:12:50 +0200,2014-12-29 16:21:25 +0100
213.30.12.78,78.12.30.213.rev.vodafone.pt.,PT,"",9.8.1-P1,,true,1.0,2015-09-30 12:15:45 +0200,2014-12-29 16:36:35 +0100
62.28.187.201,"",PT,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.99,2015-09-30 12:19:54 +0200,2014-12-29 17:03:57 +0100
62.28.234.162,static-wan-bl3-234-162.rev.webside.pt.,PT,Vila Nova de Famalicao,NULL,,true,0.92,2015-09-30 12:25:22 +0200,2014-12-29 18:02:22 +0100
213.205.92.15,213-205-92-15.static.net.novis.pt.,PT,"",PowerDNS Recursor 3.7.3 (jenkins@autotest.powerdns.com built 20150609121154 mockbuild@jenkins.monshouwer.eu),,false,0.97,2015-09-30 12:25:40 +0200,2014-12-29 18:06:10 +0100
83.240.151.9,"",PT,"","",,false,1.0,2015-09-30 12:25:53 +0200,2014-12-29 18:09:07 +0100
88.157.200.129,a88-157-200-129.static.cpe.netcabo.pt.,PT,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-09-30 12:26:14 +0200,2014-12-29 18:12:18 +0100
88.157.129.74,a88-157-129-74.cpe.netcabo.pt.,PT,"","",,true,1.0,2015-09-30 12:28:17 +0200,2014-12-29 18:31:01 +0100
193.37.153.70,grupovisa2.grupovisabeira.pt.,PT,"","",,false,1.0,2015-09-30 12:28:30 +0200,2014-12-29 18:32:44 +0100
194.79.84.98,194-79-84-98.static.net.novis.pt.,PT,"",PowerDNS Recursor 3.7.3 (jenkins@autotest.powerdns.com built 20150609121154 mockbuild@jenkins.monshouwer.eu),,false,1.0,2015-09-30 12:28:50 +0200,2014-12-29 18:35:39 +0100
81.193.246.217,mail.portaserie.com.,PT,Lousada,"",,false,1.0,2015-09-30 12:32:23 +0200,2014-12-29 19:05:57 +0100
95.93.150.207,a95-93-150-207.cpe.netcabo.pt.,PT,Lisbon,"",,false,0.97,2015-09-30 12:32:53 +0200,2014-12-29 19:09:22 +0100
194.79.72.27,194-79-72-27.static.net.novis.pt.,PT,"","",,false,1.0,2015-09-30 12:39:34 +0200,2014-12-29 20:19:51 +0100
