ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
200.85.35.158,mail.premium.com.py.,PY,"","",,false,0.98,2015-10-29 11:29:24 +0100,2014-06-27 03:52:46 +0200
200.85.36.182,zimbra.granlogia.org.py.,PY,"",PowerDNS Recursor 3.3 $Id: pdns_recursor.cc 1712 2010-09-11 13:40:03Z ahu $,,false,0.64,2015-10-29 11:29:25 +0100,2014-06-27 03:54:55 +0200
200.85.39.206,"",PY,"",unknown,,false,0.8,2015-10-29 11:29:25 +0100,2014-06-27 04:01:26 +0200
200.85.40.130,mail.pronasida.gov.py.40.85.200.in-addr.arpa.,PY,"","",,false,0.99,2015-10-29 11:29:27 +0100,2014-06-27 04:03:25 +0200
200.85.61.90,mail.ss7solutions.com.,PY,"","",,false,0.97,2015-10-29 11:29:24 +0100,2014-06-27 04:33:45 +0200
201.217.19.185,mail.linux.org.py.,PY,Asunción,9.2.5,,false,0.99,2015-10-29 11:29:36 +0100,2014-07-14 03:40:51 +0200
190.211.240.138,mail.laveronica.com.py.,PY,Asunción,9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6_4.6,,false,1.0,2015-10-29 11:29:39 +0100,2014-07-20 21:03:53 +0200
190.121.161.162,"",PY,Ciudad del Este,Microsoft DNS 6.0.6002 (1772487D),,false,0.66,2015-10-29 11:29:57 +0100,2014-12-21 23:04:56 +0100
201.217.15.2,ns.quanta.com.py.,PY,Asunción,9.2.1,,false,0.69,2015-10-29 12:29:31 +0100,2014-12-29 19:27:49 +0100
190.211.243.186,mail.solcontrol.com.py.,PY,Asunción,"",,false,1.0,2015-10-29 12:52:52 +0100,2014-12-29 23:07:35 +0100
181.40.112.190,static-190-112-40-181.telecel.com.py.,PY,"","",,false,0.94,2015-10-29 13:07:47 +0100,2014-12-30 10:45:00 +0100
190.128.242.206,"",PY,"",dnsmasq-2.40,,false,0.98,2015-10-29 13:18:17 +0100,2014-12-30 12:29:34 +0100
190.128.138.202,"",PY,"","",,false,0.98,2015-10-29 14:06:33 +0100,2014-12-31 19:05:08 +0100
190.128.194.62,mail.rolac.com.py.,PY,"","",,false,0.94,2015-10-29 14:13:41 +0100,2014-12-31 22:34:52 +0100
190.128.194.46,mail.aharce.com.py.,PY,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.97,2015-10-29 14:14:22 +0100,2014-12-31 22:59:46 +0100
190.128.197.236,correo.aicompany.com.py.,PY,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.88,2015-10-29 14:20:19 +0100,2015-01-05 19:24:26 +0100
181.40.125.186,static-186-125-40-181.telecel.com.py.,PY,"","",,false,0.98,2015-10-29 14:25:28 +0100,2015-01-05 22:29:03 +0100
186.16.16.16,tigo-public-dns-a.tigo.com.py.,PY,"",Tigo mighty DNS server,,false,0.99,2015-10-29 14:28:52 +0100,2015-01-06 00:25:41 +0100
190.128.138.94,"",PY,"","",,false,0.91,2015-10-29 14:29:05 +0100,2015-01-06 00:31:17 +0100
181.40.89.102,static-102-89-40-181.telecel.com.py.,PY,"","",,false,0.94,2015-10-29 14:38:14 +0100,2015-01-06 05:21:13 +0100
190.128.241.146,"",PY,"","",,false,1.0,2015-10-29 14:53:42 +0100,2015-01-06 12:53:16 +0100
190.128.173.66,static-66-173-128-190.telecel.com.py.,PY,"","",,false,0.95,2015-10-29 14:58:25 +0100,2015-01-06 14:59:41 +0100
190.128.236.34,"",PY,"","",,false,0.97,2015-10-29 15:13:51 +0100,2015-01-06 21:29:49 +0100
190.128.236.35,mail2.condor.com.py.,PY,"","",,false,0.97,2015-10-29 15:13:51 +0100,2015-01-06 21:30:21 +0100
190.128.235.186,mail.registrocivil.gov.py.,PY,"",9.9.5,,false,1.0,2015-10-29 15:14:15 +0100,2015-01-06 21:37:45 +0100
190.128.222.246,mail.irunvillamayor.com.py.,PY,"","",,false,0.95,2015-10-29 15:15:07 +0100,2015-01-06 21:52:08 +0100
190.128.236.78,"",PY,"","",,false,0.94,2015-10-29 15:15:36 +0100,2015-01-06 22:05:19 +0100
190.128.236.37,"",PY,"","",,false,1.0,2015-10-29 15:17:26 +0100,2015-01-06 22:46:35 +0100
190.128.222.126,pool-126-222-128-190.telecel.com.py.,PY,"","",,false,0.97,2015-10-29 15:17:34 +0100,2015-01-06 22:49:45 +0100
190.128.222.182,pool-182-222-128-190.telecel.com.py.,PY,"",9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.1,,false,0.98,2015-10-29 15:18:30 +0100,2015-01-06 23:07:56 +0100
190.128.222.130,pool-130-222-128-190.telecel.com.py.,PY,"","",,false,0.98,2015-10-29 15:18:33 +0100,2015-01-06 23:09:12 +0100
190.128.224.236,"",PY,"","",,false,0.97,2015-10-29 15:31:41 +0100,2015-01-07 06:56:52 +0100
181.40.125.142,static-142-125-40-181.telecel.com.py.,PY,"","",,false,0.9,2015-10-29 15:31:46 +0100,2015-01-07 06:57:22 +0100
190.128.224.237,"",PY,"","",,false,0.99,2015-10-29 15:34:05 +0100,2015-01-07 08:19:34 +0100
181.40.122.19,static-19-122-40-181.telecel.com.py.,PY,"",dnsmasq-2.45,,false,0.99,2015-10-29 15:55:42 +0100,2015-01-07 19:19:00 +0100
190.128.254.26,pool-26-254-128-190.telecel.com.py.,PY,"","",,false,0.96,2015-10-29 07:27:34 +0100,2015-01-08 01:13:29 +0100
201.222.49.58,host58.teisa.com.py.,PY,Asunción,"",,false,1.0,2015-10-29 07:46:29 +0100,2015-01-08 11:58:55 +0100
201.222.50.114,host114.teisa.com.py.,PY,Asunción,Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 08:13:23 +0100,2015-01-09 02:10:38 +0100
181.40.122.50,static-50-122-40-181.telecel.com.py.,PY,"","",,false,0.92,2015-10-29 08:21:18 +0100,2015-01-09 05:51:36 +0100
190.104.167.98,host-98.hipuu.com.py.,PY,Asunción,"",,false,0.98,2015-10-29 08:31:07 +0100,2015-01-09 10:23:49 +0100
190.128.169.18,mail.profarco.com.py.,PY,"","",,false,0.99,2015-10-29 08:57:31 +0100,2015-01-10 02:02:32 +0100
190.128.169.42,static-42-169-128-190.telecel.com.py.,PY,"","",,false,0.99,2015-10-29 08:57:45 +0100,2015-01-10 02:15:12 +0100
181.40.125.126,static-126-125-40-181.telecel.com.py.,PY,"",9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.1,,false,0.98,2015-10-29 09:07:23 +0100,2015-01-10 07:57:27 +0100
201.222.50.242,host242.teisa.com.py.,PY,Asunción,"",,false,1.0,2015-10-29 09:21:50 +0100,2015-01-10 14:55:28 +0100
190.128.139.130,"",PY,"","",,false,0.9,2015-10-29 09:40:37 +0100,2015-01-11 00:25:18 +0100
181.40.73.86,pool-86-73-40-181.telecel.com.py.,PY,"",dnsmasq-2.70,,false,0.91,2015-10-29 09:58:46 +0100,2015-01-11 12:03:42 +0100
200.85.49.18,"",PY,"","",,true,0.88,2015-10-29 10:11:49 +0100,2015-01-11 19:07:40 +0100
190.128.199.81,pool-81-199-128-190.telecel.com.py.,PY,"","",,false,0.99,2015-10-29 10:19:47 +0100,2015-01-11 22:57:22 +0100
190.128.199.77,pool-77-199-128-190.telecel.com.py.,PY,"","",,false,0.96,2015-10-29 10:20:17 +0100,2015-01-11 23:11:29 +0100
201.222.55.22,host22.teisa.com.py.,PY,Asunción,"",,false,0.99,2015-10-29 10:20:46 +0100,2015-01-11 23:23:43 +0100
190.128.199.76,pool-76-199-128-190.telecel.com.py.,PY,"","",,false,0.96,2015-10-29 10:22:55 +0100,2015-01-12 00:24:51 +0100
190.128.199.20,pool-20-199-128-190.telecel.com.py.,PY,"","",,false,0.94,2015-10-29 10:23:38 +0100,2015-01-12 00:46:00 +0100
190.128.225.70,"",PY,"","",,false,1.0,2015-10-29 10:55:32 +0100,2015-01-12 19:13:21 +0100
190.114.225.130,host130-ippc.surmultimedia.net.py.,PY,Encarnación,"",,false,1.0,2015-10-29 10:55:36 +0100,2015-01-12 19:14:33 +0100
190.128.225.58,mail.victoria.com.py.,PY,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.82,2015-10-29 10:55:55 +0100,2015-01-12 19:19:06 +0100
190.128.224.234,mail.lumicorp.com.py.,PY,"","",,false,0.94,2015-10-29 10:56:35 +0100,2015-01-12 19:54:33 +0100
186.17.17.17,tigo-public-dns-b.tigo.com.py.,PY,"",Tigo mighty DNS server,,false,0.99,2015-10-29 11:03:28 +0100,2015-03-10 18:52:39 +0100
2800:960:0:12:201:217:1:230,copaco-public-resolver-ipv6-a.copaco.com.py.,PY,"",PowerDNS Recursor 3.3 $Id: pdns_recursor.cc 1712 2010-09-11 13:40:03Z ahu $,,false,0.94,2015-10-29 11:21:34 +0100,2015-08-25 15:54:36 +0200
2800:960:0:12:201:217:1:231,copaco-public-resolver-ipv6-b.copaco.com.py.,PY,"",PowerDNS Recursor 3.3 $Id: pdns_recursor.cc 1712 2010-09-11 13:40:03Z ahu $,,false,0.94,2015-10-29 11:21:34 +0100,2015-08-25 15:54:36 +0200
