ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
193.169.32.1,ns.ll-h.ru.,RU,Khimki,9.8.1-P1,,true,1.0,2015-10-22 23:46:00 +0200,2011-01-21 01:39:56 +0100
212.41.2.228,ns.zgr.kts.ru.,RU,"",8.4.1-REL,,false,0.99,2015-10-22 23:46:04 +0200,2011-01-25 01:12:57 +0100
62.165.32.250,ns.suttk.ru.,RU,"",0.0.1,,false,1.0,2015-10-22 23:46:11 +0200,2013-01-30 18:09:31 +0100
79.140.64.2,ns.magistraly.ru.,RU,"",PowerDNS Authoritative Server 3.3.1 (jenkins@autotest.powerdns.com built 20150731180538 root@bn_mainserv),,false,1.0,2015-10-22 23:46:14 +0200,2013-01-30 18:22:28 +0100
80.93.177.182,ns1.rts-online.ru.,RU,"",Served by PowerDNS - http://www.powerdns.com,,false,1.0,2015-10-22 23:46:13 +0200,2013-01-30 18:24:02 +0100
85.158.50.50,ns2.tensortelecom.ru.,RU,"",xxx,,false,0.99,2015-10-22 23:46:15 +0200,2013-01-30 18:26:19 +0100
91.143.20.6,ns.megalog.ru.,RU,"",9.5.2-RedHat-9.5.2-1.fc10,,false,1.0,2015-10-22 23:46:14 +0200,2013-01-30 18:27:32 +0100
188.114.193.254,ns2.compot.ru.,RU,Maksim,NetProfile DNS server,,false,1.0,2015-10-22 23:46:18 +0200,2013-01-30 18:37:17 +0100
188.114.194.10,core.compot.ru.,RU,Maksim,NetProfile DNS server,,false,1.0,2015-10-22 23:46:17 +0200,2013-01-30 18:37:18 +0100
2001:b08:2:280::4:1,lpc1.stu.neva.ru.,RU,"",[Secured !!! Please Go away idiot lamer ! ],,false,0.97,2015-10-22 23:46:34 +0200,2013-01-31 00:16:27 +0100
178.161.146.10,178.161.146.10.ipn.v4.saturn-internet.ru.,RU,"",dnsmasq-2.45,,false,1.0,2015-10-22 23:46:36 +0200,2013-02-01 01:02:47 +0100
195.46.39.39,dns1.safedns.com.,RU,"",9.9.5-9+deb8u3-Debian,,false,1.0,2015-10-22 23:46:41 +0200,2013-04-16 00:15:38 +0200
195.46.39.40,dns2.safedns.com.,RU,"",9.9.5-9+deb8u3-Debian,,false,1.0,2015-10-22 23:46:41 +0200,2013-04-16 00:15:38 +0200
77.88.8.8,dns.yandex.ru.,RU,"",PowerDNS Recursor 3.7.3 (jenkins@autotest.powerdns.com built 20150610184141 root@misc-srv15g.narod.yandex.net),,false,1.0,2015-10-22 23:46:40 +0200,2013-04-16 00:16:10 +0200
77.88.8.88,safe.dns.yandex.ru.,RU,"",PowerDNS Recursor 3.7.3 (jenkins@autotest.powerdns.com built 20150610184141 root@misc-srv15g.narod.yandex.net),,false,1.0,2015-10-22 23:46:41 +0200,2013-04-16 00:16:10 +0200
193.58.251.251,dns.skydns.ru.,RU,"",9.9.5-9+deb8u3-Debian,,false,1.0,2015-10-22 23:46:42 +0200,2013-04-22 21:19:35 +0200
188.114.194.2,ns11.compot.ru.,RU,Maksim,NetProfile DNS server,,false,1.0,2015-10-22 23:46:43 +0200,2013-04-23 02:10:15 +0200
188.18.5.2,ns.glstar.ru.,RU,"","",,false,1.0,2015-10-22 23:46:44 +0200,2013-04-23 02:10:19 +0200
193.142.56.77,ns.bcs.ru.,RU,"",9.3.6-P1,,false,0.76,2015-10-22 23:46:51 +0200,2013-04-23 02:12:28 +0200
193.16.208.114,ns1.mmk.ru.,RU,Magnitogorsk,9.9.2-P1,,false,1.0,2015-10-22 23:46:47 +0200,2013-04-23 02:12:39 +0200
193.16.209.2,ns2.mmk.ru.,RU,Magnitogorsk,9.9.2-P1,,false,1.0,2015-10-22 23:46:46 +0200,2013-04-23 02:12:39 +0200
193.232.65.2,big.litech.lviv.ua.,RU,"",9.3.4-P1,,false,1.0,2015-10-22 23:46:46 +0200,2013-04-23 02:16:12 +0200
194.226.211.11,herzen.spb.ru.,RU,Saint Petersburg,9.8.4-rpz2+rl005.12-P1,,false,1.0,2015-10-22 23:46:53 +0200,2013-04-23 02:23:52 +0200
194.226.48.11,control.applmat.ru.,RU,"",9.2.1,,false,0.71,2015-10-22 23:46:52 +0200,2013-04-23 02:24:00 +0200
194.226.48.12,team.applmat.ru.,RU,"",9.2.1,,false,0.72,2015-10-22 23:46:55 +0200,2013-04-23 02:24:00 +0200
194.226.57.61,spp.keldysh.ru.,RU,"",9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6_4.6,,true,1.0,2015-10-22 23:46:52 +0200,2013-04-23 02:24:01 +0200
194.50.10.2,ck.mkm.ru.,RU,"",9.8.2rc1-RedHat-9.8.2-0.23.rc1.el6_5.1,,false,1.0,2015-10-22 23:46:53 +0200,2013-04-23 02:24:58 +0200
194.54.148.129,mx.mts.ru.,RU,Moscow,9.3.3,,false,0.97,2015-10-22 23:46:51 +0200,2013-04-23 02:25:15 +0200
194.54.64.242,"",RU,Ogarev,9.3.6-P1-RedHat-9.3.6-20.P1.el5_8.6,,false,1.0,2015-10-22 23:46:54 +0200,2013-04-23 02:25:16 +0200
194.54.66.242,dmz2hosting2.mrsu.ru.,RU,Ogarev,9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.4,,false,1.0,2015-10-22 23:46:51 +0200,2013-04-23 02:25:16 +0200
194.6.216.5,NS1.itcomm.ru.,RU,"",9.4.1,,false,1.0,2015-10-22 23:46:53 +0200,2013-04-23 02:25:30 +0200
195.112.96.34,ns.maxnet.ru.,RU,"",bugaga,,false,1.0,2015-10-22 23:46:52 +0200,2013-04-23 02:27:09 +0200
195.14.50.21,earth.corbina.net.,RU,Moscow,"",,false,1.0,2015-10-22 23:46:52 +0200,2013-04-23 02:28:25 +0200
195.146.81.130,ns.relline.ru.,RU,"",9.8.2rc1-RedHat-9.8.2-0.37.rc1.el6_7.4,,false,1.0,2015-10-22 23:46:53 +0200,2013-04-23 02:28:50 +0200
195.158.239.4,ns.rantcom.ru.,RU,"","",,false,0.99,2015-10-22 23:46:53 +0200,2013-04-23 02:29:09 +0200
195.16.73.1,ros67.supn.ru.,RU,"",9.3.4,,false,1.0,2015-10-22 23:46:53 +0200,2013-04-23 02:29:10 +0200
195.24.228.3,ns1.m-invest.ru.,RU,"",PowerDNS Authoritative Server 3.4.6 (jenkins@autotest.powerdns.com built 20150908105615 root@ns1),,false,0.99,2015-10-22 23:46:55 +0200,2013-04-23 02:32:40 +0200
195.244.25.3,www.kolchug.info.,RU,Kol'chugino,to determine version use SSH connection,,false,1.0,2015-10-22 23:46:53 +0200,2013-04-23 02:32:58 +0200
195.245.76.6,gw1.logika.ru.,RU,"",9.4.3-P2,,false,1.0,2015-10-22 23:46:54 +0200,2013-04-23 02:33:08 +0200
195.69.65.98,hosting.d-v.ru.,RU,"",9.9.5,,false,0.99,2015-10-22 23:46:54 +0200,2013-04-23 02:36:35 +0200
212.192.128.3,mail.kubannet.ru.,RU,"",9.7.0-P1,,false,1.0,2015-10-22 23:46:57 +0200,2013-04-23 02:46:04 +0200
212.41.4.1,ns.kts.ru.,RU,"","",,false,0.99,2015-10-22 23:46:57 +0200,2013-04-23 02:48:18 +0200
212.41.4.66,dns.kts.ru.,RU,"",ZYX Secured,,false,0.98,2015-10-22 23:47:01 +0200,2013-04-23 02:48:18 +0200
212.57.190.166,host.mpautina.ru.,RU,"",9.8.4-P2,,false,1.0,2015-10-22 23:47:02 +0200,2013-04-23 02:48:55 +0200
213.128.194.2,ns.sibintek.net.,RU,Moscow,9.10.2,,false,0.98,2015-10-22 23:46:59 +0200,2013-04-23 02:50:53 +0200
213.128.216.115,ns.vfsibintek.ru.,RU,Voronezh,9.7.0-P1,,false,1.0,2015-10-22 23:47:00 +0200,2013-04-23 02:50:53 +0200
213.159.193.54,ns.i365.ru.,RU,"",Served by POWERDNS 2.9.22 $Id: packethandler.cc 1321 2008-12-06 19:44:36Z ahu $,,false,0.99,2015-10-22 23:47:03 +0200,2013-04-23 02:51:59 +0200
217.199.217.200,host24.mastak.com.,RU,"",9.8.2rc1-RedHat-9.8.2-0.10.rc1.el6_3.3,,true,1.0,2015-10-22 23:47:05 +0200,2013-04-23 03:00:31 +0200
217.22.172.10,ns.nica.ru.,RU,"",9.2.4,,false,0.92,2015-10-22 23:47:03 +0200,2013-04-23 03:01:11 +0200
217.24.112.2,mail.parma.ru.,RU,"","",,false,1.0,2015-10-22 23:47:04 +0200,2013-04-23 03:01:25 +0200
217.72.1.2,ns.nnt.ru.,RU,"",NNT Telecom DNS Server,,false,1.0,2015-10-22 23:47:04 +0200,2013-04-23 03:02:17 +0200
