ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
212.11.191.72,mcns.sps.net.sa.,SA,"","",,false,1.0,2015-10-22 23:49:07 +0200,2014-05-19 07:24:24 +0200
212.33.190.215,*.soldnsdomain.com.,SA,"","",,false,0.99,2015-10-22 23:49:09 +0200,2014-05-19 07:34:44 +0200
212.62.98.10,iccnet.icc.net.sa.,SA,Jeddah,"",,false,0.91,2015-10-22 23:49:07 +0200,2014-05-19 07:37:10 +0200
212.26.6.11,dns2.sfh.med.sa.,SA,Riyadh,"",,false,1.0,2015-10-22 23:49:13 +0200,2014-06-08 03:44:10 +0200
46.152.1.132,"",SA,"","",,false,0.66,2015-10-22 23:50:49 +0200,2014-12-27 15:21:17 +0100
5.246.186.190,"",SA,"","",,false,0.37,2015-10-22 23:51:35 +0200,2014-12-27 15:30:31 +0100
212.12.167.19,"",SA,"","",,false,0.6,2015-10-22 23:52:20 +0200,2014-12-29 12:13:08 +0100
46.152.14.196,"",SA,"","",,false,0.95,2015-10-22 23:53:12 +0200,2014-12-29 12:23:48 +0100
46.152.1.210,"",SA,"","",,false,0.16,2015-10-22 23:53:19 +0200,2014-12-29 12:25:14 +0100
46.152.14.71,"",SA,"","",,false,0.45,2015-10-22 23:53:59 +0200,2014-12-29 12:33:02 +0100
46.152.14.87,"",SA,"","",,false,0.9,2015-10-22 23:54:41 +0200,2014-12-29 12:42:41 +0100
5.246.104.0,"",SA,Jeddah,"",,false,0.65,2015-10-22 23:55:10 +0200,2014-12-29 12:46:27 +0100
5.246.103.127,"",SA,"","",,false,0.81,2015-10-22 23:55:42 +0200,2014-12-29 12:52:15 +0100
46.152.1.214,"",SA,"","",,false,0.59,2015-10-22 23:56:04 +0200,2014-12-29 12:54:49 +0100
46.152.1.225,"",SA,"","",,false,0.94,2015-10-22 23:57:34 +0200,2014-12-29 13:09:08 +0100
46.152.14.177,"",SA,"","",,false,0.65,2015-10-22 23:58:29 +0200,2014-12-29 13:16:34 +0100
46.152.14.174,"",SA,"","",,false,1.0,2015-10-22 23:59:18 +0200,2014-12-29 13:24:02 +0100
5.246.103.221,"",SA,"","",,false,1.0,2015-10-22 23:59:52 +0200,2014-12-29 13:29:35 +0100
5.246.183.208,"",SA,Jeddah,"",,false,0.9,2015-10-23 00:00:26 +0200,2014-12-29 13:33:50 +0100
46.152.0.65,"",SA,"","",,false,0.98,2015-10-23 00:00:28 +0200,2014-12-29 13:34:09 +0100
5.246.184.20,"",SA,Jeddah,"",,false,0.86,2015-10-23 00:00:43 +0200,2014-12-29 13:36:15 +0100
62.149.106.66,"",SA,"","",,false,0.99,2015-10-23 00:09:02 +0200,2014-12-29 14:40:46 +0100
83.101.140.121,"",SA,Riyadh,[secured2],,false,0.9,2015-10-23 00:11:37 +0200,2014-12-29 14:54:20 +0100
