ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
212.214.82.194,"",SE,Ringoen,9.9.2-P2,,false,0.99,2015-10-22 23:45:45 +0200,2009-08-08 00:50:08 +0200
195.54.152.3,ns2.trendator.se.,SE,"",8.4.7-REL-NOESW,,false,0.99,2015-10-22 23:45:45 +0200,2009-08-08 00:51:13 +0200
195.67.160.3,ns1.svenskakyrkan.se.,SE,"",No version,,false,1.0,2015-10-22 23:45:45 +0200,2009-08-08 00:51:41 +0200
195.67.183.153,ns2.svenskakyrkan.se.,SE,"",No version,,false,1.0,2015-10-22 23:45:45 +0200,2009-08-08 00:51:54 +0200
83.166.8.18,ns2.hernonet.se.,SE,Sundsvall,9.8.4-rpz2+rl005.12-P1,,false,0.98,2015-10-22 23:45:45 +0200,2009-08-08 00:59:32 +0200
217.31.160.30,ns.bahnhof.net.,SE,"",9.3.4,,false,1.0,2015-10-22 23:45:46 +0200,2009-08-09 02:06:36 +0200
193.15.251.65,sphinx.concode.com.,SE,"",BIND 9.2.4rc5 for Debian Linux,,false,1.0,2015-10-22 23:45:47 +0200,2009-08-09 02:06:51 +0200
194.18.231.5,snoopy.dataservice.se.,SE,Norrköping,9.9.5-3-Ubuntu,,true,1.0,2015-10-22 23:45:47 +0200,2009-08-09 02:08:37 +0200
62.119.70.3,dns.trydells.se.,SE,"",9.2.4,,false,0.98,2015-10-22 23:45:49 +0200,2009-08-09 23:00:56 +0200
212.116.76.76,"",SE,"",9.3.4,,false,1.0,2015-10-22 23:45:48 +0200,2009-08-09 23:01:07 +0200
81.8.167.100,server1.robnet.org.,SE,"",9.3.2,,false,1.0,2015-10-22 23:45:57 +0200,2009-08-10 00:55:13 +0200
212.209.194.170,dns.intentia.se.,SE,"",0.0,,false,1.0,2015-10-22 23:45:52 +0200,2009-08-10 00:55:19 +0200
62.20.76.35,mail.alv.nu.,SE,Uppsala,BIND 8.1.2,,true,1.0,2015-10-22 23:45:50 +0200,2009-08-10 00:55:36 +0200
62.20.57.226,ns.onoff.se.,SE,"",9.3.4-P1,,false,1.0,2015-10-22 23:45:50 +0200,2009-08-10 00:56:56 +0200
80.244.198.5,host-198-5.wetternet.net.,SE,Gabo,9.8.4-rpz2+rl005.12-P1,,false,1.0,2015-10-22 23:45:50 +0200,2009-08-10 00:57:26 +0200
194.1.154.37,gw.celab.se.,SE,Kungälv,Served by PowerDNS - http://www.powerdns.com,,false,1.0,2015-10-22 23:45:51 +0200,2009-08-10 00:57:38 +0200
93.158.117.138,stw4.aitos.se.,SE,"",9.6-ESV-R4,,false,1.0,2015-10-22 23:45:56 +0200,2010-12-25 03:06:02 +0100
212.112.39.22,212-112-39-22.lidnet.net.,SE,Enkoping,"",,false,0.99,2015-10-22 23:45:52 +0200,2010-12-25 18:14:39 +0100
212.112.39.25,212-112-39-25.lidnet.net.,SE,Enkoping,"",,false,0.99,2015-10-22 23:45:52 +0200,2010-12-25 18:14:44 +0100
212.181.116.234,212-181-116-234.customer.telia.com.,SE,Balsta,"",,false,1.0,2015-10-22 23:45:53 +0200,2010-12-25 18:16:07 +0100
212.181.124.8,smtp.alfredo.se.,SE,"",9.3.4,,false,1.0,2015-10-22 23:45:53 +0200,2010-12-25 18:16:28 +0100
212.214.229.170,static-212.214.229.170.addr.tdcsong.se.,SE,Halmstad,1.2.7,,false,0.99,2015-10-22 23:45:53 +0200,2010-12-25 18:20:23 +0100
212.214.82.198,"",SE,Ringoen,9.9.2-P2,,false,0.99,2015-10-22 23:45:54 +0200,2010-12-25 18:20:50 +0100
213.115.249.212,static-213-115-249-212.sme.bredbandsbolaget.se.,SE,"",9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6,,false,0.94,2015-10-22 23:45:54 +0200,2010-12-25 18:27:48 +0100
213.146.65.11,rdns1.eurovoice.com.,SE,"","",,false,0.99,2015-10-22 23:45:54 +0200,2010-12-25 20:09:21 +0100
81.8.209.70,"",SE,"",9.7.3,,false,1.0,2015-10-22 23:45:54 +0200,2010-12-25 20:45:10 +0100
62.20.15.234,62-20-15-234.customer.telia.com.,SE,"",9.9.7-S6,,true,1.0,2015-10-22 23:45:54 +0200,2010-12-25 23:59:54 +0100
62.95.15.107,"",SE,"",9.3.4-P1,,false,0.99,2015-10-22 23:45:56 +0200,2010-12-26 00:04:52 +0100
