ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
202.136.162.11,dns01.ntts-idc.net.sg.,SG,Singapore,9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.4,,false,0.99,2015-10-29 11:25:58 +0100,2009-05-15 14:52:29 +0200
165.21.100.88,dnscache2.singnet.com.sg.,SG,Singapore,"",,false,1.0,2015-10-29 11:26:02 +0100,2009-08-07 23:18:02 +0200
165.21.83.88,dnscache1.singnet.com.sg.,SG,Singapore,"",,false,1.0,2015-10-29 11:26:02 +0100,2009-08-07 23:19:07 +0200
121.52.206.130,ns2.asiasoftsea.com.,SG,"",9.5.2-RedHat-9.5.2-1.fc10,,false,1.0,2015-10-29 11:26:07 +0100,2009-08-09 02:09:50 +0200
2402:2c00:1688:162::11,dns01.ntts-idc.net.sg.,SG,"","",,false,0.99,2015-10-29 11:26:28 +0100,2013-01-04 04:18:22 +0100
120.50.44.141,141.44.50.120.static.idc.qala.com.sg.,SG,"",9.3.6-P1-RedHat-9.3.6-4.P1.el5_4.2,,false,1.0,2015-10-29 11:27:47 +0100,2013-08-23 14:10:58 +0200
202.68.181.195,"",SG,"","",,false,0.66,2015-10-29 11:28:59 +0100,2013-11-19 03:11:38 +0100
128.199.248.105,ns1.sg.dns.d0wn.biz.,SG,Singapore,OpenNIC Tier2,,false,0.58,2015-10-29 11:29:32 +0100,2014-07-08 18:54:32 +0200
58.145.200.227,"",SG,"","",,false,0.98,2015-10-29 11:31:59 +0100,2014-12-29 12:10:49 +0100
220.255.4.19,recursorw2.singnet.com.sg.,SG,Singapore,myob,,false,1.0,2015-10-29 11:33:07 +0100,2014-12-29 12:23:27 +0100
118.189.2.86,mail.qbc.org.sg.,SG,Singapore,"",,false,1.0,2015-10-29 11:33:53 +0100,2014-12-29 12:33:32 +0100
220.255.4.18,recursorw1.singnet.com.sg.,SG,Singapore,myob,,false,0.98,2015-10-29 11:35:59 +0100,2014-12-29 12:54:57 +0100
203.211.134.143,143.203-211-134.static.qala.com.sg.,SG,"",9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.2,,false,1.0,2015-10-29 11:37:28 +0100,2014-12-29 13:09:36 +0100
61.8.249.35,"",SG,Singapore,Microsoft DNS 6.1.7601 (1DB144E7),,false,0.98,2015-10-29 11:37:28 +0100,2014-12-29 13:09:40 +0100
58.185.83.134,"",SG,Singapore,dnsmasq-2.52,,true,1.0,2015-10-29 11:42:57 +0100,2014-12-29 13:58:48 +0100
203.126.224.131,"",SG,Singapore,"",,false,1.0,2015-10-29 11:45:09 +0100,2014-12-29 14:16:29 +0100
119.73.219.23,mail.gleamedia.com.,SG,Singapore,"",,false,1.0,2015-10-29 11:46:26 +0100,2014-12-29 14:26:19 +0100
203.92.100.45,cuda.infocomsec.com.sg.,SG,"",Microsoft DNS 6.1.7600 (1DB04001),,false,1.0,2015-10-29 11:46:43 +0100,2014-12-29 14:27:46 +0100
203.92.94.98,"",SG,Singapore,Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 11:47:51 +0100,2014-12-29 14:35:06 +0100
118.201.184.54,"",SG,"",ZyWALL DNS,,false,1.0,2015-10-29 11:50:41 +0100,2014-12-29 14:51:32 +0100
119.81.12.227,e3.0c.5177.ip4.static.sl-reverse.com.,SG,Singapore,"",,false,1.0,2015-10-29 11:50:49 +0100,2014-12-29 14:52:05 +0100
61.8.221.7,"",SG,Singapore,Microsoft DNS 6.1.7601 (1DB1557D),,false,1.0,2015-10-29 11:50:55 +0100,2014-12-29 14:52:30 +0100
