ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
213.154.73.20,"",SN,"","",,false,1.0,2015-09-30 13:16:43 +0200,2014-12-30 11:30:41 +0100
196.207.254.92,"",SN,"",Microsoft DNS 6.1.7600 (1DB04001),,false,0.88,2015-09-30 14:43:50 +0200,2015-01-06 05:41:08 +0100
213.154.77.21,"",SN,"","",,false,0.88,2015-09-30 15:27:37 +0200,2015-01-07 02:27:21 +0100
213.154.77.22,"",SN,"","",,false,0.91,2015-09-30 15:31:47 +0200,2015-01-07 04:48:25 +0100
213.154.78.115,mail.sicap.sn.,SN,"",9.6.2-P2-RedHat-9.6.2-4.P2.fc11,,false,0.99,2015-09-30 15:46:40 +0200,2015-01-07 12:49:51 +0100
213.154.80.203,art-server-001.art-telecom.sn.,SN,"","",,false,1.0,2015-09-30 16:59:29 +0200,2015-01-09 02:46:24 +0100
213.154.81.99,"",SN,"",9.3.4-P1.1,,false,0.94,2015-09-30 17:02:24 +0200,2015-01-09 04:04:50 +0100
213.154.73.2,"",SN,"","",,false,0.98,2015-09-30 17:11:51 +0200,2015-01-09 08:25:57 +0100
213.154.72.162,"",SN,"","",,false,0.95,2015-09-30 17:13:03 +0200,2015-01-09 09:04:40 +0100
213.154.73.5,"",SN,"","",,false,0.98,2015-09-30 17:14:25 +0200,2015-01-09 09:39:34 +0100
196.207.243.129,"",SN,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-09-30 17:18:55 +0200,2015-01-09 11:42:55 +0100
