ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
66.119.93.4,nssv.telefonica-ca.net.,SV,San Salvador,9.4.1,,false,0.99,2015-09-30 20:08:49 +0200,2013-01-30 18:16:47 +0100
200.85.0.105,ns.telemovil.com.,SV,San Salvador,9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6_4.6,,true,1.0,2015-09-30 20:12:11 +0200,2014-08-19 06:42:07 +0200
216.184.96.5,ip-cust01005.telefonica-ca.net.,SV,San Salvador,BIND,,false,0.71,2015-09-30 20:12:15 +0200,2014-09-20 19:51:26 +0200
216.184.96.6,ip-cust01006.telefonica-ca.net.,SV,San Salvador,BIND,,false,0.79,2015-09-30 20:12:15 +0200,2014-09-20 19:51:27 +0200
66.119.93.10,ip-rip02010.telefonica-ca.net.,SV,San Salvador,9.4.1,,false,0.98,2015-09-30 20:12:21 +0200,2014-11-16 21:29:10 +0100
201.247.95.102,"",SV,San Salvador,dnsmasq-2.52,,false,0.42,2015-09-30 20:15:24 +0200,2014-12-29 12:19:52 +0100
200.31.162.211,net-162-pc211.salnet.net.,SV,San Salvador,9.8.2rc1-RedHat-9.8.2-0.23.rc1.el6_5.1,,true,0.91,2015-09-30 20:17:31 +0200,2014-12-29 12:44:15 +0100
201.247.95.183,"",SV,San Salvador,dnsmasq-2.52,,true,0.38,2015-09-30 20:18:37 +0200,2014-12-29 12:55:12 +0100
201.247.95.31,"",SV,San Salvador,dnsmasq-2.52,,true,0.52,2015-09-30 20:19:59 +0200,2014-12-29 13:08:57 +0100
190.86.165.221,"",SV,San Salvador,dnsmasq-2.52,,false,0.13,2015-09-30 11:56:33 +0200,2014-12-29 14:50:11 +0100
190.86.151.49,"",SV,San Salvador,dnsmasq-2.52,,true,0.66,2015-09-30 11:58:16 +0200,2014-12-29 14:59:45 +0100
190.86.151.161,"",SV,San Salvador,dnsmasq-2.52,,true,0.34,2015-09-30 12:03:36 +0200,2014-12-29 15:31:57 +0100
190.86.151.55,"",SV,San Salvador,dnsmasq-2.52,,true,0.63,2015-09-30 12:14:01 +0200,2014-12-29 16:27:13 +0100
201.247.47.218,"",SV,San Salvador,dnsmasq-2.52,,true,0.99,2015-09-30 12:14:42 +0200,2014-12-29 16:31:06 +0100
190.86.150.23,"",SV,San Salvador,dnsmasq-2.52,,false,0.4,2015-09-30 12:16:07 +0200,2014-12-29 16:39:01 +0100
190.86.150.4,"",SV,San Salvador,dnsmasq-2.52,,false,0.55,2015-09-30 12:17:46 +0200,2014-12-29 16:49:16 +0100
201.247.47.142,"",SV,San Salvador,dnsmasq-2.52,,false,0.6,2015-09-30 12:18:55 +0200,2014-12-29 16:56:51 +0100
201.247.47.194,"",SV,San Salvador,dnsmasq-2.52,,true,1.0,2015-09-30 12:19:01 +0200,2014-12-29 16:57:31 +0100
201.247.47.106,"",SV,San Salvador,dnsmasq-2.52,,false,1.0,2015-09-30 12:20:30 +0200,2014-12-29 17:08:24 +0100
201.247.178.141,141.178.247.201.static.claro.com.sv.,SV,San Salvador,"",,false,1.0,2015-09-30 12:23:04 +0200,2014-12-29 17:33:50 +0100
190.120.13.130,"",SV,San Salvador,9.4.1,,false,0.99,2015-09-30 12:28:46 +0200,2014-12-29 18:35:04 +0100
190.86.148.190,"",SV,San Salvador,dnsmasq-2.52,,true,0.84,2015-09-30 12:29:13 +0200,2014-12-29 18:39:20 +0100
190.86.174.210,mail.pettenati.com.sv.,SV,San Salvador,"",,false,0.98,2015-09-30 12:32:03 +0200,2014-12-29 19:03:03 +0100
179.5.32.30,"",SV,San Salvador,dnsmasq-2.52,,true,1.0,2015-09-30 12:40:29 +0200,2014-12-29 20:31:03 +0100
179.5.32.86,"",SV,San Salvador,dnsmasq-2.52,,true,1.0,2015-09-30 12:51:12 +0200,2014-12-29 22:01:39 +0100
190.86.145.118,"",SV,San Salvador,dnsmasq-2.52,,true,0.35,2015-09-30 12:55:58 +0200,2014-12-29 22:42:26 +0100
