ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
41.207.172.245,"",TG,"","",,false,0.51,2015-10-22 23:51:47 +0200,2014-12-29 12:06:36 +0100
80.248.64.67,dntws.cafe.tg.,TG,Lomé,"",,false,0.51,2015-10-22 23:51:46 +0200,2014-12-29 12:07:22 +0100
80.248.79.254,"",TG,"","",,false,0.78,2015-10-23 00:58:34 +0200,2014-12-29 20:56:32 +0100
41.207.188.130,"",TG,"",tgt,,true,0.77,2015-10-23 01:14:29 +0200,2014-12-29 23:08:28 +0100
80.248.77.129,adsl20129.cafe.tg.,TG,"","",,false,0.82,2015-10-23 01:26:42 +0200,2014-12-30 10:01:22 +0100
80.248.77.137,adsl20137.cafe.tg.,TG,"","",,false,0.97,2015-10-23 01:29:07 +0200,2014-12-30 10:36:41 +0100
80.248.78.254,"",TG,"","",,false,0.99,2015-10-23 02:16:38 +0200,2014-12-30 18:12:45 +0100
80.248.64.3,toffa.cafe.tg.,TG,Lomé,[Secured !!! Please Go away idiot lamer ! ],,false,0.9,2015-10-22 18:22:00 +0200,2015-01-06 10:01:20 +0100
80.248.69.61,"",TG,"","",,false,0.97,2015-10-22 18:49:07 +0200,2015-01-06 21:32:29 +0100
80.248.69.121,"",TG,"","",,false,0.97,2015-10-22 18:51:22 +0200,2015-01-06 22:17:09 +0100
80.248.69.34,"",TG,"","",,false,0.87,2015-10-22 18:52:30 +0200,2015-01-06 22:40:33 +0100
80.248.69.85,"",TG,"","",,false,0.54,2015-10-22 18:54:00 +0200,2015-01-06 23:12:39 +0100
80.248.69.81,"",TG,"","",,false,0.65,2015-10-22 18:54:15 +0200,2015-01-06 23:16:18 +0100
80.248.68.169,"",TG,"","",,false,0.52,2015-10-22 20:04:55 +0200,2015-01-08 12:27:08 +0100
80.248.68.225,"",TG,"","",,false,0.78,2015-10-22 20:28:56 +0200,2015-01-09 01:01:16 +0100
80.248.77.97,adsl2097.cafe.tg.,TG,"","",,false,0.85,2015-10-22 23:11:07 +0200,2015-01-12 17:01:07 +0100
80.248.64.218,"",TG,Lomé,"",,false,0.94,2015-10-22 23:21:01 +0200,2015-01-12 22:43:51 +0100
