ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
2001:ec0:3::3,dns2.totbb.net.,TH,"",unbound 1.5.3,,false,0.99,2015-10-22 23:46:12 +0200,2013-01-04 04:34:28 +0100
2001:ec0:1::1,dns1.totbb.net.,TH,"",unbound 1.5.3,,false,0.99,2015-10-22 23:46:12 +0200,2013-01-04 04:34:29 +0100
202.28.162.1,ns1.mahidol.ac.th.,TH,"",9.4.1,,false,0.99,2015-10-22 23:46:25 +0200,2013-01-30 19:05:06 +0100
202.44.144.33,ns2.ksc.co.th.,TH,"",KSC,,false,0.92,2015-10-22 23:46:25 +0200,2013-01-30 19:05:34 +0100
202.44.204.36,nscache1.nectec.or.th.,TH,"",9.9.5-3ubuntu0.5-Ubuntu,,false,0.91,2015-10-22 23:46:29 +0200,2013-01-30 19:05:37 +0100
203.144.207.29,dns1.asianet.co.th.,TH,Bangkok,"",,false,0.99,2015-10-22 23:46:27 +0200,2013-01-30 19:13:00 +0100
203.144.207.49,dns2.asianet.co.th.,TH,Bangkok,"",,true,0.99,2015-10-22 23:46:26 +0200,2013-01-30 19:13:01 +0100
203.146.237.237,ns01.csloxinfo.com.,TH,Bangkok,CSLoxinfo,,false,0.98,2015-10-22 23:46:29 +0200,2013-01-30 19:13:07 +0100
110.164.252.222,cns1.3bb.co.th.,TH,Thanyaburi,"",,true,1.0,2015-10-22 23:47:28 +0200,2013-05-29 00:54:11 +0200
110.164.252.223,cns2.3bb.co.th.,TH,Thanyaburi,"",,true,1.0,2015-10-22 23:47:28 +0200,2013-05-29 00:54:15 +0200
122.155.3.119,pluto.icez.net.,TH,"",9.7.0-P2-RedHat-9.7.0-21.P2.el5_11.2,,false,0.97,2015-10-22 23:48:53 +0200,2014-01-15 06:22:29 +0100
61.19.252.238,"",TH,"",9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.2,,false,0.98,2015-10-22 23:48:51 +0200,2014-01-15 06:22:35 +0100
