ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
46.20.193.182,"",TJ,"",dnsmasq-2.38,,false,0.95,2015-10-23 00:29:29 +0200,2014-12-29 16:29:25 +0100
95.142.84.202,mail.ainav.tj.,TJ,"","",,false,0.94,2015-10-23 00:29:52 +0200,2014-12-29 16:32:11 +0100
109.74.79.2,"",TJ,"",dnsmasq-2.38,,false,0.78,2015-10-23 00:51:13 +0200,2014-12-29 19:33:17 +0100
94.199.22.120,"",TJ,"",9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.1,,true,0.71,2015-10-22 18:54:50 +0200,2015-01-06 23:45:48 +0100
109.74.67.43,"",TJ,"",dnsmasq-2.38,,false,0.92,2015-10-22 19:08:24 +0200,2015-01-07 07:41:04 +0100
85.9.129.38,dns2.beeline.tj.,TJ,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.94,2015-10-22 21:19:29 +0200,2015-01-10 04:26:00 +0100
85.9.129.36,dns1.beeline.tj.,TJ,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.95,2015-10-22 21:20:01 +0200,2015-01-10 04:43:51 +0100
109.74.78.143,"",TJ,"",dnsmasq-2.38,,false,0.65,2015-10-22 21:51:21 +0200,2015-01-10 20:10:52 +0100
109.74.78.116,"",TJ,"",dnsmasq-2.38,,false,0.78,2015-10-22 21:53:40 +0200,2015-01-10 21:18:33 +0100
195.246.102.246,"",TJ,Dushanbe,"",,false,1.0,2015-10-22 22:14:13 +0200,2015-01-11 10:10:13 +0100
