ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
193.95.93.77,dns1.planettunisie.com.,TN,"","",,false,0.67,2015-10-29 11:26:09 +0100,2009-08-08 23:48:31 +0200
193.95.93.243,"",TN,"","",,false,0.95,2015-10-29 11:27:31 +0100,2013-05-18 17:02:30 +0200
41.224.147.14,"",TN,"",dnsmasq-2.23,,false,0.02,2015-10-29 11:29:43 +0100,2014-11-09 17:51:17 +0100
197.27.69.53,"",TN,"",dnsmasq-2.23,,false,0.06,2015-10-29 11:30:17 +0100,2014-12-27 01:32:38 +0100
41.224.253.232,"",TN,"","",,false,0.74,2015-10-29 11:30:38 +0100,2014-12-27 15:18:16 +0100
41.225.50.216,"",TN,"",dnsmasq-2.52,,false,0.03,2015-10-29 11:30:41 +0100,2014-12-27 15:20:52 +0100
196.203.53.179,"",TN,"",dnsmasq-2.23,,true,0.77,2015-10-29 11:31:31 +0100,2014-12-29 12:05:12 +0100
197.14.10.112,"",TN,"","",,true,1.0,2015-10-29 11:31:27 +0100,2014-12-29 12:05:18 +0100
41.225.14.163,"",TN,"",dnsmasq-2.52,,false,0.95,2015-10-29 11:31:39 +0100,2014-12-29 12:07:22 +0100
197.15.196.214,"",TN,"",dnsmasq-2.52,,false,0.15,2015-10-29 11:31:41 +0100,2014-12-29 12:07:41 +0100
41.226.253.72,"",TN,"",dnsmasq-2.23,,true,0.83,2015-10-29 11:32:32 +0100,2014-12-29 12:17:27 +0100
41.225.14.235,"",TN,"",dnsmasq-2.52,,false,0.95,2015-10-29 11:33:35 +0100,2014-12-29 12:28:53 +0100
41.225.15.9,"",TN,"",dnsmasq-2.52,,true,0.93,2015-10-29 11:33:46 +0100,2014-12-29 12:32:08 +0100
41.225.215.190,"",TN,"",dnsmasq-2.52,,false,0.37,2015-10-29 11:36:03 +0100,2014-12-29 12:55:32 +0100
41.225.236.65,"",TN,"",dnsmasq-2.52,,true,0.99,2015-10-29 11:36:29 +0100,2014-12-29 13:00:17 +0100
41.225.216.58,"",TN,"",dnsmasq-2.52,,false,0.34,2015-10-29 11:36:34 +0100,2014-12-29 13:01:27 +0100
41.225.15.78,"",TN,"",dnsmasq-2.52,,false,0.93,2015-10-29 11:36:57 +0100,2014-12-29 13:05:33 +0100
41.225.15.88,"",TN,"",dnsmasq-2.52,,false,0.95,2015-10-29 11:37:12 +0100,2014-12-29 13:07:45 +0100
41.225.127.120,"",TN,"",dnsmasq-2.52,,false,0.19,2015-10-29 11:37:59 +0100,2014-12-29 13:13:56 +0100
197.15.75.189,"",TN,"",dnsmasq-2.52,,false,0.07,2015-10-29 11:38:16 +0100,2014-12-29 13:16:33 +0100
197.15.129.185,"",TN,"",dnsmasq-2.52,,false,0.31,2015-10-29 11:38:18 +0100,2014-12-29 13:16:50 +0100
197.15.39.82,"",TN,"",dnsmasq-2.52,,false,0.43,2015-10-29 11:39:10 +0100,2014-12-29 13:25:04 +0100
41.227.58.208,"",TN,"",dnsmasq-2.52,,false,0.16,2015-10-29 11:39:36 +0100,2014-12-29 13:28:59 +0100
41.225.216.87,"",TN,"",dnsmasq-2.52,,true,0.33,2015-10-29 11:40:39 +0100,2014-12-29 13:38:12 +0100
41.225.215.140,"",TN,"",dnsmasq-2.52,,false,0.38,2015-10-29 11:42:14 +0100,2014-12-29 13:52:34 +0100
41.230.22.127,"",TN,"",dnsmasq-2.23,,true,0.88,2015-10-29 11:42:31 +0100,2014-12-29 13:55:22 +0100
41.225.58.175,"",TN,"",dnsmasq-2.52,,true,0.08,2015-10-29 11:43:29 +0100,2014-12-29 14:04:10 +0100
197.14.48.225,"",TN,"","",,true,0.6,2015-10-29 11:51:04 +0100,2014-12-29 14:52:43 +0100
41.225.179.240,"",TN,"",dnsmasq-2.52,,false,0.1,2015-10-29 11:53:16 +0100,2014-12-29 15:06:52 +0100
197.14.49.17,"",TN,"",9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6,,true,0.43,2015-10-29 11:54:52 +0100,2014-12-29 15:16:45 +0100
196.203.88.66,"",TN,"",dnsmasq-2.23,,true,0.9,2015-10-29 11:57:28 +0100,2014-12-29 15:31:49 +0100
41.224.117.110,"",TN,"",dnsmasq-2.23,,true,0.07,2015-10-29 11:59:47 +0100,2014-12-29 15:44:29 +0100
197.15.197.162,"",TN,"",9.6-ESV-R7-P4,,false,0.12,2015-10-29 12:04:09 +0100,2014-12-29 16:07:28 +0100
197.15.73.127,"",TN,"",dnsmasq-2.52,,false,0.27,2015-10-29 12:05:47 +0100,2014-12-29 16:16:27 +0100
41.225.179.238,"",TN,"",dnsmasq-2.52,,true,0.41,2015-10-29 12:06:49 +0100,2014-12-29 16:21:17 +0100
41.230.18.168,"",TN,"",dnsmasq-2.23,,true,0.88,2015-10-29 12:07:59 +0100,2014-12-29 16:27:02 +0100
197.15.234.216,"",TN,"",dnsmasq-2.52,,false,0.2,2015-10-29 12:08:11 +0100,2014-12-29 16:27:46 +0100
41.225.180.1,"",TN,"",dnsmasq-2.52,,true,0.19,2015-10-29 12:08:11 +0100,2014-12-29 16:27:48 +0100
41.224.74.71,"",TN,Beja,dnsmasq-2.23,,false,0.03,2015-10-29 12:09:30 +0100,2014-12-29 16:35:01 +0100
41.224.99.218,"",TN,"",dnsmasq-2.23,,true,0.02,2015-10-29 12:10:39 +0100,2014-12-29 16:42:33 +0100
197.15.216.207,"",TN,"",dnsmasq-2.52,,false,0.16,2015-10-29 12:11:50 +0100,2014-12-29 16:49:33 +0100
197.15.236.121,"",TN,"",dnsmasq-2.52,,false,0.26,2015-10-29 12:11:55 +0100,2014-12-29 16:50:09 +0100
41.225.197.186,"",TN,"",dnsmasq-2.52,,false,0.42,2015-10-29 12:16:25 +0100,2014-12-29 17:27:52 +0100
41.227.58.36,"",TN,"",dnsmasq-2.52,,true,0.44,2015-10-29 12:16:39 +0100,2014-12-29 17:29:34 +0100
41.225.197.207,"",TN,"",dnsmasq-2.52,,false,0.36,2015-10-29 12:16:47 +0100,2014-12-29 17:30:15 +0100
41.228.161.30,"",TN,"",dnsmasq-2.23,,false,0.93,2015-10-29 12:17:57 +0100,2014-12-29 17:42:46 +0100
41.224.246.90,"",TN,"",dnsmasq-2.23,,false,0.93,2015-10-29 12:18:24 +0100,2014-12-29 17:47:17 +0100
41.225.222.92,"",TN,"",dnsmasq-2.52,,true,0.33,2015-10-29 12:18:26 +0100,2014-12-29 17:48:51 +0100
197.15.207.187,"",TN,"",dnsmasq-2.52,,true,0.17,2015-10-29 12:18:27 +0100,2014-12-29 17:48:56 +0100
41.225.197.218,"",TN,"",dnsmasq-2.52,,false,0.1,2015-10-29 12:18:57 +0100,2014-12-29 17:54:56 +0100
41.227.49.183,"",TN,"",dnsmasq-2.52,,true,0.28,2015-10-29 12:20:16 +0100,2014-12-29 18:09:39 +0100
41.225.49.126,"",TN,"",dnsmasq-2.52,,false,0.12,2015-10-29 12:20:35 +0100,2014-12-29 18:11:38 +0100
41.224.244.20,"",TN,Tunis,dnsmasq-2.23,,false,0.91,2015-10-29 12:24:15 +0100,2014-12-29 18:44:05 +0100
41.224.248.141,"",TN,"",dnsmasq-2.23,,false,0.88,2015-10-29 12:25:31 +0100,2014-12-29 18:55:18 +0100
41.224.243.135,"",TN,"",dnsmasq-2.23,,false,0.94,2015-10-29 12:25:58 +0100,2014-12-29 18:59:35 +0100
41.225.222.210,"",TN,"",dnsmasq-2.52,,false,0.13,2015-10-29 12:26:35 +0100,2014-12-29 19:05:04 +0100
41.225.198.70,"",TN,"",dnsmasq-2.52,,true,0.29,2015-10-29 12:27:24 +0100,2014-12-29 19:10:40 +0100
41.230.10.95,"",TN,"",dnsmasq-2.23,,true,0.91,2015-10-29 12:31:58 +0100,2014-12-29 19:54:41 +0100
41.224.243.148,"",TN,"",dnsmasq-2.23,,false,0.91,2015-10-29 12:32:38 +0100,2014-12-29 20:03:18 +0100
