ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
94.199.201.199,"",TR,Sanayi,9.8.2rc1-RedHat-9.8.2-0.10.rc1.el6_3.5,,true,1.0,2015-10-29 11:26:53 +0100,2013-01-31 00:53:04 +0100
212.58.3.7,ns1.webkontrol.doruk.net.tr.,TR,"",9.3.4-P1,,false,0.97,2015-10-29 11:27:39 +0100,2013-08-08 08:35:11 +0200
195.49.216.15,ns1.yeditepe.edu.tr.,TR,Yeditepe,"",,false,0.95,2015-10-29 11:29:03 +0100,2014-05-18 21:59:59 +0200
193.255.68.68,ns.nku.edu.tr.,TR,Kemalkoy,Microsoft DNS 6.0.6002 (17724655),,false,1.0,2015-10-29 11:29:03 +0100,2014-05-18 22:00:00 +0200
195.46.147.53,host-62-244-210-53.isikun.edu.tr.,TR,Istanbul,Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 11:29:08 +0100,2014-05-18 22:09:30 +0200
193.255.146.53,ns1.isikun.edu.tr.,TR,Istanbul,"",,false,0.98,2015-10-29 11:29:04 +0100,2014-05-18 22:10:39 +0200
88.255.96.196,ns01.ku.edu.tr.,TR,"","",,false,1.0,2015-10-29 11:29:07 +0100,2014-05-18 22:48:47 +0200
213.144.108.117,mail.ewebstesi.com.,TR,Sanayi,"",,false,1.0,2015-10-29 11:29:43 +0100,2014-11-01 14:53:08 +0100
88.255.242.6,88.255.242.6.dynamic.ttnet.com.tr.,TR,Işık,Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 11:29:49 +0100,2014-11-15 11:59:08 +0100
213.74.47.210,mta210.pstci.com.,TR,"","",,false,1.0,2015-10-29 11:29:51 +0100,2014-12-27 00:01:22 +0100
37.75.10.98,37-75-10-98.rdns.saglayici.net.,TR,"",Microsoft DNS 6.1.7600 (1DB04228),,false,0.98,2015-10-29 11:29:52 +0100,2014-12-27 00:05:13 +0100
88.248.173.78,88.248.173.78.static.ttnet.com.tr.,TR,"",dnsmasq-2.55,,true,0.86,2015-10-29 11:29:58 +0100,2014-12-27 00:25:36 +0100
213.248.190.174,"",TR,"",dnsmasq-2.52,,true,0.91,2015-10-29 11:30:57 +0100,2014-12-27 15:24:31 +0100
78.186.185.149,78.186.185.149.static.ttnet.com.tr.,TR,"",dnsmasq-2.45,,true,0.43,2015-10-29 11:31:04 +0100,2014-12-27 15:26:42 +0100
82.222.42.109,host-82-222-42-109.reverse.superonline.net.,TR,"","",,false,0.49,2015-10-29 11:31:13 +0100,2014-12-27 15:28:19 +0100
37.75.11.70,37-75-11-70.rdns.saglayici.net.,TR,"","",,false,1.0,2015-10-29 11:31:27 +0100,2014-12-29 12:05:12 +0100
213.248.181.20,"",TR,Ankara,dnsmasq-2.45,,true,0.97,2015-10-29 11:31:45 +0100,2014-12-29 12:07:18 +0100
85.105.84.89,85.105.84.89.static.ttnet.com.tr.,TR,"",dnsmasq-2.55,,true,0.93,2015-10-29 11:31:55 +0100,2014-12-29 12:10:15 +0100
88.248.7.93,88.248.7.93.static.ttnet.com.tr.,TR,"",dnsmasq-2.55,,true,0.98,2015-10-29 11:31:56 +0100,2014-12-29 12:10:33 +0100
212.58.12.146,rev.146.12.58.212.doruk.net.tr.,TR,"",9.9.5-3-Ubuntu,,true,1.0,2015-10-29 11:32:16 +0100,2014-12-29 12:14:26 +0100
188.3.62.24,"",TR,Istanbul,dnsmasq-2.45,,true,0.99,2015-10-29 11:32:32 +0100,2014-12-29 12:18:10 +0100
94.101.93.3,server-94.101.93.3.radore.net.tr.,TR,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-29 11:32:47 +0100,2014-12-29 12:20:58 +0100
213.248.181.251,"",TR,Ankara,dnsmasq-2.45,,true,1.0,2015-10-29 11:32:54 +0100,2014-12-29 12:22:16 +0100
82.222.42.100,host-82-222-42-100.reverse.superonline.net.,TR,"","",,false,0.6,2015-10-29 11:33:07 +0100,2014-12-29 12:24:19 +0100
188.3.62.39,"",TR,Istanbul,dnsmasq-2.45,,true,0.99,2015-10-29 11:33:07 +0100,2014-12-29 12:24:29 +0100
212.156.83.254,212.156.83.254.static.turktelekom.com.tr.,TR,Antalya,Microsoft DNS 6.0.6002 (1772487D),,false,0.98,2015-10-29 11:33:17 +0100,2014-12-29 12:25:14 +0100
78.189.55.26,78.189.55.26.static.ttnet.com.tr.,TR,"",dnsmasq-2.45,,true,0.85,2015-10-29 11:33:27 +0100,2014-12-29 12:27:07 +0100
95.9.209.155,95.9.209.155.static.ttnet.com.tr.,TR,"",dnsmasq-2.45,,true,1.0,2015-10-29 11:33:40 +0100,2014-12-29 12:30:50 +0100
85.105.55.250,85.105.55.250.static.ttnet.com.tr.,TR,"",dnsmasq-2.45,,true,0.94,2015-10-29 11:33:48 +0100,2014-12-29 12:32:50 +0100
46.235.14.44,46.235.14.44.static.turkbim.com.tr.,TR,"","",,false,1.0,2015-10-29 11:33:59 +0100,2014-12-29 12:35:07 +0100
213.232.24.124,"",TR,"","",,false,1.0,2015-10-29 11:34:30 +0100,2014-12-29 12:42:34 +0100
82.222.42.107,host-82-222-42-107.reverse.superonline.net.,TR,"","",,false,0.62,2015-10-29 11:34:48 +0100,2014-12-29 12:44:51 +0100
88.255.141.38,88.255.141.38.dynamic.ttnet.com.tr.,TR,"","",,false,0.95,2015-10-29 11:35:02 +0100,2014-12-29 12:46:38 +0100
94.138.211.70,"",TR,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 11:35:05 +0100,2014-12-29 12:47:05 +0100
213.248.152.202,"",TR,Istanbul,dnsmasq-2.45,,true,0.98,2015-10-29 11:35:10 +0100,2014-12-29 12:47:57 +0100
88.248.17.232,88.248.17.232.static.ttnet.com.tr.,TR,"",dnsmasq-2.45,,true,0.98,2015-10-29 11:35:12 +0100,2014-12-29 12:48:17 +0100
85.96.196.183,85.96.196.183.static.ttnet.com.tr.,TR,"",dnsmasq-2.45,,true,1.0,2015-10-29 11:35:12 +0100,2014-12-29 12:48:22 +0100
213.248.169.140,"",TR,"",dnsmasq-2.45,,true,1.0,2015-10-29 11:35:12 +0100,2014-12-29 12:48:22 +0100
82.222.42.120,host-82-222-42-120.reverse.superonline.net.,TR,"","",,false,0.62,2015-10-29 11:35:12 +0100,2014-12-29 12:48:47 +0100
81.213.175.181,81.213.175.181.dynamic.ttnet.com.tr.,TR,"",dnsmasq-2.55,,true,0.64,2015-10-29 11:35:18 +0100,2014-12-29 12:49:45 +0100
94.103.35.226,mailing.altinkaynak.com.,TR,"","",,false,0.34,2015-10-29 11:35:38 +0100,2014-12-29 12:51:59 +0100
85.105.74.81,85.105.74.81.static.ttnet.com.tr.,TR,Bursa,dnsmasq-2.45,,false,0.98,2015-10-29 11:35:41 +0100,2014-12-29 12:53:12 +0100
