ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
190.83.253.69,"",TT,Port of Spain,Do not be concerned,,false,0.95,2015-10-23 00:20:39 +0200,2014-12-29 15:45:19 +0100
190.213.12.67,"",TT,Couva,Microsoft DNS 6.0.6002 (1772487D),,false,0.87,2015-10-23 00:48:05 +0200,2014-12-29 19:07:08 +0100
181.188.84.139,"",TT,Port of Spain,dnsmasq-2.40,,false,0.98,2015-10-23 00:57:44 +0200,2014-12-29 20:49:48 +0100
196.29.69.238,hclgate-w.carib-link.net.,TT,"","",,false,1.0,2015-10-23 01:43:13 +0200,2014-12-30 12:56:57 +0100
190.213.32.252,"",TT,Port of Spain,"",,false,0.89,2015-10-23 01:53:11 +0200,2014-12-30 14:16:16 +0100
190.213.149.180,"",TT,Port of Spain,"",,false,0.97,2015-10-22 17:54:51 +0200,2015-01-05 19:51:44 +0100
190.58.242.154,190-58-242-154.business.static.tstt.net.tt.,TT,"",dnsmasq-2.40,,false,0.96,2015-10-22 18:26:08 +0200,2015-01-06 11:49:55 +0100
190.58.242.86,190-58-242-86.business.static.tstt.net.tt.,TT,"",ZyWALL DNS,,false,0.75,2015-10-22 18:29:33 +0200,2015-01-06 13:18:06 +0100
200.7.90.243,dns1.digicelgroup.com.,TT,Victoria,dns,,false,1.0,2015-10-22 18:44:30 +0200,2015-01-06 19:39:49 +0100
181.188.90.199,"",TT,Port of Spain,dnsmasq-2.33,,false,0.98,2015-10-22 18:54:49 +0200,2015-01-06 23:45:07 +0100
181.188.8.141,"",TT,Port of Spain,dnsmasq-2.40,,false,0.87,2015-10-22 18:59:42 +0200,2015-01-07 03:07:36 +0100
190.213.24.197,"",TT,Port of Spain,dnsmasq-2.40,,false,0.9,2015-10-22 21:03:50 +0200,2015-01-09 19:13:37 +0100
190.213.190.65,"",TT,Port of Spain,Microsoft DNS 6.1.7601 (1DB14556),,false,0.34,2015-10-22 21:08:16 +0200,2015-01-09 21:50:40 +0100
190.58.131.198,190-58-131-198.business.static.tstt.net.tt.,TT,"",dnsmasq-2.40,,false,0.82,2015-10-22 21:29:19 +0200,2015-01-10 09:55:48 +0100
190.213.116.14,"",TT,Port of Spain,"",,false,1.0,2015-10-22 21:34:52 +0200,2015-01-10 12:33:22 +0100
190.213.190.139,"",TT,Port of Spain,dnsmasq-2.40,,false,1.0,2015-10-22 21:36:21 +0200,2015-01-10 13:16:51 +0100
200.7.93.198,"",TT,Arima,dnsmasq-2.40,,false,0.99,2015-10-22 21:45:24 +0200,2015-01-10 17:39:40 +0100
190.213.84.81,mail1.ecgaspipeline.com.,TT,Arouca,"",,false,0.97,2015-10-22 21:49:32 +0200,2015-01-10 19:26:29 +0100
131.100.37.49,"",TT,"",dnsmasq-2.40,,false,0.99,2015-10-22 21:51:16 +0200,2015-01-10 20:08:43 +0100
181.188.118.60,"",TT,Port of Spain,dnsmasq-2.40,,false,0.96,2015-10-22 21:56:18 +0200,2015-01-10 22:28:14 +0100
190.213.86.6,"",TT,Port of Spain,dnsmasq-2.40,,false,1.0,2015-10-22 22:00:16 +0200,2015-01-11 01:29:40 +0100
181.188.48.245,"",TT,Port of Spain,dnsmasq-2.40,,false,0.97,2015-10-22 22:05:44 +0200,2015-01-11 05:01:05 +0100
