ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
197.159.116.108,"",TZ,"",dnsmasq-2.47,,false,0.89,2015-10-23 00:07:54 +0200,2014-12-29 14:33:39 +0100
41.223.231.65,"",TZ,"",8.2.3-REL,,false,0.99,2015-10-23 00:12:10 +0200,2014-12-29 14:57:16 +0100
196.43.92.82,dn1.hotnet.co.tz.,TZ,"",9.5.1-P2,,false,0.39,2015-10-23 00:14:41 +0200,2014-12-29 15:10:46 +0100
41.204.150.173,"",TZ,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.77,2015-10-23 01:23:38 +0200,2014-12-30 09:14:29 +0100
41.223.228.65,"",TZ,Dar es Salaam,8.2.3-REL,,false,0.99,2015-10-23 01:51:55 +0200,2014-12-30 14:07:48 +0100
196.43.79.21,mail.neso.co.tz.,TZ,"",9.3.2,,false,0.96,2015-10-23 02:09:51 +0200,2014-12-30 16:50:03 +0100
105.21.160.26,ae-2-36.customer-gw-new-africa-online-communication-ltd.er-01-dar.tz.seacomnet.com.,TZ,Dar es Salaam,"",,false,0.96,2015-10-23 02:12:27 +0200,2014-12-30 17:20:53 +0100
41.78.1.10,"",TZ,Zanzibar,"",,false,0.89,2015-10-23 02:21:51 +0200,2014-12-30 19:16:21 +0100
41.222.58.62,host-41-222-58-62.cybernet.co.tz.,TZ,Arusha,unbound 1.5.1,,true,0.69,2015-10-22 17:43:56 +0200,2014-12-31 20:45:29 +0100
41.59.3.92,92.3-59-41.data-dsm.ttcldata.net.,TZ,"","",,false,0.62,2015-10-22 18:10:22 +0200,2015-01-06 04:16:14 +0100
41.222.89.57,ptr-41-222-89-57-dsalaam.tz.bellafrica.net.,TZ,Dar es Salaam,"",,false,0.97,2015-10-22 18:19:13 +0200,2015-01-06 08:32:19 +0100
41.222.89.245,ptr-41-222-89-245-dsalaam.tz.bellafrica.net.,TZ,Dar es Salaam,"",,false,0.99,2015-10-22 18:48:39 +0200,2015-01-06 21:24:44 +0100
196.45.144.2,catsweb.cats-net.com.,TZ,Dar es Salaam,"",,false,0.89,2015-10-22 18:50:54 +0200,2015-01-06 22:08:47 +0100
41.75.211.70,"",TZ,"","",,false,0.84,2015-10-22 19:37:24 +0200,2015-01-07 22:03:22 +0100
41.86.162.10,"",TZ,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.91,2015-10-22 20:00:53 +0200,2015-01-08 09:50:12 +0100
41.73.67.201,"",TZ,"",9.9.6-P1-RedHat-9.9.6-10.P1.fc21,,true,0.94,2015-10-22 20:09:21 +0200,2015-01-08 14:45:38 +0100
41.79.186.235,"",TZ,"","",,false,0.95,2015-10-22 20:13:49 +0200,2015-01-08 16:58:27 +0100
41.93.33.1,"",TZ,Dar es Salaam,"",,true,0.95,2015-10-22 21:04:13 +0200,2015-01-09 19:28:15 +0100
41.223.183.153,"",TZ,"","",,false,0.99,2015-10-22 21:23:33 +0200,2015-01-10 06:56:39 +0100
196.45.141.153,"",TZ,Dar es Salaam,"",,false,0.57,2015-10-22 22:04:10 +0200,2015-01-11 04:01:02 +0100
