ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
212.1.118.3,in.vn.ua.,UA,German,9.2.2-P3,,false,0.71,2015-10-22 23:45:51 +0200,2010-04-23 13:44:23 +0200
193.254.232.1,relay.so.net.ua.,UA,"",9.6.1-P1,,false,0.89,2015-10-22 23:45:59 +0200,2011-01-21 01:57:29 +0100
77.87.152.9,ns2.airbites.lviv.ua.,UA,"",My DnS,,false,1.0,2015-10-22 23:46:13 +0200,2013-01-30 18:22:16 +0100
194.50.125.10,ns.firmradio.net.,UA,Vinnytsya,9.9.5-9+deb8u2-Debian,,false,0.99,2015-10-22 23:46:19 +0200,2013-01-30 18:45:16 +0100
193.142.218.3,"",UA,"",9.7.3,,false,1.0,2015-10-22 23:46:48 +0200,2013-04-23 02:12:27 +0200
193.17.213.10,gate.aikotech.com.ua.,UA,"",Who cares?,,false,0.96,2015-10-22 23:46:48 +0200,2013-04-23 02:13:07 +0200
193.200.68.230,"",UA,"",9.8.4-rpz2+rl005.12-P1,,true,0.99,2015-10-22 23:46:47 +0200,2013-04-23 02:14:41 +0200
193.239.250.3,kite.dcs.com.ua.,UA,"",9.3.4-P1,,false,1.0,2015-10-22 23:46:48 +0200,2013-04-23 02:16:23 +0200
193.242.114.129,ns.azovintel.com.,UA,"","",,false,1.0,2015-10-22 23:46:46 +0200,2013-04-23 02:16:25 +0200
193.27.80.34,mail2.ukravto.kiev.ua.,UA,"",9.3.1,,false,0.86,2015-10-22 23:46:55 +0200,2013-04-23 02:17:10 +0200
193.33.236.1,ns.acs-group.net.ua.,UA,Simferopol,Recursivedns,,false,0.99,2015-10-22 23:46:47 +0200,2013-04-23 02:17:44 +0200
193.34.128.253,"",UA,"",9.3.3,,false,1.0,2015-10-22 23:46:52 +0200,2013-04-23 02:17:49 +0200
194.145.198.6,smtp.amron.com.ua.,UA,"",unknown,,false,1.0,2015-10-22 23:46:51 +0200,2013-04-23 02:21:02 +0200
194.146.136.1,ns.dn.cv.ua.,UA,"",may be 5 or 6,,false,0.99,2015-10-22 23:46:49 +0200,2013-04-23 02:21:06 +0200
194.169.205.1,main.welan.kiev.ua.,UA,Kiev,9.9.2-P1,,false,1.0,2015-10-22 23:46:49 +0200,2013-04-23 02:22:36 +0200
194.242.116.166,ns1.premierplus.com.ua.,UA,"",9.3.1,,false,1.0,2015-10-22 23:46:51 +0200,2013-04-23 02:24:17 +0200
195.137.232.1,student.diawest.net.ua.,UA,"",8.3.7-REL,,false,1.0,2015-10-22 23:46:52 +0200,2013-04-23 02:28:16 +0200
195.138.160.3,nobulus.odtel.net.,UA,"",9.3.6-P1,,false,0.96,2015-10-22 23:46:58 +0200,2013-04-23 02:28:17 +0200
195.177.223.3,quarry.undp.org.ua.,UA,"",GUESS WHO!,,false,1.0,2015-10-22 23:46:53 +0200,2013-04-23 02:29:50 +0200
195.182.192.10,ns1.opensvit.ua.,UA,"",9.9.4,,false,1.0,2015-10-22 23:46:53 +0200,2013-04-23 02:30:12 +0200
