ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
41.190.132.98,static98-metronet.infocom.co.ug.,UG,"","",,false,0.92,2015-10-22 23:56:40 +0200,2014-12-29 13:00:03 +0100
41.138.16.1,"",UG,"","",,false,0.9,2015-10-22 23:57:03 +0200,2014-12-29 13:01:55 +0100
41.138.30.225,"",UG,"","",,false,0.94,2015-10-23 00:52:56 +0200,2014-12-29 19:51:31 +0100
41.138.2.1,"",UG,"","",,false,0.91,2015-10-23 00:58:36 +0200,2014-12-29 20:54:55 +0100
41.138.25.225,"",UG,"","",,false,0.88,2015-10-23 01:44:21 +0200,2014-12-30 13:05:46 +0100
41.138.0.49,"",UG,"","",,false,0.9,2015-10-23 02:22:47 +0200,2014-12-30 19:27:10 +0100
41.138.0.1,"",UG,"","",,false,0.9,2015-10-23 02:25:37 +0200,2014-12-30 19:58:41 +0100
41.138.0.34,"",UG,"","",,false,0.91,2015-10-23 02:25:44 +0200,2014-12-30 20:01:13 +0100
41.138.0.41,"",UG,"","",,false,0.89,2015-10-23 02:27:09 +0200,2014-12-30 20:18:13 +0100
41.138.0.5,"",UG,"","",,false,0.96,2015-10-23 02:27:21 +0200,2014-12-30 20:25:32 +0100
41.138.10.1,"",UG,"","",,false,0.97,2015-10-22 17:55:56 +0200,2015-01-05 20:19:33 +0100
41.138.19.129,"",UG,"","",,false,0.91,2015-10-22 18:19:22 +0200,2015-01-06 08:23:01 +0100
41.138.26.129,"",UG,"","",,false,0.94,2015-10-22 18:56:54 +0200,2015-01-07 01:34:59 +0100
41.190.79.151,"",UG,"","",,false,0.9,2015-10-22 19:00:52 +0200,2015-01-07 03:38:31 +0100
41.202.231.94,mail1.dgf.ug.,UG,"",ZyWALL DNS,,false,0.99,2015-10-22 19:25:26 +0200,2015-01-07 16:16:22 +0100
154.0.129.162,"",UG,"","",,false,1.0,2015-10-22 20:12:36 +0200,2015-01-08 16:20:46 +0100
41.220.213.34,mail.pentad.co.ug.213.220.41.in-addr.arpa.,UG,"",dnsmasq-2.49,,false,0.72,2015-10-22 20:14:45 +0200,2015-01-08 17:33:25 +0100
41.138.22.97,"",UG,"","",,false,0.91,2015-10-22 21:41:34 +0200,2015-01-10 15:40:56 +0100
41.138.21.193,"",UG,"","",,false,0.96,2015-10-22 21:42:19 +0200,2015-01-10 16:01:53 +0100
41.138.22.1,"",UG,"","",,false,0.91,2015-10-22 21:43:16 +0200,2015-01-10 16:29:44 +0100
41.138.4.225,"",UG,"","",,false,0.87,2015-10-22 21:47:25 +0200,2015-01-10 18:28:15 +0100
41.222.4.34,static-41-222-4-34.metronet.imul.com.,UG,"",ZyWALL DNS,,false,0.99,2015-10-22 21:47:33 +0200,2015-01-10 18:36:39 +0100
41.138.19.1,"",UG,"","",,false,0.91,2015-10-22 21:49:44 +0200,2015-01-10 19:23:48 +0100
41.138.5.1,"",UG,"","",,false,0.89,2015-10-22 21:49:33 +0200,2015-01-10 19:24:10 +0100
41.190.77.88,mail.udet.co.ug.,UG,"","",,false,0.97,2015-10-22 22:33:28 +0200,2015-01-11 20:22:16 +0100
41.190.77.87,"",UG,"","",,false,0.96,2015-10-22 22:38:41 +0200,2015-01-11 22:45:05 +0100
