ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
8.8.8.8,google-public-dns-a.google.com.,US,Mountain View,"",,true,1.0,2015-10-22 23:45:36 +0200,2009-12-04 11:01:47 +0100
204.152.184.76,or.isc.org.,US,Redwood City,9.9.4,,false,1.0,2015-10-22 23:45:41 +0200,2009-05-13 03:05:06 +0200
205.171.3.65,resolver1.qwest.net.,US,"","",,false,1.0,2015-10-22 23:45:36 +0200,2009-05-13 11:28:10 +0200
216.106.184.6,rs2.ststelecom.com.,US,"",none,,false,0.99,2015-10-22 23:45:40 +0200,2009-05-15 14:49:23 +0200
72.46.0.2,ns.intap.net.,US,Smithfield,9.7.3,,false,0.94,2015-10-22 23:45:37 +0200,2009-05-15 14:49:29 +0200
66.203.66.203,ns.axsne.net.,US,Marlborough,"",,false,0.8,2015-10-22 23:45:37 +0200,2009-05-15 14:53:05 +0200
209.213.223.18,eth0.pal001dn01.yipes.com.,US,San Francisco,I'm using my X-RAY VISION to obtain a rare glimpse of the INNER WORKINGS of this POTATO!!,,false,0.99,2015-10-22 23:45:37 +0200,2009-05-15 14:53:05 +0200
209.143.22.182,bacchus.bright.net.,US,Wapakoneta,9.9.6-P1,,false,0.99,2015-10-22 23:45:37 +0200,2009-05-15 14:53:13 +0200
216.52.254.1,ns1.lax.pnap.net.,US,Seattle,"",,false,1.0,2015-10-22 23:45:38 +0200,2009-05-15 14:53:27 +0200
69.54.70.15,slimer.isphone.net.,US,Traverse City,9.8.2rc1-RedHat-9.8.2-0.23.rc1.el6_5.1,,true,0.99,2015-10-22 23:45:39 +0200,2009-05-15 14:53:29 +0200
64.94.1.1,ns1.acs.pnap.net.,US,Seattle,"",,false,1.0,2015-10-22 23:45:37 +0200,2009-05-15 14:53:32 +0200
63.251.161.1,ns1.sef.pnap.net.,US,Seattle,"",,false,1.0,2015-10-22 23:45:38 +0200,2009-05-15 14:53:33 +0200
66.7.160.122,"",US,San Francisco,Is this TERMINAL fun?,,false,0.97,2015-10-22 23:45:39 +0200,2009-05-15 14:53:41 +0200
165.166.142.42,rad1.spirittelecom.com.,US,Columbia,9.8.2rc1-RedHat-9.8.2-0.37.rc1.el6_7.2,,true,1.0,2015-10-22 23:45:38 +0200,2009-05-15 14:53:41 +0200
141.211.144.17,dns-anycast-144-17.mr.itd.umich.edu.,US,Ann Arbor,"",,false,1.0,2015-10-22 23:45:39 +0200,2009-05-15 14:53:42 +0200
69.60.160.203,edelta2.dadns.america.net.,US,Alpharetta,9.10.2-P3,,false,1.0,2015-10-22 23:45:39 +0200,2009-05-15 14:53:43 +0200
192.237.125.2,dns1.info.net.,US,El Segundo,"Nice try, now go away !!!",,false,0.38,2015-10-22 23:45:38 +0200,2009-05-15 14:53:56 +0200
65.163.107.11,ns1.ctusa.net.,US,"",9.5.0-P2,,false,1.0,2015-10-22 23:45:38 +0200,2009-05-15 14:54:06 +0200
208.78.24.238,dns1.nyc.dns-roots.net.,US,"",DNSROOTS,,false,1.0,2015-10-22 23:45:38 +0200,2009-05-15 14:54:08 +0200
216.52.254.33,ns2.lax.pnap.net.,US,Seattle,"",,false,1.0,2015-10-22 23:45:38 +0200,2009-05-15 14:54:22 +0200
206.253.194.97,ns2.pnap.net.,US,"","",,false,1.0,2015-10-22 23:45:40 +0200,2009-05-15 14:54:29 +0200
129.7.1.1,walnut.cc.uh.edu.,US,Houston,"",,false,0.99,2015-10-22 23:45:39 +0200,2009-05-15 14:54:34 +0200
64.94.33.33,ns2.chg.pnap.net.,US,Chicago,"",,false,1.0,2015-10-22 23:45:39 +0200,2009-05-15 14:54:53 +0200
66.118.80.4,ns1.wvinternetservices.com.,US,Bridgeport,hi2u,,false,1.0,2015-10-22 23:45:39 +0200,2009-05-15 14:55:28 +0200
141.211.125.15,dns-anycast-125-15.mr.itd.umich.edu.,US,Ann Arbor,"",,false,1.0,2015-10-22 23:45:42 +0200,2009-05-15 14:55:41 +0200
64.94.33.1,ns1.chg.pnap.net.,US,Chicago,"",,false,1.0,2015-10-22 23:45:39 +0200,2009-05-15 14:55:44 +0200
4.2.2.1,a.resolvers.level3.net.,US,"",Version: main/17936,,false,1.0,2015-10-22 23:45:38 +0200,2009-05-18 01:33:01 +0200
4.2.2.2,b.resolvers.Level3.net.,US,"",Version: main/17936,,false,1.0,2015-10-22 23:45:38 +0200,2009-05-18 01:33:01 +0200
4.2.2.3,c.resolvers.level3.net.,US,"",Version: main/17936,,false,1.0,2015-10-22 23:45:38 +0200,2009-05-18 01:33:01 +0200
4.2.2.4,d.resolvers.level3.net.,US,"",Version: main/17936,,false,1.0,2015-10-22 23:45:38 +0200,2009-05-18 01:33:01 +0200
4.2.2.5,e.resolvers.level3.net.,US,"",Version: main/17936,,false,1.0,2015-10-22 23:45:41 +0200,2009-05-18 01:33:02 +0200
4.2.2.6,f.resolvers.level3.net.,US,"",Version: main/17936,,false,1.0,2015-10-22 23:45:41 +0200,2009-05-18 01:33:02 +0200
199.2.252.10,ns2.sprintlink.net.,US,"","",,true,0.99,2015-10-22 23:45:39 +0200,2009-05-18 01:33:05 +0200
204.97.212.10,ns3.sprintlink.net.,US,"","",,true,0.99,2015-10-22 23:45:39 +0200,2009-05-18 01:33:05 +0200
141.211.125.17,dns-anycast-125-17.mr.itd.umich.edu.,US,Ann Arbor,"",,false,1.0,2015-10-22 23:45:42 +0200,2009-08-07 23:17:19 +0200
216.237.221.42,dns3.nstel.com.,US,High Point,TGIF,,false,0.95,2015-10-22 23:45:42 +0200,2009-08-07 23:17:34 +0200
