ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
200.40.230.36,r200-40-230-36.static.adinet.com.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 11:28:52 +0100,2013-11-19 03:24:52 +0100
201.217.141.26,r201-217-141-26.ir-static.anteldata.net.uy.,UY,Montevideo,"",,false,0.94,2015-10-29 11:31:55 +0100,2014-12-29 12:09:15 +0100
200.40.174.173,r200-40-174-173.static.adinet.com.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 11:36:44 +0100,2014-12-29 13:02:22 +0100
190.64.76.226,r190-64-76-226.su-static.adinet.com.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 11:41:44 +0100,2014-12-29 13:48:09 +0100
200.40.86.106,r200-40-86-106.ae-static.anteldata.net.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 11:44:11 +0100,2014-12-29 14:09:27 +0100
201.221.2.194,194.2.221.201.static.dedicado.com.uy.,UY,Montevideo,"",,false,0.38,2015-10-29 12:01:12 +0100,2014-12-29 15:52:30 +0100
190.64.67.50,r190-64-67-50.su-static.adinet.com.uy.,UY,Montevideo,9.3.2,,false,1.0,2015-10-29 12:06:04 +0100,2014-12-29 16:17:35 +0100
190.64.66.218,r190-64-66-218.su-static.adinet.com.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 12:15:19 +0100,2014-12-29 17:14:58 +0100
190.64.67.26,"",UY,Montevideo,dnsmasq-2.73,,false,1.0,2015-10-29 12:18:01 +0100,2014-12-29 17:43:08 +0100
190.64.66.155,"",UY,Montevideo,"",,false,0.99,2015-10-29 12:18:16 +0100,2014-12-29 17:45:09 +0100
190.0.154.189,ns1.conaprole.com.uy.,UY,Montevideo,Microsoft DNS 6.1.7601 (1DB1446A),,false,0.63,2015-10-29 12:18:49 +0100,2014-12-29 17:51:13 +0100
190.64.67.29,"",UY,Montevideo,dnsmasq-2.73,,false,1.0,2015-10-29 12:18:46 +0100,2014-12-29 17:52:07 +0100
200.125.36.78,r200-125-36-78.ae-static.anteldata.net.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 12:20:08 +0100,2014-12-29 18:07:10 +0100
190.64.0.59,r190-64-0-59.ir-static.anteldata.net.uy.,UY,Montevideo,"",,false,0.88,2015-10-29 12:25:59 +0100,2014-12-29 18:58:33 +0100
190.64.0.60,r190-64-0-60.ir-static.anteldata.net.uy.,UY,Montevideo,"",,false,0.97,2015-10-29 12:30:45 +0100,2014-12-29 19:39:20 +0100
200.71.5.174,static-200-71-5-174.techtel.com.uy.,UY,Montevideo,"",,false,0.99,2015-10-29 12:47:11 +0100,2014-12-29 22:13:58 +0100
190.64.66.156,"",UY,Montevideo,"",,false,1.0,2015-10-29 12:53:44 +0100,2014-12-29 23:19:45 +0100
190.64.78.218,r190-64-78-218.su-static.adinet.com.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 13:00:58 +0100,2014-12-30 01:58:33 +0100
201.217.134.235,r201-217-134-235.ir-static.anteldata.net.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 13:34:14 +0100,2014-12-30 14:50:21 +0100
190.0.140.38,r190-0-140-38.ir-static.adinet.com.uy.,UY,Montevideo,Microsoft DNS 6.1.7601 (1DB14556),,false,0.91,2015-10-29 14:05:30 +0100,2014-12-31 18:34:17 +0100
200.40.80.6,r200-40-80-6.ae-static.anteldata.net.uy.,UY,Montevideo,"",,false,0.97,2015-10-29 14:15:17 +0100,2014-12-31 23:23:41 +0100
200.40.175.197,dns.mercurio.com.uy.,UY,Montevideo,8.2.2-P7,,false,0.8,2015-10-29 14:25:18 +0100,2015-01-05 22:22:43 +0100
200.40.33.4,smtp.ose.com.uy.,UY,Montevideo,"",,false,0.99,2015-10-29 14:38:57 +0100,2015-01-06 05:41:20 +0100
200.40.137.1,rev-200-40-137-1.static.netgate.com.uy.,UY,Montevideo,"",,false,0.99,2015-10-29 14:39:46 +0100,2015-01-06 06:04:10 +0100
200.40.255.100,r200-40-255-100.static.adinet.com.uy.,UY,Montevideo,"",,false,0.7,2015-10-29 15:53:24 +0100,2015-01-07 18:10:31 +0100
190.64.64.26,servidor.ddb.com.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 07:24:28 +0100,2015-01-07 23:56:03 +0100
201.217.142.178,florida.piedraalta.com.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 07:27:21 +0100,2015-01-08 01:07:13 +0100
201.217.150.98,aluruguay.com.uy.,UY,Montevideo,DNS Server,,false,1.0,2015-10-29 07:36:35 +0100,2015-01-08 05:10:25 +0100
190.0.144.56,r190-0-144-56.ir-static.adinet.com.uy.,UY,Montevideo,"",,false,0.93,2015-10-29 07:37:04 +0100,2015-01-08 05:23:33 +0100
190.0.144.58,r190-0-144-58.ir-static.adinet.com.uy.,UY,Montevideo,9.3.6-P1-RedHat-9.3.6-16.P1.el5_7.1,,false,0.95,2015-10-29 07:37:14 +0100,2015-01-08 05:30:14 +0100
201.217.136.138,"",UY,Montevideo,dnsmasq-2.73,,false,0.99,2015-10-29 07:58:46 +0100,2015-01-08 18:33:14 +0100
200.40.228.114,dns1.naral.com.uy.,UY,Montevideo,RootWay DNS Server,,false,0.94,2015-10-29 08:18:45 +0100,2015-01-09 04:37:10 +0100
190.0.137.162,r190-0-137-162.ir-static.adinet.com.uy.,UY,Montevideo,9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6_4.6,,true,1.0,2015-10-29 08:29:41 +0100,2015-01-09 09:44:52 +0100
190.0.144.55,r190-0-144-55.ir-static.adinet.com.uy.,UY,Montevideo,"",,false,0.95,2015-10-29 08:30:12 +0100,2015-01-09 09:58:58 +0100
190.64.81.44,r190-64-81-44.su-static.adinet.com.uy.,UY,Montevideo,"",,false,0.98,2015-10-29 08:39:03 +0100,2015-01-09 13:59:46 +0100
190.64.26.66,r190-64-26-66.su-static.adinet.com.uy.,UY,Montevideo,"",,true,1.0,2015-10-29 08:41:47 +0100,2015-01-09 16:34:12 +0100
190.64.72.194,r190-64-72-194.su-static.adinet.com.uy.,UY,Montevideo,"",,false,0.99,2015-10-29 08:44:09 +0100,2015-01-09 18:02:28 +0100
200.58.129.238,caycu129-238.movinet.com.uy.,UY,Montevideo,"",,false,0.67,2015-10-29 08:49:13 +0100,2015-01-09 21:08:54 +0100
200.40.187.58,r200-40-187-58.su-static.anteldata.net.uy.,UY,Montevideo,dnsmasq-2.40,,false,0.99,2015-10-29 08:51:35 +0100,2015-01-09 22:38:27 +0100
200.58.130.67,eva.elsitio.com.uy.,UY,Montevideo,"",,false,0.89,2015-10-29 08:51:51 +0100,2015-01-09 22:49:25 +0100
200.40.255.101,r200-40-255-101.static.adinet.com.uy.,UY,Montevideo,"",,false,0.69,2015-10-29 09:04:05 +0100,2015-01-10 05:54:23 +0100
200.40.120.162,ns1.elpais.com.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 09:07:02 +0100,2015-01-10 07:45:36 +0100
190.64.69.34,r190-64-69-34.su-static.adinet.com.uy.,UY,Montevideo,9.8.1-P1,,false,1.0,2015-10-29 09:12:20 +0100,2015-01-10 10:19:49 +0100
190.64.82.163,r190-64-82-163.su-static.adinet.com.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 09:12:41 +0100,2015-01-10 10:30:17 +0100
190.64.82.218,r190-64-82-218.su-static.adinet.com.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 09:13:36 +0100,2015-01-10 10:56:55 +0100
190.64.83.36,r190-64-83-36.su-static.adinet.com.uy.,UY,Montevideo,DNS Server,,false,0.96,2015-10-29 09:16:31 +0100,2015-01-10 12:19:07 +0100
200.40.46.58,r200-40-46-58.ae-static.anteldata.net.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 09:16:47 +0100,2015-01-10 12:30:08 +0100
200.40.47.130,r200-40-47-130.ae-static.anteldata.net.uy.,UY,Montevideo,dnsmasq-2.39,,false,1.0,2015-10-29 09:18:47 +0100,2015-01-10 13:26:30 +0100
200.40.120.168,server11.elpais.com.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 09:26:51 +0100,2015-01-10 17:24:17 +0100
201.217.140.242,r201-217-140-242.ir-static.anteldata.net.uy.,UY,Montevideo,Microsoft DNS 6.1.7601 (1DB144E7),,false,0.98,2015-10-29 09:39:25 +0100,2015-01-10 23:11:31 +0100
201.217.138.139,r201-217-138-139.ir-static.anteldata.net.uy.,UY,Montevideo,dnsmasq-2.40,,false,0.88,2015-10-29 09:43:31 +0100,2015-01-11 02:38:46 +0100
201.217.157.186,r201-217-157-186.ir-static.anteldata.net.uy.,UY,Montevideo,dnsmasq-2.73,,false,0.98,2015-10-29 09:44:06 +0100,2015-01-11 02:57:23 +0100
201.217.157.162,r201-217-157-162.ir-static.anteldata.net.uy.,UY,Montevideo,"",,false,0.99,2015-10-29 09:45:13 +0100,2015-01-11 03:41:19 +0100
201.217.145.155,r201-217-145-155.ir-static.anteldata.net.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 09:48:36 +0100,2015-01-11 05:55:25 +0100
190.64.141.10,r190-64-141-10.ir-static.anteldata.net.uy.,UY,Montevideo,9.3.2,,false,1.0,2015-10-29 09:52:08 +0100,2015-01-11 08:09:11 +0100
190.64.11.165,r190-64-11-165.ir-static.anteldata.net.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 09:56:50 +0100,2015-01-11 10:51:12 +0100
190.64.140.242,r190-64-140-242.ir-static.anteldata.net.uy.,UY,Montevideo,"",,false,0.98,2015-10-29 09:59:50 +0100,2015-01-11 12:41:40 +0100
190.64.27.130,r190-64-27-130.su-static.adinet.com.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 10:00:54 +0100,2015-01-11 13:18:34 +0100
190.64.140.243,r190-64-140-243.ir-static.anteldata.net.uy.,UY,Montevideo,"",,false,0.98,2015-10-29 10:02:58 +0100,2015-01-11 14:31:14 +0100
179.27.41.130,r179-27-41-130.ir-static.adinet.com.uy.,UY,Montevideo,"",,false,0.89,2015-10-29 10:10:24 +0100,2015-01-11 18:25:01 +0100
200.40.236.244,r200-40-236-244.su-static.anteldata.net.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 10:16:31 +0100,2015-01-11 21:26:01 +0100
201.217.157.165,r201-217-157-165.ir-static.anteldata.net.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 10:16:43 +0100,2015-01-11 21:31:32 +0100
200.40.175.191,ftp.mercurio.com.uy.,UY,Montevideo,8.2.2-P7,,false,0.88,2015-10-29 10:26:09 +0100,2015-01-12 01:52:32 +0100
190.64.75.178,r190-64-75-178.su-static.adinet.com.uy.,UY,Montevideo,Microsoft DNS 6.1.7601 (1DB1446A),,false,0.41,2015-10-29 10:30:06 +0100,2015-01-12 03:56:18 +0100
201.217.136.140,"",UY,Montevideo,dnsmasq-2.73,,false,0.99,2015-10-29 11:00:26 +0100,2015-01-12 22:11:00 +0100
201.217.136.2,r201-217-136-2.ir-static.anteldata.net.uy.,UY,Montevideo,Microsoft DNS 6.0.6002 (1772487D),,false,0.97,2015-10-29 11:00:43 +0100,2015-01-12 22:23:24 +0100
201.217.135.114,r201-217-135-114.ir-static.anteldata.net.uy.,UY,Montevideo,"",,false,1.0,2015-10-29 11:02:50 +0100,2015-01-12 23:37:27 +0100
