ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
213.206.43.221,"",UZ,"","",,false,1.0,2015-10-22 23:51:48 +0200,2014-12-29 12:07:26 +0100
84.54.84.6,"",UZ,"","",,false,0.8,2015-10-22 23:55:42 +0200,2014-12-29 12:51:51 +0100
213.206.43.218,"",UZ,"","",,false,1.0,2015-10-22 23:55:41 +0200,2014-12-29 12:52:16 +0100
37.110.212.1,ns2.beeline.uz.,UZ,Tashkent,Microsoft DNS 6.1.7601 (1DB14556),,false,0.76,2015-10-23 00:51:00 +0200,2014-12-29 19:29:36 +0100
213.230.99.175,"",UZ,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.99,2015-10-23 01:07:39 +0200,2014-12-29 22:07:12 +0100
83.221.178.207,"",UZ,"","",,false,0.98,2015-10-23 01:15:31 +0200,2014-12-29 23:22:07 +0100
195.158.27.126,"",UZ,"","",,false,1.0,2015-10-23 01:16:18 +0200,2014-12-29 23:40:55 +0100
84.54.72.11,11.72.albatros.uz.,UZ,"",9.7.3,,false,0.9,2015-10-23 01:32:42 +0200,2014-12-30 11:23:12 +0100
84.54.72.14,14.72.albatros.uz.,UZ,"",9.7.3,,false,0.9,2015-10-23 01:33:06 +0200,2014-12-30 11:25:55 +0100
62.209.134.206,62.209.134.206.static.ip.tps.uz.,UZ,"",dnsmasq-2.55,,false,0.91,2015-10-23 01:34:11 +0200,2014-12-30 11:35:47 +0100
84.54.72.13,13.72.albatros.uz.,UZ,"",9.7.3,,false,0.9,2015-10-23 01:36:03 +0200,2014-12-30 11:52:06 +0100
84.54.72.21,21.72.albatros.uz.,UZ,"",9.7.3,,false,0.91,2015-10-23 01:39:08 +0200,2014-12-30 12:20:43 +0100
84.54.72.9,9.72.albatros.uz.,UZ,"",9.7.3,,false,0.9,2015-10-23 01:42:25 +0200,2014-12-30 12:49:59 +0100
84.54.72.22,22.72.albatros.uz.,UZ,"",9.7.3,,false,0.91,2015-10-23 01:44:43 +0200,2014-12-30 13:09:46 +0100
94.141.68.125,"",UZ,"",dnsmasq-2.62,,false,1.0,2015-10-23 02:15:25 +0200,2014-12-30 17:58:18 +0100
213.230.64.2,"",UZ,"",12345,,false,0.82,2015-10-22 18:36:47 +0200,2015-01-06 16:19:40 +0100
94.141.69.127,"",UZ,Tashkent,"",,false,0.84,2015-10-22 18:38:41 +0200,2015-01-06 17:11:01 +0100
62.209.128.141,62.209.128.141.ip.tps.uz.,UZ,"","",,false,0.98,2015-10-22 18:42:49 +0200,2015-01-06 18:57:35 +0100
84.54.84.5,"",UZ,"","",,false,0.77,2015-10-22 19:29:42 +0200,2015-01-07 18:25:20 +0100
62.209.135.66,62.209.135.66.static.ip.tps.uz.,UZ,"","",,false,0.88,2015-10-22 19:44:03 +0200,2015-01-08 00:50:55 +0100
195.158.30.18,195-158-30-18.NAS199.albatros.uz.,UZ,"",9.7.3,,false,0.91,2015-10-22 20:05:34 +0200,2015-01-08 12:51:47 +0100
185.8.212.146,"",UZ,"","",,false,0.48,2015-10-22 20:16:04 +0200,2015-01-08 18:12:47 +0100
217.30.171.15,217.30.171.15.static.ip.etc.uz.,UZ,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.96,2015-10-22 20:52:38 +0200,2015-01-09 12:11:38 +0100
94.141.70.31,"",UZ,"","",,true,0.99,2015-10-22 21:29:57 +0200,2015-01-10 10:14:57 +0100
46.8.35.7,ns1.mediabay.uz.,UZ,Tashkent,"",,false,1.0,2015-10-22 21:46:21 +0200,2015-01-10 18:03:29 +0100
195.158.18.44,"",UZ,"","",,false,1.0,2015-10-22 23:11:19 +0200,2015-01-12 17:12:37 +0100
84.54.72.8,8.72.albatros.uz.,UZ,"",9.7.3,,false,0.83,2015-10-22 23:41:14 +0200,2015-09-04 02:44:22 +0200
84.54.72.10,10.72.albatros.uz.,UZ,"",9.7.3,,false,0.83,2015-10-22 23:41:14 +0200,2015-09-04 02:44:22 +0200
84.54.72.12,12.72.albatros.uz.,UZ,"",9.7.3,,false,0.83,2015-10-22 23:41:14 +0200,2015-09-04 02:44:22 +0200
84.54.72.15,15.72.albatros.uz.,UZ,"",9.7.3,,false,0.82,2015-10-22 23:41:14 +0200,2015-09-04 02:44:22 +0200
84.54.72.16,16.72.albatros.uz.,UZ,"",9.7.3,,false,0.83,2015-10-22 23:41:14 +0200,2015-09-04 02:44:22 +0200
84.54.72.17,17.72.albatros.uz.,UZ,"",9.7.3,,false,0.83,2015-10-22 23:41:14 +0200,2015-09-04 02:44:22 +0200
84.54.72.18,18.72.albatros.uz.,UZ,"",9.7.3,,false,0.83,2015-10-22 23:41:15 +0200,2015-09-04 02:44:22 +0200
84.54.72.19,19.72.albatros.uz.,UZ,"",9.7.3,,false,0.83,2015-10-22 23:41:15 +0200,2015-09-04 02:44:22 +0200
84.54.72.20,20.72.albatros.uz.,UZ,"",9.7.3,,false,0.82,2015-10-22 23:41:15 +0200,2015-09-04 02:44:22 +0200
84.54.72.23,23.72.albatros.uz.,UZ,"",9.7.3,,false,0.83,2015-10-22 23:41:15 +0200,2015-09-04 02:44:22 +0200
84.54.72.24,24.72.albatros.uz.,UZ,"",9.7.3,,false,0.83,2015-10-22 23:41:15 +0200,2015-09-04 02:44:22 +0200
84.54.72.25,25.72.albatros.uz.,UZ,"",9.7.3,,false,0.83,2015-10-22 23:41:15 +0200,2015-09-04 02:44:22 +0200
84.54.72.26,26.72.albatros.uz.,UZ,"",9.7.3,,false,0.83,2015-10-22 23:41:15 +0200,2015-09-04 02:44:22 +0200
84.54.72.27,27.72.albatros.uz.,UZ,"",9.7.3,,false,0.83,2015-10-22 23:41:15 +0200,2015-09-04 02:44:22 +0200
84.54.72.28,28.72.albatros.uz.,UZ,"",9.7.3,,false,0.83,2015-10-22 23:41:15 +0200,2015-09-04 02:44:22 +0200
