ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
200.62.19.140,ccscliente140.ifxnetworks.net.ve.,VE,Caracas,dnsmasq-2.62,,false,0.92,2015-10-29 11:33:50 +0100,2014-12-29 12:32:55 +0100
190.153.56.186,186.56.153.190.net-uno.net.,VE,Caracas,"",,false,0.91,2015-10-29 11:50:53 +0100,2014-12-29 14:52:14 +0100
190.123.164.170,pcsp164-170.dynamic.supercable.net.ve.,VE,Caracas,dnsmasq-2.40,,true,0.88,2015-10-29 11:56:14 +0100,2014-12-29 15:24:34 +0100
200.44.56.242,mail.ujap.edu.ve.,VE,"",9.3.4-P1,,false,0.9,2015-10-29 11:57:42 +0100,2014-12-29 15:32:23 +0100
190.203.43.40,190-203-43-40.dyn.dsl.cantv.net.,VE,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.88,2015-10-29 12:02:55 +0100,2014-12-29 16:01:01 +0100
190.216.252.36,"",VE,Caracas,9.9.7-P2,,false,0.47,2015-10-29 12:05:36 +0100,2014-12-29 16:15:03 +0100
186.167.64.82,"",VE,Caracas,"",,false,0.8,2015-10-29 12:05:36 +0100,2014-12-29 16:15:11 +0100
201.248.73.114,"",VE,"",9.3.4-P1.2,,false,0.94,2015-10-29 12:09:36 +0100,2014-12-29 16:35:37 +0100
201.248.73.233,mail.cvcsoluciones.com.ve.,VE,"",Microsoft DNS 6.1.7600 (1DB04001),,false,0.83,2015-10-29 12:10:44 +0100,2014-12-29 16:42:33 +0100
200.109.229.26,srvmailla01.grupoterepaima.com.,VE,"",dnsmasq-2.47,,false,0.95,2015-10-29 12:10:59 +0100,2014-12-29 16:44:42 +0100
190.204.192.13,"",VE,"",dnsmasq-2.40,,false,0.91,2015-10-29 12:11:23 +0100,2014-12-29 16:47:08 +0100
190.206.64.248,"",VE,"",dnsmasq-2.40,,true,0.84,2015-10-29 12:12:26 +0100,2014-12-29 16:53:28 +0100
200.8.178.73,"",VE,Barquisimeto,I hope this is a joke !,,false,1.0,2015-10-29 12:16:39 +0100,2014-12-29 17:29:19 +0100
201.242.234.111,201-242-234-111.genericrev.cantv.net.,VE,"",dnsmasq-2.40,,false,0.88,2015-10-29 12:17:43 +0100,2014-12-29 17:40:14 +0100
190.60.42.1,190-60-42-1.ifxnw.com.ve.,VE,Caracas,9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6,,false,0.94,2015-10-29 12:19:05 +0100,2014-12-29 17:56:53 +0100
190.72.13.92,190-72-13-92.dyn.dsl.cantv.net.,VE,"",dnsmasq-2.73,,false,0.99,2015-10-29 12:21:05 +0100,2014-12-29 18:17:01 +0100
190.203.65.16,190-203-65-16.dyn.dsl.cantv.net.,VE,"","",,false,0.93,2015-10-29 12:22:20 +0100,2014-12-29 18:28:21 +0100
201.249.57.104,201.249.57-104.estatic.cantv.net.,VE,"","",,false,0.98,2015-10-29 12:23:04 +0100,2014-12-29 18:33:58 +0100
201.249.198.82,201-249-198-82.estatic.cantv.net.,VE,"","",,false,0.85,2015-10-29 12:26:12 +0100,2014-12-29 19:00:43 +0100
190.72.58.101,190-72-58-101.dyn.dsl.cantv.net.,VE,"",dnsmasq-2.45,,false,0.92,2015-10-29 12:30:20 +0100,2014-12-29 19:34:41 +0100
190.73.1.9,190.73-1-9.dyn.dsl.cantv.net.,VE,"","My named is Bind, James BIND",,false,0.92,2015-10-29 12:31:35 +0100,2014-12-29 19:50:24 +0100
190.201.184.225,190-201-184-225.dyn.dsl.cantv.net.,VE,El Callao,"My named is Bind, James BIND",,false,0.62,2015-10-29 12:35:49 +0100,2014-12-29 20:41:40 +0100
