ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
203.119.36.106,nscache2.vnnic.net.vn.,VN,Hanoi,"",,false,0.99,2015-10-22 23:46:26 +0200,2013-01-30 19:11:55 +0100
203.119.8.106,nscache1.vnnic.net.vn.,VN,Hanoi,"",,false,0.99,2015-10-22 23:46:26 +0200,2013-01-30 19:12:00 +0100
110.35.78.66,ns2.gmobile.com.vn.,VN,Hanoi,"",,false,0.99,2015-10-22 23:50:59 +0200,2014-12-27 15:23:12 +0100
222.255.121.141,hn08.vnn-srv.net.,VN,Hanoi,"",,false,0.96,2015-10-22 23:51:35 +0200,2014-12-29 12:04:01 +0100
115.78.134.150,"",VN,Ho Chi Minh City,dnsmasq-2.55,,true,1.0,2015-10-22 23:53:15 +0200,2014-12-29 12:24:35 +0100
222.255.121.183,mail121183.dotvndns.vn.,VN,Hanoi,"",,false,0.96,2015-10-22 23:57:31 +0200,2014-12-29 13:08:16 +0100
111.91.235.236,"",VN,Hanoi,Microsoft DNS 6.1.7601 (1DB1446A),,false,1.0,2015-10-22 23:57:58 +0200,2014-12-29 13:12:21 +0100
117.6.95.55,"",VN,Hanoi,dnsmasq-2.62,,false,0.87,2015-10-22 23:58:04 +0200,2014-12-29 13:12:34 +0100
222.255.121.146,static.vdc.vn.,VN,Hanoi,"",,false,1.0,2015-10-22 23:58:38 +0200,2014-12-29 13:17:14 +0100
103.28.37.39,"",VN,Hanoi,Microsoft DNS 6.0.6002 (17724655),,false,0.98,2015-10-22 23:58:41 +0200,2014-12-29 13:18:35 +0100
222.255.121.186,mail.miwa.vn.,VN,Hanoi,"",,false,0.95,2015-10-22 23:58:51 +0200,2014-12-29 13:19:50 +0100
222.255.121.156,static.vdc.vn.,VN,Hanoi,"",,false,1.0,2015-10-22 23:59:35 +0200,2014-12-29 13:27:16 +0100
123.30.95.153,mail.ihomedata.net.,VN,Hanoi,9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.2,,false,0.99,2015-10-23 00:01:53 +0200,2014-12-29 13:47:49 +0100
103.28.37.52,"",VN,Hanoi,"",,false,1.0,2015-10-23 00:02:47 +0200,2014-12-29 13:54:47 +0100
113.161.162.164,static.vdc.vn.,VN,Hanoi,"",,false,0.94,2015-10-23 00:03:31 +0200,2014-12-29 14:02:29 +0100
115.79.206.39,"",VN,Lang Dung,"",,false,1.0,2015-10-23 00:05:03 +0200,2014-12-29 14:14:41 +0100
210.245.63.123,"",VN,Hanoi,"",,false,0.46,2015-10-23 00:09:29 +0200,2014-12-29 14:43:16 +0100
