ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
196.2.45.101,hurricane.mweb.co.za.,ZA,"",9.5.1-P3,,false,0.94,2015-10-29 11:26:35 +0100,2013-01-30 18:49:21 +0100
41.221.5.11,"",ZA,"",dnsmasq-2.40,,false,0.99,2015-10-29 11:26:50 +0100,2013-03-01 16:30:08 +0100
41.193.15.130,"",ZA,Johannesburg,"",,false,0.99,2015-10-29 11:31:39 +0100,2014-12-29 12:07:10 +0100
41.134.16.18,41-134-16-18.dsl.mweb.co.za.,ZA,"","",,false,0.99,2015-10-29 11:31:50 +0100,2014-12-29 12:09:09 +0100
197.80.196.21,"",ZA,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-29 11:32:07 +0100,2014-12-29 12:12:35 +0100
196.45.177.51,"",ZA,Randburg,Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-29 11:33:43 +0100,2014-12-29 12:31:08 +0100
196.37.107.248,"",ZA,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.95,2015-10-29 11:33:49 +0100,2014-12-29 12:32:23 +0100
41.203.15.148,dns3.linqpay.co.za.,ZA,"","",,false,0.92,2015-10-29 11:34:19 +0100,2014-12-29 12:39:04 +0100
197.221.63.146,mail.peachss.co.za.,ZA,"","",,false,1.0,2015-10-29 11:35:15 +0100,2014-12-29 12:49:00 +0100
41.161.15.178,"",ZA,Pretoria,"",,false,0.99,2015-10-29 11:35:27 +0100,2014-12-29 12:51:21 +0100
196.15.176.41,"",ZA,"","",,false,0.97,2015-10-29 11:38:06 +0100,2014-12-29 13:14:56 +0100
196.3.176.2,"",ZA,"","",,false,0.98,2015-10-29 11:39:41 +0100,2014-12-29 13:29:45 +0100
196.7.238.27,masthead.profiledata.co.za.,ZA,"","",,false,0.95,2015-10-29 11:40:11 +0100,2014-12-29 13:33:10 +0100
41.222.140.202,bras-bus-unsh-silver-41-222-140-202-sgt.sadv.co.za.,ZA,"","",,false,0.99,2015-10-29 11:45:35 +0100,2014-12-29 14:20:55 +0100
196.25.235.250,"",ZA,"","",,false,0.99,2015-10-29 11:50:09 +0100,2014-12-29 14:48:07 +0100
197.89.27.212,197-89-27-212.dsl.mweb.co.za.,ZA,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.09,2015-10-29 11:51:22 +0100,2014-12-29 14:54:10 +0100
196.24.86.50,"",ZA,Wynberg,Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 11:51:15 +0100,2014-12-29 14:54:15 +0100
41.0.101.122,"",ZA,"",Microsoft DNS 6.1.7600 (1DB04228),,false,0.98,2015-10-29 11:51:54 +0100,2014-12-29 14:57:41 +0100
41.134.182.73,mail.acs.za.com.,ZA,"","",,false,0.97,2015-10-29 11:52:05 +0100,2014-12-29 14:57:54 +0100
41.161.95.58,"",ZA,"","",,false,0.99,2015-10-29 11:52:18 +0100,2014-12-29 15:00:35 +0100
196.41.123.49,whm2.mywebserver.co.za.,ZA,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-29 11:53:59 +0100,2014-12-29 15:10:52 +0100
41.222.140.218,bras-bus-unsh-silver-41-222-140-218-sgt.sadv.co.za.,ZA,"",unbound 1.4.16,,true,0.99,2015-10-29 11:54:24 +0100,2014-12-29 15:13:33 +0100
196.28.95.4,4.95.28.196.netactive.net.,ZA,"",dnsmasq-2.45,,true,0.99,2015-10-29 11:54:26 +0100,2014-12-29 15:13:44 +0100
196.28.31.170,170.31.28.196.netactive.net.,ZA,"","",,false,0.99,2015-10-29 11:57:08 +0100,2014-12-29 15:29:59 +0100
41.76.106.102,www.geeksquad.co.za.,ZA,"",dnsmasq-2.48,,true,0.98,2015-10-29 11:58:36 +0100,2014-12-29 15:37:39 +0100
196.41.12.106,exchange.southernx.co.za.,ZA,"","",,false,0.29,2015-10-29 12:00:21 +0100,2014-12-29 15:47:45 +0100
196.15.170.166,"",ZA,"","",,false,1.0,2015-10-29 12:01:29 +0100,2014-12-29 15:53:18 +0100
196.15.170.131,ns1.gns.co.za.,ZA,"","",,false,1.0,2015-10-29 12:02:57 +0100,2014-12-29 16:00:58 +0100
41.66.81.1,41-66-81-1.digichilli.co.za.,ZA,"","",,true,1.0,2015-10-29 12:04:48 +0100,2014-12-29 16:11:05 +0100
196.41.102.157,157.102.41.196.lightspeed.co.za.,ZA,"","",,false,0.99,2015-10-29 12:05:03 +0100,2014-12-29 16:12:10 +0100
41.162.143.5,"",ZA,"",9.2.4,,false,0.76,2015-10-29 12:06:57 +0100,2014-12-29 16:21:47 +0100
41.160.105.140,smssiemagmail.smssiemagza.co.za.,ZA,Johannesburg,Microsoft DNS 6.1.7601 (1DB14556),,false,0.71,2015-10-29 12:06:59 +0100,2014-12-29 16:21:51 +0100
196.41.210.182,mail.famous.co.za.,ZA,"","",,false,1.0,2015-10-29 12:07:19 +0100,2014-12-29 16:24:01 +0100
41.134.83.74,server.medallion.co.za.,ZA,"","",,false,0.99,2015-10-29 12:08:07 +0100,2014-12-29 16:27:23 +0100
196.35.64.35,elcrypto.antfarm.co.za.,ZA,"","",,false,0.97,2015-10-29 12:12:29 +0100,2014-12-29 16:53:40 +0100
196.21.109.9,mcd4330.medunsa.ac.za.,ZA,Medunsa,Microsoft DNS 6.0.6002 (1772487D),,false,0.66,2015-10-29 12:13:46 +0100,2014-12-29 17:02:48 +0100
41.160.100.67,"",ZA,"",9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.2,,true,0.99,2015-10-29 12:14:52 +0100,2014-12-29 17:11:04 +0100
41.162.143.4,"",ZA,"",9.2.4,,false,0.99,2015-10-29 12:14:58 +0100,2014-12-29 17:12:36 +0100
41.134.223.154,41-134-223-154.dsl.mweb.co.za.,ZA,"","",,false,0.98,2015-10-29 12:20:28 +0100,2014-12-29 18:10:46 +0100
196.21.5.230,"",ZA,Wynberg,"",,false,0.8,2015-10-29 12:22:12 +0100,2014-12-29 18:26:29 +0100
197.221.51.50,"",ZA,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-29 12:28:34 +0100,2014-12-29 19:20:06 +0100
196.15.249.221,"",ZA,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-29 12:31:48 +0100,2014-12-29 19:52:03 +0100
41.74.181.42,vm-188-dc2.rsaweb.co.za.,ZA,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.81,2015-10-29 12:42:17 +0100,2014-12-29 21:34:31 +0100
196.15.132.158,"",ZA,"","",,false,0.99,2015-10-29 12:44:43 +0100,2014-12-29 21:53:33 +0100
41.162.143.3,"",ZA,"",9.2.4,,false,0.99,2015-10-29 12:44:45 +0100,2014-12-29 21:54:03 +0100
41.164.142.156,ns3.etime.co.za.,ZA,George,9.8.2rc1-RedHat-9.8.2-0.37.rc1.el6_7.4,,false,1.0,2015-10-29 12:45:45 +0100,2014-12-29 22:02:12 +0100
154.66.200.56,"",ZA,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.93,2015-10-29 12:46:48 +0100,2014-12-29 22:09:27 +0100
41.161.37.202,"",ZA,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-29 12:51:19 +0100,2014-12-29 22:52:58 +0100
41.162.143.2,mx1.studbook.co.za.,ZA,"",9.2.4,,false,0.99,2015-10-29 12:52:10 +0100,2014-12-29 23:01:39 +0100
41.79.221.201,"",ZA,Johannesburg,"",,false,1.0,2015-10-29 12:57:05 +0100,2014-12-30 00:42:51 +0100
41.185.16.29,"",ZA,"","",,false,0.99,2015-10-29 12:57:21 +0100,2014-12-30 00:47:53 +0100
41.78.221.24,"",ZA,"","",,false,0.99,2015-10-29 12:59:47 +0100,2014-12-30 01:38:12 +0100
41.160.220.218,"",ZA,"","",,false,0.99,2015-10-29 12:59:49 +0100,2014-12-30 01:39:18 +0100
41.168.14.22,"",ZA,"","",,false,0.95,2015-10-29 13:00:44 +0100,2014-12-30 01:54:48 +0100
41.87.228.91,41-87-228-91.atcsp.co.za.,ZA,"",dnsmasq-2.40,,false,0.99,2015-10-29 13:01:04 +0100,2014-12-30 02:01:22 +0100
41.161.95.106,"",ZA,"","",,false,0.99,2015-10-29 13:01:59 +0100,2014-12-30 09:18:53 +0100
196.213.41.105,"",ZA,"",Hmmm... the latest version out,,false,0.98,2015-10-29 13:02:43 +0100,2014-12-30 09:31:40 +0100
41.79.215.155,"",ZA,"","",,false,0.92,2015-10-29 13:04:48 +0100,2014-12-30 10:00:40 +0100
154.73.1.52,lmradio.inet.telemedia.co.za.,ZA,Johannesburg,"",,false,0.98,2015-10-29 13:05:06 +0100,2014-12-30 10:06:31 +0100
196.13.141.10,"",ZA,Midrand,"",,false,0.9,2015-10-29 13:06:47 +0100,2014-12-30 10:30:18 +0100
69.67.45.60,"",ZA,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.87,2015-10-29 13:10:00 +0100,2014-12-30 11:16:06 +0100
41.193.85.84,"",ZA,Waverley,"",,false,0.73,2015-10-29 13:11:18 +0100,2014-12-30 11:27:28 +0100
41.193.126.165,"",ZA,Waverley,"",,false,0.91,2015-10-29 13:11:27 +0100,2014-12-30 11:28:39 +0100
41.222.108.17,ns2.olgdns.eu.,ZA,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.97,2015-10-29 13:12:22 +0100,2014-12-30 11:38:03 +0100
41.72.130.154,mailer.buildabear.co.za.,ZA,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.97,2015-10-29 13:14:09 +0100,2014-12-30 11:53:27 +0100
196.28.31.171,171.31.28.196.netactive.net.,ZA,"","",,false,0.99,2015-10-29 13:15:54 +0100,2014-12-30 12:10:02 +0100
197.81.120.210,197-81-120-210.jhb.mweb.co.za.,ZA,"","",,false,1.0,2015-10-29 13:16:05 +0100,2014-12-30 12:11:18 +0100
41.160.129.134,"",ZA,"","",,false,0.99,2015-10-29 13:16:46 +0100,2014-12-30 12:17:01 +0100
196.44.32.35,cache-dns1.adept.co.za.,ZA,Stellenbosch,9.9.5-3ubuntu0.5-Ubuntu,,true,0.98,2015-10-29 13:16:46 +0100,2014-12-30 12:17:24 +0100
105.233.74.125,"",ZA,"",unbound 1.4.6,,false,0.01,2015-10-29 13:16:59 +0100,2014-12-30 12:19:35 +0100
197.214.116.170,"",ZA,Cape Town,"",,false,0.98,2015-10-29 13:17:30 +0100,2014-12-30 12:24:46 +0100
197.92.10.9,mcu0w-oba-2.mweb.co.za.,ZA,"",9.9.5-3ubuntu0.5-Ubuntu,,false,0.99,2015-10-29 13:17:42 +0100,2014-12-30 12:26:06 +0100
196.15.132.157,"",ZA,"","",,false,0.99,2015-10-29 13:18:25 +0100,2014-12-30 12:32:52 +0100
41.74.191.98,"",ZA,"","",,false,0.99,2015-10-29 13:20:19 +0100,2014-12-30 12:49:29 +0100
196.37.107.249,"",ZA,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.9,2015-10-29 13:20:59 +0100,2014-12-30 12:55:26 +0100
197.214.116.29,"",ZA,Cape Town,"",,false,0.9,2015-10-29 13:21:58 +0100,2014-12-30 13:03:11 +0100
154.73.209.69,"",ZA,Johannesburg,Microsoft DNS 6.1.7601 (1DB14556),,false,0.94,2015-10-29 13:22:06 +0100,2014-12-30 13:03:58 +0100
197.234.205.130,"",ZA,"",dnsmasq-2.47,,true,0.92,2015-10-29 13:24:22 +0100,2014-12-30 13:23:43 +0100
197.189.206.186,"",ZA,"","",,false,0.97,2015-10-29 13:25:56 +0100,2014-12-30 13:37:54 +0100
196.28.46.54,196-28-46-54.jhb.netdial.co.za.,ZA,"",dnsmasq-2.55,,true,0.99,2015-10-29 13:27:13 +0100,2014-12-30 13:47:53 +0100
196.28.46.14,vic-vod-rack-4.optinet.net.,ZA,"",dnsmasq-2.55,,true,1.0,2015-10-29 13:27:33 +0100,2014-12-30 13:50:58 +0100
209.212.120.20,jh-dns-1.za.mtnns.net.,ZA,"",not permitted,,false,0.99,2015-10-29 13:28:53 +0100,2014-12-30 14:01:22 +0100
196.38.239.10,"",ZA,Port Elizabeth,"",,false,0.97,2015-10-29 13:28:59 +0100,2014-12-30 14:02:01 +0100
154.70.210.33,"",ZA,"","",,false,0.99,2015-10-29 13:29:35 +0100,2014-12-30 14:06:49 +0100
196.28.46.38,196-28-46-38.jhb.netdial.co.za.,ZA,"",dnsmasq-2.55,,true,1.0,2015-10-29 13:30:46 +0100,2014-12-30 14:14:28 +0100
196.28.46.62,196-28-46-62.jhb.netdial.co.za.,ZA,"",dnsmasq-2.55,,true,1.0,2015-10-29 13:31:05 +0100,2014-12-30 14:16:44 +0100
41.160.190.156,"",ZA,Johannesburg,"",,false,0.99,2015-10-29 13:34:06 +0100,2014-12-30 14:49:10 +0100
196.30.220.251,"",ZA,"","",,false,0.99,2015-10-29 13:34:35 +0100,2014-12-30 14:53:32 +0100
164.151.130.34,164.151.130.34.static.gov.za.,ZA,Pretoria,9.3.2,,false,0.99,2015-10-29 13:36:01 +0100,2014-12-30 15:08:17 +0100
197.189.204.70,"",ZA,"","",,false,0.97,2015-10-29 13:36:16 +0100,2014-12-30 15:10:02 +0100
152.111.1.250,"",ZA,Cape Town,Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-29 13:38:01 +0100,2014-12-30 15:24:56 +0100
41.164.145.171,"",ZA,Cape Town,Neotel-DNS,,false,1.0,2015-10-29 13:40:14 +0100,2014-12-30 15:47:54 +0100
197.242.202.94,"",ZA,"","",,false,1.0,2015-10-29 13:42:16 +0100,2014-12-30 16:07:39 +0100
165.165.218.10,international-water-management-institute-gw.telkom-ipnet.co.za.,ZA,"","",,false,0.99,2015-10-29 13:42:55 +0100,2014-12-30 16:12:52 +0100
196.15.162.154,"",ZA,Malmesbury,"",,false,1.0,2015-10-29 13:43:33 +0100,2014-12-30 16:18:05 +0100
41.134.177.2,mail2.suncitrus.co.za.,ZA,"","",,false,1.0,2015-10-29 13:46:26 +0100,2014-12-30 16:40:48 +0100
196.41.14.73,"",ZA,Johannesburg,dnsmasq-2.62,,false,0.99,2015-10-29 13:48:43 +0100,2014-12-30 17:03:09 +0100
41.164.176.201,n1.wispernet.co.za.,ZA,Mossel Bay,"",,false,0.99,2015-10-29 13:48:54 +0100,2014-12-30 17:05:30 +0100
41.134.177.3,41-134-177-3.dsl.mweb.co.za.,ZA,"","",,false,1.0,2015-10-29 13:50:45 +0100,2014-12-30 17:29:01 +0100
196.15.14.12,ns2.nsis.gijima.com.,ZA,Centurion,"",,false,0.99,2015-10-29 13:52:39 +0100,2014-12-30 17:53:11 +0100
154.73.209.161,"",ZA,Johannesburg,"",,false,0.95,2015-10-29 13:54:26 +0100,2014-12-30 18:16:41 +0100
41.160.31.19,"",ZA,Sandton,dnsmasq-2.59,,true,0.66,2015-10-29 13:55:55 +0100,2014-12-30 18:33:37 +0100
197.85.189.26,197-85-189-26.cpt.mweb.co.za.,ZA,"","",,false,0.95,2015-10-29 13:56:04 +0100,2014-12-30 18:36:05 +0100
197.81.93.210,197-81-93-210.jhb.mweb.co.za.,ZA,"","",,false,0.99,2015-10-29 13:57:33 +0100,2014-12-30 18:56:08 +0100
197.221.165.105,ns1.sainet.co.za.,ZA,"","",,false,0.99,2015-10-29 13:57:43 +0100,2014-12-30 18:59:26 +0100
41.164.176.194,"",ZA,Mossel Bay,"",,false,0.99,2015-10-29 13:58:11 +0100,2014-12-30 19:04:45 +0100
196.3.165.72,cms-vx-zcs2.synaq.com.,ZA,"",Microsoft DNS 6.1.7600 (1DB04228),,false,0.5,2015-10-29 13:58:33 +0100,2014-12-30 19:08:43 +0100
197.96.176.172,"",ZA,"",dnsmasq-2.59,,false,0.98,2015-10-29 13:59:39 +0100,2014-12-30 19:20:24 +0100
197.81.93.82,197-81-93-82.jhb.mweb.co.za.,ZA,"",Microsoft DNS 6.0.6002 (17724655),,false,0.97,2015-10-29 13:59:59 +0100,2014-12-30 19:25:11 +0100
197.96.176.174,"",ZA,"",dnsmasq-2.59,,false,0.98,2015-10-29 14:00:50 +0100,2014-12-30 19:34:55 +0100
41.160.177.26,"",ZA,Johannesburg,"",,true,0.98,2015-10-29 14:01:08 +0100,2014-12-30 19:38:27 +0100
197.96.176.175,"",ZA,"",dnsmasq-2.59,,false,0.95,2015-10-29 14:01:41 +0100,2014-12-30 19:45:19 +0100
41.21.161.132,"",ZA,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.99,2015-10-29 14:02:02 +0100,2014-12-30 19:46:43 +0100
196.15.156.198,"",ZA,"","",,false,0.86,2015-10-29 14:03:09 +0100,2014-12-30 20:00:52 +0100
41.57.160.178,"",ZA,Johannesburg,"",,false,0.97,2015-10-29 14:03:40 +0100,2014-12-30 20:05:49 +0100
41.185.31.33,mail.f1tech.co.za.,ZA,"","",,false,0.98,2015-10-29 14:03:43 +0100,2014-12-30 20:06:37 +0100
197.189.222.210,zeus.netguide.co.za.,ZA,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.98,2015-10-29 14:04:00 +0100,2014-12-30 20:09:41 +0100
197.96.176.170,"",ZA,"",dnsmasq-2.59,,false,0.98,2015-10-29 14:04:40 +0100,2014-12-30 20:22:57 +0100
197.96.176.173,"",ZA,"",dnsmasq-2.59,,false,0.98,2015-10-29 14:05:19 +0100,2014-12-30 20:36:09 +0100
196.212.54.122,"",ZA,Cape Town,"",,false,0.98,2015-10-29 14:07:05 +0100,2014-12-31 19:19:13 +0100
41.223.25.65,blk2.wipronet.co.za.,ZA,Pretoria,dnsmasq-2.47,,false,0.99,2015-10-29 14:07:51 +0100,2014-12-31 19:43:44 +0100
41.223.25.68,blk2.wipronet.co.za.,ZA,Pretoria,"",,false,0.99,2015-10-29 14:08:12 +0100,2014-12-31 19:53:01 +0100
196.37.159.20,gateway2.talkingbuildings.co.za.,ZA,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.98,2015-10-29 14:08:31 +0100,2014-12-31 20:03:19 +0100
41.223.25.56,blk2.wipronet.co.za.,ZA,Pretoria,"",,false,0.99,2015-10-29 14:08:34 +0100,2014-12-31 20:05:56 +0100
41.0.152.237,"",ZA,Durban,"",,false,0.99,2015-10-29 14:09:45 +0100,2014-12-31 20:42:19 +0100
41.193.58.97,"",ZA,Waverley,"",,false,0.99,2015-10-29 14:09:57 +0100,2014-12-31 20:50:45 +0100
41.160.124.138,"",ZA,"","",,false,1.0,2015-10-29 14:10:08 +0100,2014-12-31 20:56:05 +0100
196.3.167.34,www.backpack.co.za.,ZA,"",9.2.1,,false,0.69,2015-10-29 14:10:15 +0100,2014-12-31 20:59:41 +0100
41.160.58.115,"",ZA,Johannesburg,"",,false,1.0,2015-10-29 14:10:27 +0100,2014-12-31 21:05:43 +0100
41.223.25.11,blk2.wipronet.co.za.,ZA,Pretoria,dnsmasq-2.47,,false,0.99,2015-10-29 14:10:35 +0100,2014-12-31 21:08:50 +0100
41.223.25.23,blk2.wipronet.co.za.,ZA,Pretoria,"",,false,0.98,2015-10-29 14:10:50 +0100,2014-12-31 21:15:57 +0100
164.151.131.69,164.151.131.69.static.gov.za.,ZA,Pretoria,Microsoft DNS 6.0.6002 (17724655),,false,0.99,2015-10-29 14:11:59 +0100,2014-12-31 21:46:15 +0100
41.162.73.148,"",ZA,"","",,false,0.91,2015-10-29 14:13:07 +0100,2014-12-31 22:18:29 +0100
196.25.23.241,ns1.tcm.co.za.,ZA,"","",,false,1.0,2015-10-29 14:17:55 +0100,2015-01-01 00:32:45 +0100
41.160.247.100,"",ZA,"","",,false,1.0,2015-10-29 14:21:19 +0100,2015-01-05 20:11:52 +0100
41.160.104.42,"",ZA,"","",,false,0.98,2015-10-29 14:22:04 +0100,2015-01-05 20:34:31 +0100
196.214.157.201,"",ZA,Johannesburg,Hmmm... the latest version out,,false,0.98,2015-10-29 14:24:24 +0100,2015-01-05 21:56:08 +0100
197.81.88.99,197-81-88-99.jhb.mweb.co.za.,ZA,"","",,false,0.99,2015-10-29 14:24:55 +0100,2015-01-05 22:10:07 +0100
41.160.104.46,"",ZA,"","",,false,0.99,2015-10-29 14:25:33 +0100,2015-01-05 22:33:22 +0100
197.96.139.5,"",ZA,"","",,false,0.98,2015-10-29 14:29:17 +0100,2015-01-06 00:41:33 +0100
41.138.69.39,ptrslave5.comtel.co.za.,ZA,"",9.3.6-P1-RedHat-9.3.6-4.P1.el5_5.3,,false,0.99,2015-10-29 14:29:53 +0100,2015-01-06 01:02:05 +0100
41.138.69.57,cache2.comtel.co.za.,ZA,"","",,false,0.73,2015-10-29 14:30:13 +0100,2015-01-06 01:15:37 +0100
197.96.139.91,mail.spurgroup.co.za.,ZA,"","",,false,0.06,2015-10-29 14:31:00 +0100,2015-01-06 01:45:42 +0100
154.0.162.32,primoexecutivecars.dedicated.co.za.,ZA,"","",,false,0.99,2015-10-29 14:31:16 +0100,2015-01-06 01:54:46 +0100
197.96.139.74,"",ZA,"","",,false,0.98,2015-10-29 14:32:05 +0100,2015-01-06 02:25:02 +0100
154.0.162.50,magentasecant.dedicated.co.za.,ZA,"","",,false,0.98,2015-10-29 14:32:15 +0100,2015-01-06 02:29:52 +0100
41.221.238.19,"",ZA,"","",,false,0.97,2015-10-29 14:32:19 +0100,2015-01-06 02:31:41 +0100
