ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
197.220.196.200,"",ZM,"","",,false,0.47,2015-10-29 12:48:20 +0100,2014-12-29 22:21:51 +0100
41.77.150.98,41.77.150.98.liquidtelecom.net.,ZM,"","",,true,0.95,2015-10-29 12:49:24 +0100,2014-12-29 22:29:40 +0100
197.220.255.158,"",ZM,"","",,false,0.98,2015-10-29 12:53:50 +0100,2014-12-29 23:23:31 +0100
197.220.206.100,"",ZM,"","",,false,0.78,2015-10-29 13:42:01 +0100,2014-12-30 16:03:54 +0100
41.77.0.216,"",ZM,"","",,true,1.0,2015-10-29 13:58:49 +0100,2014-12-30 19:11:48 +0100
197.220.247.210,"",ZM,Lusaka,"",,false,0.47,2015-10-29 14:47:07 +0100,2015-01-06 09:51:53 +0100
197.220.247.114,"",ZM,Lusaka,"",,false,0.79,2015-10-29 14:47:43 +0100,2015-01-06 10:09:11 +0100
41.72.99.142,uci.co.zm.,ZM,"",9.3.6-P1-RedHat-9.3.6-4.P1.el5_4.2,,false,1.0,2015-10-29 14:52:18 +0100,2015-01-06 12:13:43 +0100
41.72.99.141,macadams.co.zm.,ZM,"",9.3.6-P1-RedHat-9.3.6-4.P1.el5_4.2,,false,0.85,2015-10-29 14:52:44 +0100,2015-01-06 12:26:23 +0100
41.72.99.86,autosport.co.zm.,ZM,"",9.3.6-P1-RedHat-9.3.6-4.P1.el5_4.2,,false,1.0,2015-10-29 14:52:56 +0100,2015-01-06 12:31:54 +0100
197.220.196.137,"",ZM,"","",,false,0.58,2015-10-29 14:56:05 +0100,2015-01-06 13:57:13 +0100
197.220.221.241,"",ZM,"","",,false,0.48,2015-10-29 08:04:37 +0100,2015-01-08 21:39:05 +0100
197.220.199.54,"",ZM,"","",,false,0.89,2015-10-29 08:07:09 +0100,2015-01-08 22:54:19 +0100
197.220.197.246,"",ZM,"","",,false,0.72,2015-10-29 08:09:57 +0100,2015-01-09 00:23:10 +0100
197.220.225.5,"",ZM,"","",,false,0.54,2015-10-29 08:46:04 +0100,2015-01-09 19:13:45 +0100
197.220.255.194,"",ZM,"","",,false,0.66,2015-10-29 09:20:16 +0100,2015-01-10 14:02:36 +0100
41.72.96.30,"",ZM,"",9.3.6-P1-RedHat-9.3.6-4.P1.el5_4.2,,false,0.89,2015-10-29 09:48:30 +0100,2015-01-11 05:52:12 +0100
41.72.96.26,"",ZM,"",9.3.6-P1-RedHat-9.3.6-4.P1.el5_4.2,,false,0.99,2015-10-29 09:50:16 +0100,2015-01-11 07:02:41 +0100
197.220.192.242,"",ZM,"","",,false,0.99,2015-10-29 10:17:16 +0100,2015-01-11 21:45:23 +0100
