ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
41.78.79.118,"",ZW,"","",,false,0.95,2015-10-29 14:00:43 +0100,2014-12-30 19:33:21 +0100
41.57.125.206,"",ZW,"","",,false,0.99,2015-10-29 14:59:42 +0100,2015-01-06 15:30:00 +0100
41.78.79.194,"",ZW,"","",,false,0.84,2015-10-29 07:43:17 +0100,2015-01-08 09:46:42 +0100
41.57.125.194,"",ZW,"","",,false,0.88,2015-10-29 08:10:36 +0100,2015-01-09 00:45:09 +0100
197.211.225.114,mediafl.zol.co.zw.,ZW,Harare,"",,false,0.96,2015-10-29 08:43:51 +0100,2015-01-09 17:49:50 +0100
197.211.224.178,"",ZW,"","",,false,0.99,2015-10-29 08:45:36 +0100,2015-01-09 18:55:21 +0100
41.57.125.2,"",ZW,"","",,false,0.36,2015-10-29 09:13:37 +0100,2015-01-10 10:56:57 +0100
41.57.124.199,voip.zarnet.ac.zw.,ZW,"","",,false,0.99,2015-10-29 09:14:25 +0100,2015-01-10 11:15:59 +0100
41.79.189.22,"",ZW,"","",,false,0.36,2015-10-29 09:36:55 +0100,2015-01-10 21:58:27 +0100
41.191.235.2,"",ZW,"","",,false,0.96,2015-10-29 09:48:48 +0100,2015-01-11 06:02:07 +0100
41.191.235.3,"",ZW,"","",,false,0.95,2015-10-29 09:49:04 +0100,2015-01-11 06:16:49 +0100
41.78.78.34,"",ZW,"","",,false,0.88,2015-10-29 10:14:46 +0100,2015-01-11 20:37:20 +0100
41.78.76.226,mail.zimnapovc.co.zw.,ZW,"","",,true,0.95,2015-10-29 10:58:48 +0100,2015-01-12 21:12:52 +0100
